QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
3,7:47.0,C. Paul misses 3-pt jump shot from 26 ft,,57,49
3,7:46.0,,Defensive rebound by P. Siakam,57,49
3,7:36.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),57,52
3,7:36.0,Houston full timeout,,57,52
3,7:23.0,Offensive foul by C. Paul (drawn by K. Lowry),,57,52
3,7:23.0,Turnover by C. Paul (offensive foul),,57,52
3,7:09.0,,S. Ibaka misses 2-pt layup from 3 ft,57,52
3,7:07.0,Defensive rebound by C. Paul,,57,52
3,7:00.0,J. Harden makes 2-pt jump shot from 8 ft (assist by C. Paul),,59,52
3,6:55.0,,Shooting foul by C. Paul (drawn by D. Green),59,52
3,6:55.0,,D. Green makes free throw 1 of 2,59,53
3,6:55.0,A. Rivers enters the game for C. Paul,,59,53
3,6:55.0,,D. Green makes free throw 2 of 2,59,54
3,6:44.0,C. Capela misses 2-pt layup from 3 ft,,59,54
3,6:42.0,,Defensive rebound by K. Leonard,59,54
3,6:39.0,,K. Leonard misses 2-pt layup from 2 ft,59,54
3,6:35.0,Defensive rebound by C. Capela,,59,54
3,6:13.0,C. Capela misses 2-pt jump shot from 7 ft (block by S. Ibaka),,59,54
3,6:13.0,Offensive rebound by Team,,59,54
3,6:13.0,Turnover by Team (shot clock),,59,54
3,5:53.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by D. Green),59,56
3,5:28.0,J. Harden misses 3-pt jump shot from 25 ft,,59,56
3,5:25.0,Offensive rebound by P. Tucker,,59,56
3,5:23.0,P. Tucker misses 2-pt layup from 3 ft,,59,56
3,5:21.0,,Defensive rebound by K. Leonard,59,56
3,5:19.0,,Shooting foul by A. Rivers (drawn by K. Leonard),59,56
3,5:19.0,,K. Leonard makes free throw 1 of 2,59,57
3,5:19.0,G. Green enters the game for E. Gordon,,59,57
3,5:19.0,,K. Leonard makes free throw 2 of 2,59,58
3,4:59.0,J. Harden misses 2-pt jump shot from 5 ft,,59,58
3,4:57.0,,Defensive rebound by S. Ibaka,59,58
3,4:46.0,,P. Siakam makes 2-pt hook shot from 10 ft,59,60
3,4:28.0,Personal foul by S. Ibaka (drawn by C. Capela),,59,60
3,4:24.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by C. Capela),,62,60
