QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
3,2:34.0,G. Dragić misses 3-pt jump shot from 26 ft,,90,79
3,2:29.0,,Defensive rebound by C. Capela,90,79
3,2:23.0,,Shooting foul by B. Adebayo (drawn by J. Harden),90,79
3,2:23.0,,J. Harden makes free throw 1 of 2,90,80
3,2:23.0,K. Olynyk enters the game for B. Adebayo,,90,80
3,2:23.0,,N. Hilário enters the game for C. Capela,90,80
3,2:23.0,,C. Paul enters the game for G. Clark,90,80
3,2:23.0,,J. Harden makes free throw 2 of 2,90,81
3,2:04.0,Shooting foul by N. Hilário (drawn by J. Richardson),,90,81
3,2:04.0,J. Richardson misses free throw 1 of 2,,90,81
3,2:04.0,Offensive rebound by Team,,90,81
3,2:04.0,J. Richardson makes free throw 2 of 2,,91,81
3,1:50.0,,A. Rivers makes 2-pt layup from 1 ft (assist by J. Harden),91,83
3,1:36.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by G. Dragić),,94,83
3,1:16.0,,N. Hilário misses 2-pt jump shot from 15 ft,94,83
3,1:15.0,Defensive rebound by D. Wade,,94,83
3,1:08.0,D. Wade misses 2-pt jump shot from 8 ft,,94,83
3,1:07.0,Offensive rebound by D. Jones,,94,83
3,1:07.0,D. Jones makes 2-pt dunk from 1 ft,,96,83
3,0:49.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),96,86
3,0:29.0,Personal foul by A. Rivers (drawn by J. Richardson),,96,86
3,0:29.0,,G. Clark enters the game for N. Hilário,96,86
3,0:19.0,K. Olynyk makes 2-pt layup from 1 ft (assist by G. Dragić),,98,86
3,0:02.0,,Personal foul by K. Olynyk (drawn by G. Clark),98,86
3,0:02.0,B. Adebayo enters the game for G. Dragić,,98,86
3,0:02.0,J. Winslow enters the game for K. Olynyk,,98,86
3,0:00.0,,C. Paul misses 3-pt jump shot from 29 ft,98,86
3,0:00.0,,Offensive rebound by Team,98,86
4,11:49.0,,G. Clark makes 2-pt layup from 1 ft,98,88
4,11:33.0,Turnover by D. Wade (3 sec),,98,88
4,11:18.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by G. Clark),98,91
