QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
4,9:19.0,Defensive rebound by B. Portis,,86,105
4,9:09.0,A. Blakeney makes 2-pt jump shot from 15 ft (assist by J. Parker),,88,105
4,9:08.0,,Philadelphia full timeout,88,105
4,9:08.0,,J. Embiid enters the game for A. Johnson,88,105
4,8:49.0,,M. Fultz makes 3-pt jump shot from 26 ft,88,108
4,8:32.0,R. Arcidiacono makes 3-pt jump shot from 27 ft (assist by A. Blakeney),,91,108
4,8:16.0,,Turnover by D. Šarić (step out of bounds),91,108
4,7:59.0,Z. LaVine makes 2-pt jump shot from 13 ft,,93,108
4,7:42.0,,M. Fultz misses 2-pt jump shot from 18 ft,93,108
4,7:41.0,Defensive rebound by A. Blakeney,,93,108
4,7:34.0,B. Portis misses 3-pt jump shot from 24 ft,,93,108
4,7:34.0,,Defensive rebound by M. Fultz,93,108
4,7:25.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by M. Fultz),93,111
4,7:12.0,J. Parker misses 3-pt jump shot from 28 ft,,93,111
4,7:09.0,,Defensive rebound by D. Šarić,93,111
4,6:46.0,,J. Embiid makes 2-pt jump shot from 12 ft,93,113
4,6:42.0,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Arcidiacono),,95,113
4,6:42.0,Shooting foul by L. Shamet (drawn by Z. LaVine),,95,113
4,6:42.0,,B. Simmons enters the game for D. Šarić,95,113
4,6:42.0,Z. LaVine makes free throw 1 of 1,,96,113
4,6:28.0,,Shooting foul by Z. LaVine (drawn by J. Embiid),96,113
4,6:28.0,,J. Embiid misses free throw 1 of 2,96,113
4,6:28.0,,Offensive rebound by Team,96,113
4,6:28.0,,J. Embiid makes free throw 2 of 2,96,114
4,6:18.0,B. Portis misses 2-pt hook shot from 8 ft,,96,114
4,6:18.0,Offensive rebound by Team,,96,114
4,6:05.0,A. Blakeney misses 3-pt jump shot from 28 ft,,96,114
4,6:02.0,,Defensive rebound by B. Simmons,96,114
4,5:51.0,,M. Fultz misses 3-pt jump shot from 24 ft,96,114
4,5:48.0,Defensive rebound by J. Parker,,96,114
4,5:42.0,J. Parker makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),,98,114
4,5:22.0,,F. Korkmaz misses 3-pt jump shot from 27 ft,98,114
4,5:19.0,Defensive rebound by B. Portis,,98,114
4,5:14.0,B. Portis misses 3-pt jump shot from 27 ft,,98,114
4,5:11.0,,Defensive rebound by B. Simmons,98,114
4,4:56.0,,M. Fultz makes 2-pt layup from 5 ft,98,116
4,4:45.0,R. Arcidiacono makes 2-pt layup from 2 ft,,100,116
4,4:42.0,,Philadelphia full timeout,100,116
4,4:42.0,W. Carter enters the game for B. Portis,,100,116
4,4:42.0,,R. Covington enters the game for F. Korkmaz,100,116
4,4:30.0,,Turnover by B. Simmons (traveling),100,116
4,4:19.0,W. Carter misses 2-pt layup from 3 ft,,100,116
4,4:16.0,,Defensive rebound by R. Covington,100,116
4,4:01.0,,Personal foul by W. Carter (drawn by J. Embiid),100,116
4,4:00.0,,Turnover by R. Covington (bad pass; steal by J. Parker),100,116
4,3:53.0,Personal foul by R. Covington (drawn by W. Carter),,100,116
4,3:44.0,Turnover by A. Blakeney (bad pass; steal by M. Fultz),,100,116
4,3:41.0,,R. Covington makes 2-pt dunk from 1 ft (assist by M. Fultz),100,118
4,3:30.0,J. Parker makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),,102,118
4,3:11.0,,J. Embiid makes 2-pt jump shot from 15 ft,102,120
4,3:11.0,C. Hutchison enters the game for Z. LaVine,,102,120
4,3:11.0,,J. Bolden enters the game for R. Covington,102,120
4,3:11.0,,A. Johnson enters the game for J. Embiid,102,120
4,3:11.0,,F. Korkmaz enters the game for B. Simmons,102,120
4,2:47.0,W. Carter makes 2-pt dunk at rim (assist by R. Arcidiacono),,104,120
4,2:30.0,,A. Johnson makes 2-pt layup from 3 ft (assist by M. Fultz),104,122
4,2:30.0,,Shooting foul by J. Parker (drawn by A. Johnson),104,122
4,2:30.0,,A. Johnson makes free throw 1 of 1,104,123
4,2:08.0,J. Parker misses 2-pt jump shot from 11 ft,,104,123
4,2:06.0,,Defensive rebound by F. Korkmaz,104,123
4,2:01.0,,A. Johnson makes 2-pt dunk from 1 ft (assist by M. Fultz),104,125
4,1:50.0,C. Hutchison misses 2-pt jump shot from 7 ft,,104,125
4,1:50.0,,Defensive rebound by L. Shamet,104,125
4,1:33.0,,J. Bolden misses 3-pt jump shot from 28 ft,104,125
4,1:30.0,Defensive rebound by W. Carter,,104,125
4,1:22.0,A. Blakeney misses 2-pt layup from 2 ft,,104,125
4,1:20.0,Offensive rebound by W. Carter,,104,125
4,1:20.0,W. Carter makes 2-pt layup from 1 ft,,106,125
4,1:03.0,,M. Fultz makes 2-pt jump shot from 20 ft,106,127
4,0:49.0,Shooting foul by J. Bolden (drawn by A. Blakeney),,106,127
4,0:49.0,A. Blakeney makes free throw 1 of 2,,107,127
4,0:49.0,T. Ulis enters the game for R. Arcidiacono,,107,127
4,0:49.0,A. Blakeney makes free throw 2 of 2,,108,127
4,0:31.0,,M. Fultz misses 2-pt jump shot from 20 ft,108,127
4,0:27.0,Defensive rebound by J. Parker,,108,127
4,0:19.0,A. Blakeney misses 2-pt jump shot from 13 ft,,108,127
4,0:16.0,,Defensive rebound by A. Johnson,108,127
