QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
4,3:47.0,G. Harris makes 2-pt layup from 1 ft,,106,94
4,3:38.0,,Shooting foul by G. Harris (drawn by K. Irving),106,94
4,3:38.0,,K. Irving makes free throw 1 of 2,106,95
4,3:38.0,,J. Brown enters the game for J. Tatum,106,95
4,3:38.0,,K. Irving makes free throw 2 of 2,106,96
4,3:23.0,W. Barton misses 3-pt jump shot from 28 ft,,106,96
4,3:21.0,Offensive rebound by G. Harris,,106,96
4,3:07.0,G. Harris misses 3-pt jump shot from 24 ft,,106,96
4,3:06.0,,Defensive rebound by M. Morris,106,96
4,2:56.0,,M. Morris misses 3-pt jump shot from 28 ft,106,96
4,2:55.0,Defensive rebound by P. Millsap,,106,96
4,2:38.0,Turnover by N. Jokić (bad pass; steal by K. Irving),,106,96
4,2:26.0,,K. Irving misses 3-pt jump shot from 23 ft,106,96
4,2:23.0,Defensive rebound by J. Murray,,106,96
4,2:08.0,Turnover by G. Harris (bad pass; steal by J. Brown),,106,96
4,2:06.0,,Violation by Team (kicked ball),106,96
4,1:58.0,Turnover by J. Murray (bad pass; steal by M. Smart),,106,96
4,1:54.0,,M. Smart makes 2-pt dunk from 1 ft,106,98
4,1:54.0,Denver full timeout,,106,98
4,1:35.0,J. Murray misses 3-pt jump shot from 27 ft,,106,98
4,1:34.0,,Defensive rebound by M. Smart,106,98
4,1:27.0,,M. Smart misses 3-pt jump shot from 26 ft,106,98
4,1:25.0,,Offensive rebound by K. Irving,106,98
4,1:22.0,,K. Irving makes 3-pt jump shot from 23 ft,106,101
4,1:01.0,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),,108,101
4,0:54.0,,A. Horford misses 3-pt jump shot from 27 ft,108,101
4,0:53.0,Defensive rebound by W. Barton,,108,101
4,0:31.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),,111,101
4,0:31.0,Shooting foul by M. Morris (drawn by P. Millsap),,111,101
4,0:31.0,T. Craig enters the game for N. Jokić,,111,101
4,0:31.0,,J. Tatum enters the game for M. Morris,111,101
4,0:31.0,P. Millsap makes free throw 1 of 1,,112,101
4,0:21.0,,M. Smart makes 2-pt dunk from 1 ft (assist by A. Horford),112,103
4,0:15.0,Turnover by W. Barton (bad pass; steal by J. Brown),,112,103
4,0:13.0,,J. Brown makes 2-pt layup from 1 ft,112,105
4,0:13.0,Denver full timeout,,112,105
4,0:13.0,N. Jokić enters the game for T. Craig,,112,105
4,0:11.0,Personal take foul by K. Irving (drawn by G. Harris),,112,105
4,0:11.0,G. Harris makes free throw 1 of 2,,113,105
4,0:11.0,G. Harris makes free throw 2 of 2,,114,105
4,0:11.0,,Boston full timeout,114,105
4,0:11.0,,T. Rozier enters the game for J. Brown,114,105
4,0:11.0,,Turnover by M. Smart (bad pass),114,105
