QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
4,5:24.0,J. Embiid enters the game for M. Muscala,,112,98
4,5:24.0,,C. Sexton enters the game for M. Dellavedova,112,98
4,5:02.0,J. Embiid misses 2-pt jump shot from 12 ft,,112,98
4,4:59.0,,Defensive rebound by L. Nance,112,98
4,4:49.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by R. Hood),112,101
4,4:29.0,L. Shamet makes 3-pt jump shot from 27 ft (assist by B. Simmons),,115,101
4,4:05.0,,L. Nance misses 3-pt jump shot from 25 ft,115,101
4,4:03.0,Defensive rebound by L. Shamet,,115,101
4,4:03.0,J. Redick enters the game for L. Shamet,,115,101
4,3:45.0,J. Butler makes 3-pt jump shot from 27 ft (assist by B. Simmons),,118,101
4,3:38.0,,A. Burks misses 3-pt jump shot from 25 ft,118,101
4,3:35.0,Defensive rebound by B. Simmons,,118,101
4,3:22.0,B. Simmons makes 2-pt layup at rim (assist by J. Redick),,120,101
4,3:02.0,,L. Nance makes 2-pt layup from 1 ft (assist by R. Hood),120,103
4,3:02.0,Philadelphia full timeout,,120,103
4,3:02.0,,Cleveland full timeout,120,103
4,2:47.0,J. Embiid makes 2-pt layup from 1 ft (assist by W. Chandler),,122,103
4,2:38.0,,Personal foul by B. Simmons (drawn by A. Burks),122,103
4,2:38.0,J. Bolden enters the game for J. Butler,,122,103
4,2:38.0,A. Johnson enters the game for W. Chandler,,122,103
4,2:38.0,T. McConnell enters the game for J. Embiid,,122,103
4,2:38.0,S. Milton enters the game for J. Redick,,122,103
4,2:38.0,L. Shamet enters the game for B. Simmons,,122,103
4,2:20.0,,C. Sexton misses 3-pt jump shot from 26 ft,122,103
4,2:18.0,Defensive rebound by J. Bolden,,122,103
4,2:02.0,S. Milton misses 2-pt jump shot from 21 ft,,122,103
4,2:00.0,,Defensive rebound by A. Burks,122,103
4,1:55.0,,R. Hood misses 3-pt jump shot from 25 ft,122,103
4,1:52.0,Defensive rebound by L. Shamet,,122,103
4,1:35.0,L. Shamet misses 3-pt jump shot from 26 ft,,122,103
4,1:33.0,Offensive rebound by J. Bolden,,122,103
4,1:29.0,S. Milton misses 3-pt jump shot from 23 ft,,122,103
4,1:27.0,Offensive rebound by J. Bolden,,122,103
4,1:27.0,J. Bolden makes 2-pt layup from 1 ft,,124,103
4,1:24.0,,Personal take foul by T. McConnell (drawn by C. Sexton),124,103
4,1:24.0,F. Korkmaz enters the game for L. Shamet,,124,103
4,1:17.0,,C. Sexton misses 2-pt layup from 2 ft,124,103
4,1:17.0,,Offensive rebound by Team,124,103
4,1:17.0,,Turnover by C. Sexton (traveling),124,103
4,1:00.0,A. Johnson makes 2-pt hook shot from 10 ft,,126,103
4,0:48.0,,Turnover by C. Sexton (traveling),126,103
4,0:42.0,Turnover by T. McConnell (lost ball),,126,103
4,0:30.0,,C. Sexton makes 2-pt layup from 2 ft (assist by L. Nance),126,105
4,0:10.0,T. McConnell makes 2-pt jump shot from 19 ft,,128,105
