QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
2,6:01.0,,H. Whiteside makes 2-pt jump shot from 14 ft (assist by J. Winslow),30,36
2,6:01.0,San Antonio full timeout,,30,36
2,6:01.0,P. Mills enters the game for D. White,,30,36
2,5:49.0,L. Aldridge misses 2-pt jump shot from 20 ft,,30,36
2,5:47.0,,Defensive rebound by W. Ellington,30,36
2,5:31.0,,J. Winslow misses 2-pt jump shot from 4 ft,30,36
2,5:28.0,Defensive rebound by L. Aldridge,,30,36
2,5:17.0,M. Belinelli misses 2-pt layup from 2 ft (block by H. Whiteside),,30,36
2,5:15.0,,Defensive rebound by J. Winslow,30,36
2,5:14.0,,Turnover by J. Winslow (bad pass),30,36
2,5:14.0,D. DeRozan enters the game for L. Aldridge,,30,36
2,5:14.0,J. Poeltl enters the game for B. Forbes,,30,36
2,4:57.0,P. Mills misses 2-pt jump shot from 17 ft (block by T. Johnson),,30,36
2,4:56.0,,Defensive rebound by H. Whiteside,30,36
2,4:56.0,,Turnover by H. Whiteside (bad pass),30,36
2,4:56.0,D. Bertāns enters the game for D. Cunningham,,30,36
2,4:56.0,,J. Richardson enters the game for T. Johnson,30,36
2,4:48.0,Personal foul by J. Winslow (drawn by D. Bertāns),,30,36
2,4:36.0,P. Mills misses 2-pt jump shot from 13 ft,,30,36
2,4:33.0,,Defensive rebound by H. Whiteside,30,36
2,4:23.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by W. Ellington),30,38
2,4:10.0,J. Poeltl misses 2-pt jump shot from 15 ft (block by H. Whiteside),,30,38
2,4:10.0,Offensive rebound by Team,,30,38
2,4:06.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,33,38
2,4:06.0,Shooting foul by J. Winslow (drawn by D. Bertāns),,33,38
2,4:06.0,D. Bertāns makes free throw 1 of 1,,34,38
2,3:51.0,,J. Winslow makes 2-pt layup from 4 ft (assist by J. Richardson),34,40
2,3:41.0,P. Mills makes 3-pt jump shot from 25 ft,,37,40
2,3:19.0,,J. Winslow makes 2-pt hook shot from 4 ft,37,42
2,3:00.0,J. Poeltl misses 2-pt layup from 3 ft,,37,42
2,3:00.0,Offensive rebound by Team,,37,42
2,3:00.0,B. Forbes enters the game for M. Belinelli,,37,42
2,3:00.0,,T. Johnson enters the game for W. Ellington,37,42
2,2:51.0,B. Forbes misses 2-pt jump shot from 22 ft,,37,42
2,2:48.0,,Defensive rebound by H. Whiteside,37,42
2,2:42.0,,J. Richardson misses 3-pt jump shot from 25 ft,37,42
2,2:42.0,,Offensive rebound by Team,37,42
2,2:42.0,L. Aldridge enters the game for J. Poeltl,,37,42
2,2:31.0,,J. Winslow misses 2-pt layup from 2 ft,37,42
2,2:27.0,,Offensive rebound by H. Whiteside,37,42
2,2:27.0,,H. Whiteside misses 2-pt layup from 1 ft,37,42
2,2:27.0,Defensive rebound by P. Mills,,37,42
2,2:18.0,P. Mills makes 2-pt layup from 1 ft (assist by D. Bertāns),,39,42
2,2:03.0,,Personal foul by D. DeRozan (drawn by H. Whiteside),39,42
2,2:03.0,,W. Ellington enters the game for J. Winslow,39,42
2,1:50.0,,W. Ellington makes 2-pt jump shot from 16 ft (assist by J. Richardson),39,44
2,1:35.0,P. Mills misses 2-pt layup from 2 ft (block by H. Whiteside),,39,44
2,1:35.0,,Defensive rebound by R. McGruder,39,44
2,1:25.0,,H. Whiteside makes 2-pt layup from 3 ft (assist by T. Johnson),39,46
2,1:12.0,P. Mills misses 3-pt jump shot from 26 ft,,39,46
2,1:12.0,,Defensive rebound by H. Whiteside,39,46
2,0:57.0,,Turnover by W. Ellington (bad pass),39,46
2,0:43.0,D. DeRozan makes 2-pt jump shot from 16 ft,,41,46
2,0:43.0,Shooting foul by R. McGruder (drawn by D. DeRozan),,41,46
2,0:43.0,D. DeRozan makes free throw 1 of 1,,42,46
2,0:29.0,,J. Richardson makes 2-pt jump shot from 7 ft,42,48
2,0:08.0,D. Bertāns misses 3-pt jump shot from 25 ft,,42,48
2,0:04.0,,Defensive rebound by T. Johnson,42,48
2,0:02.0,,T. Johnson makes 2-pt jump shot from 2 ft,42,50
2,0:00.0,B. Forbes misses 3-pt jump shot from 60 ft,,42,50
2,0:00.0,Offensive rebound by Team,,42,50
3,11:42.0,,W. Ellington misses 2-pt jump shot from 20 ft,42,50
3,11:39.0,Defensive rebound by D. DeRozan,,42,50
3,11:31.0,D. DeRozan misses 2-pt jump shot from 9 ft,,42,50
3,11:28.0,,Defensive rebound by J. Winslow,42,50
3,11:13.0,,R. McGruder misses 2-pt jump shot from 9 ft,42,50
3,11:11.0,Defensive rebound by D. DeRozan,,42,50
3,11:03.0,L. Aldridge misses 2-pt jump shot from 15 ft,,42,50
3,11:00.0,Offensive rebound by P. Mills,,42,50
3,10:59.0,P. Mills misses 3-pt jump shot from 25 ft,,42,50
3,10:59.0,Offensive rebound by Team,,42,50
3,10:59.0,,Loose ball foul by R. McGruder (drawn by L. Aldridge),42,50
3,10:53.0,D. DeRozan misses 2-pt jump shot from 18 ft,,42,50
3,10:51.0,,Defensive rebound by J. Winslow,42,50
3,10:47.0,,Personal foul by L. Aldridge (drawn by W. Ellington),42,50
3,10:41.0,,Shooting foul by D. DeRozan (drawn by H. Whiteside),42,50
3,10:41.0,,H. Whiteside makes free throw 1 of 2,42,51
3,10:41.0,,H. Whiteside makes free throw 2 of 2,42,52
3,10:28.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,44,52
3,10:10.0,,J. Winslow misses 2-pt jump shot from 9 ft,44,52
3,10:08.0,Defensive rebound by B. Forbes,,44,52
3,9:57.0,P. Mills makes 3-pt jump shot from 25 ft,,47,52
3,9:37.0,,J. Richardson misses 2-pt jump shot from 18 ft,47,52
3,9:35.0,Defensive rebound by D. DeRozan,,47,52
3,9:30.0,P. Mills misses 2-pt jump shot from 19 ft,,47,52
3,9:28.0,,Defensive rebound by H. Whiteside,47,52
3,9:22.0,,Personal foul by B. Forbes (drawn by W. Ellington),47,52
3,9:08.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),47,54
3,9:08.0,,Shooting foul by D. Cunningham (drawn by H. Whiteside),47,54
3,9:08.0,,H. Whiteside makes free throw 1 of 1,47,55
3,8:55.0,D. DeRozan makes 2-pt jump shot from 17 ft,,49,55
3,8:43.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by J. Richardson),49,58
3,8:19.0,Turnover by L. Aldridge (lost ball; steal by W. Ellington),,49,58
3,8:05.0,,R. McGruder misses 3-pt jump shot from 23 ft,49,58
3,8:05.0,,Offensive rebound by Team,49,58
3,8:05.0,Loose ball foul by L. Aldridge (drawn by H. Whiteside),,49,58
3,8:05.0,,H. Whiteside makes free throw 1 of 2,49,59
3,8:05.0,,H. Whiteside makes free throw 2 of 2,49,60
3,7:42.0,P. Mills misses 3-pt jump shot from 26 ft,,49,60
3,7:42.0,,Defensive rebound by Team,49,60
3,7:42.0,D. White enters the game for P. Mills,,49,60
3,7:23.0,,Personal foul by D. Cunningham (drawn by H. Whiteside),49,60
3,7:23.0,,H. Whiteside makes free throw 1 of 2,49,61
3,7:23.0,,T. Johnson enters the game for J. Richardson,49,61
3,7:23.0,,H. Whiteside misses free throw 2 of 2,49,61
3,7:21.0,Defensive rebound by D. DeRozan,,49,61
3,7:10.0,L. Aldridge misses 2-pt jump shot from 20 ft,,49,61
3,7:07.0,,Defensive rebound by R. McGruder,49,61
3,7:02.0,,T. Johnson misses 2-pt jump shot from 20 ft,49,61
3,6:58.0,Defensive rebound by L. Aldridge,,49,61
3,6:52.0,B. Forbes misses 3-pt jump shot from 25 ft,,49,61
3,6:49.0,,Defensive rebound by H. Whiteside,49,61
3,6:42.0,,H. Whiteside misses 2-pt jump shot from 2 ft (block by L. Aldridge),49,61
3,6:41.0,,Offensive rebound by H. Whiteside,49,61
3,6:40.0,,H. Whiteside misses 2-pt hook shot from 9 ft,49,61
3,6:39.0,Defensive rebound by Team,,49,61
3,6:38.0,,Loose ball foul by J. Winslow (drawn by D. DeRozan),49,61
3,6:38.0,,Miami full timeout,49,61
3,6:22.0,Turnover by D. White (bad pass; steal by T. Johnson),,49,61
3,5:59.0,,W. Ellington misses 2-pt jump shot from 11 ft,49,61
3,5:56.0,Defensive rebound by L. Aldridge,,49,61
3,5:43.0,D. DeRozan makes 3-pt jump shot from 23 ft (assist by D. White),,52,61
3,5:27.0,,Personal foul by D. DeRozan (drawn by H. Whiteside),52,61
3,5:27.0,,H. Whiteside misses free throw 1 of 2,52,61
3,5:27.0,,Offensive rebound by Team,52,61
3,5:27.0,M. Belinelli enters the game for L. Aldridge,,52,61
3,5:27.0,D. Bertāns enters the game for D. Cunningham,,52,61
3,5:27.0,J. Poeltl enters the game for B. Forbes,,52,61
3,5:27.0,,H. Whiteside makes free throw 2 of 2,52,62
3,5:14.0,D. Bertāns makes 2-pt layup from 1 ft (assist by D. White),,54,62
3,4:55.0,,J. Winslow misses 3-pt jump shot from 24 ft,54,62
3,4:52.0,Defensive rebound by D. DeRozan,,54,62
3,4:37.0,M. Belinelli misses 2-pt jump shot from 19 ft,,54,62
3,4:35.0,,Defensive rebound by R. McGruder,54,62
3,4:27.0,,T. Johnson misses 2-pt jump shot from 10 ft,54,62
3,4:26.0,Defensive rebound by D. Bertāns,,54,62
