QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
4,6:47.0,,Defensive rebound by D. Dedmon,95,122
4,6:36.0,,D. Dedmon makes 2-pt hook shot at rim (assist by J. Collins),95,124
4,6:22.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by M. Conley),,97,124
4,6:16.0,,Atlanta full timeout,97,124
4,6:16.0,B. Caboclo enters the game for A. Bradley,,97,124
4,6:16.0,T. Dorsey enters the game for M. Conley,,97,124
4,6:16.0,C. Miles enters the game for J. Holiday,,97,124
4,6:16.0,D. Wright enters the game for J. Valančiūnas,,97,124
4,6:16.0,,J. Adams enters the game for J. Collins,97,124
4,6:16.0,,J. Anderson enters the game for D. Dedmon,97,124
4,6:16.0,,K. Bazemore enters the game for K. Huerter,97,124
4,6:16.0,,D. Bembry enters the game for T. Prince,97,124
4,6:16.0,,A. Len enters the game for T. Young,97,124
4,6:00.0,,D. Bembry misses 2-pt layup from 1 ft,97,124
4,5:57.0,Defensive rebound by B. Caboclo,,97,124
4,5:37.0,D. Wright misses 2-pt jump shot from 9 ft,,97,124
4,5:33.0,,Defensive rebound by A. Len,97,124
4,5:20.0,,A. Len misses 3-pt jump shot from 25 ft,97,124
4,5:16.0,Defensive rebound by C. Miles,,97,124
4,5:07.0,I. Rabb misses 2-pt jump shot from 20 ft,,97,124
4,5:03.0,,Defensive rebound by J. Anderson,97,124
4,4:50.0,,K. Bazemore misses 3-pt jump shot from 23 ft,97,124
4,4:47.0,Defensive rebound by T. Dorsey,,97,124
4,4:44.0,Personal foul by K. Bazemore (drawn by I. Rabb),,97,124
4,4:39.0,D. Wright misses 2-pt layup from 2 ft (block by K. Bazemore),,97,124
4,4:36.0,Offensive rebound by D. Wright,,97,124
4,4:33.0,Turnover by T. Dorsey (traveling),,97,124
4,4:18.0,,J. Adams misses 3-pt jump shot from 24 ft,97,124
4,4:15.0,Defensive rebound by I. Rabb,,97,124
4,4:07.0,C. Miles makes 2-pt jump shot from 2 ft (assist by D. Wright),,99,124
4,3:53.0,,J. Anderson misses 2-pt layup from 4 ft,99,124
4,3:48.0,,Offensive rebound by J. Anderson,99,124
4,3:48.0,,J. Anderson makes 2-pt layup at rim,99,126
4,3:39.0,T. Dorsey misses 2-pt layup at rim (block by A. Len),,99,126
4,3:39.0,Offensive rebound by Team,,99,126
4,3:39.0,,B. Johnson enters the game for K. Bazemore,99,126
4,3:39.0,,T. Zeller enters the game for A. Len,99,126
4,3:31.0,C. Miles makes 2-pt layup from 3 ft (assist by B. Caboclo),,101,126
4,3:07.0,,J. Adams makes 2-pt jump shot from 5 ft (assist by T. Zeller),101,128
4,2:49.0,Shooting foul by J. Adams (drawn by D. Wright),,101,128
4,2:49.0,Memphis full timeout,,101,128
4,2:49.0,D. Wright makes free throw 1 of 2,,102,128
4,2:49.0,D. Wright misses free throw 2 of 2,,102,128
4,2:46.0,,Defensive rebound by T. Zeller,102,128
4,2:42.0,,B. Johnson misses 2-pt layup from 1 ft,102,128
4,2:41.0,Defensive rebound by Team,,102,128
4,2:21.0,Shooting foul by T. Zeller (drawn by I. Rabb),,102,128
4,2:21.0,I. Rabb makes free throw 1 of 2,,103,128
4,2:21.0,I. Rabb makes free throw 2 of 2,,104,128
4,2:09.0,,J. Anderson makes 2-pt jump shot from 7 ft,104,130
4,2:00.0,I. Rabb misses 3-pt jump shot from 26 ft,,104,130
4,1:49.0,,Defensive rebound by J. Adams,104,130
4,1:40.0,,Turnover by D. Bembry (bad pass; steal by I. Rabb),104,130
4,1:36.0,Turnover by B. Caboclo (bad pass; steal by J. Anderson),,104,130
4,1:30.0,,Shooting foul by I. Rabb (drawn by B. Johnson),104,130
4,1:30.0,,B. Johnson makes free throw 1 of 2,104,131
4,1:30.0,,B. Johnson makes free throw 2 of 2,104,132
4,1:19.0,C. Miles misses 3-pt jump shot from 25 ft,,104,132
4,1:17.0,,Defensive rebound by T. Zeller,104,132
4,1:07.0,,J. Anderson misses 3-pt jump shot from 27 ft,104,132
4,1:05.0,Defensive rebound by Team,,104,132
4,1:05.0,,Loose ball foul by T. Zeller (drawn by I. Rabb),104,132
4,1:05.0,I. Rabb makes free throw 1 of 2,,105,132
4,1:05.0,I. Rabb makes free throw 2 of 2,,106,132
4,0:52.0,,B. Johnson misses 2-pt jump shot from 17 ft,106,132
4,0:49.0,Defensive rebound by D. Wright,,106,132
4,0:41.0,T. Dorsey makes 3-pt jump shot from 26 ft (assist by I. Rabb),,109,132
4,0:31.0,,J. Anderson misses 3-pt jump shot from 25 ft (block by D. Wright),109,132
4,0:27.0,Defensive rebound by B. Caboclo,,109,132
4,0:26.0,D. Wright makes 2-pt layup from 1 ft (assist by B. Caboclo),,111,132
4,0:01.0,,Turnover by Team (shot clock),111,132
