QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
4,2:51.0,Offensive rebound by J. Green,,95,91
4,2:50.0,Offensive foul by M. Gasol (drawn by D. Fox),,95,91
4,2:50.0,Turnover by M. Gasol (offensive foul),,95,91
4,2:50.0,S. Mack enters the game for J. Green,,95,91
4,2:36.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Bogdanović),95,93
4,2:22.0,Personal foul by B. Hield (drawn by K. Anderson),,95,93
4,2:20.0,Personal foul by D. Fox (drawn by M. Gasol),,95,93
4,2:20.0,M. Gasol makes free throw 1 of 2,,96,93
4,2:20.0,M. Gasol makes free throw 2 of 2,,97,93
4,2:04.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),97,96
4,1:48.0,M. Conley misses 3-pt jump shot from 25 ft,,97,96
4,1:45.0,,Defensive rebound by D. Fox,97,96
4,1:39.0,,B. Hield misses 2-pt jump shot from 19 ft,97,96
4,1:37.0,,Offensive rebound by N. Bjelica,97,96
4,1:37.0,,N. Bjelica misses 2-pt layup from 3 ft,97,96
4,1:37.0,Defensive rebound by Team,,97,96
4,1:19.0,Turnover by S. Mack (bad pass; steal by D. Fox),,97,96
4,1:17.0,,Personal foul by S. Mack (drawn by D. Fox),97,96
4,1:17.0,,D. Fox makes free throw 1 of 2,97,97
4,1:17.0,,D. Fox makes free throw 2 of 2,97,98
4,0:53.0,M. Conley misses 2-pt jump shot from 17 ft,,97,98
4,0:50.0,,Defensive rebound by N. Bjelica,97,98
4,0:28.0,,B. Hield misses 2-pt jump shot from 17 ft,97,98
4,0:25.0,Defensive rebound by M. Conley,,97,98
4,0:20.0,Memphis full timeout,,97,98
4,0:20.0,J. Jackson enters the game for S. Mack,,97,98
4,0:15.0,M. Conley misses 2-pt jump shot from 14 ft,,97,98
4,0:13.0,,Defensive rebound by W. Cauley-Stein,97,98
4,0:13.0,,Personal foul by J. Jackson (drawn by W. Cauley-Stein),97,98
4,0:13.0,,W. Cauley-Stein makes free throw 1 of 2,97,99
4,0:13.0,S. Mack enters the game for K. Anderson,,97,99
4,0:13.0,,W. Cauley-Stein makes free throw 2 of 2,97,100
4,0:07.0,M. Gasol misses 3-pt jump shot from 25 ft,,97,100
4,0:05.0,,Defensive rebound by W. Cauley-Stein,97,100
4,0:03.0,,Personal foul by J. Jackson (drawn by B. Hield),97,100
4,0:03.0,W. Selden enters the game for J. Jackson,,97,100
4,0:03.0,,B. Hield makes free throw 1 of 2,97,101
4,0:03.0,,B. Hield makes free throw 2 of 2,97,102
4,0:00.0,S. Mack makes 2-pt layup from 2 ft (assist by W. Selden),,99,102
4,0:00.0,,Violation by Team (def goaltending),99,102
