QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
4,1:16.0,M. Turner misses 3-pt jump shot from 25 ft,,94,101
4,1:12.0,,Defensive rebound by T. Ross,94,101
4,1:02.0,,E. Fournier misses 3-pt jump shot from 23 ft,94,101
4,1:01.0,Defensive rebound by C. Joseph,,94,101
4,1:01.0,Indiana full timeout,,94,101
4,1:01.0,A. Holiday enters the game for C. Joseph,,94,101
4,1:01.0,,J. Isaac enters the game for T. Ross,94,101
4,0:53.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Collison),,96,101
4,0:41.0,,Personal take foul by A. Holiday (drawn by D. Augustin),96,101
4,0:41.0,,D. Augustin makes free throw 1 of 2,96,102
4,0:41.0,,D. Augustin makes free throw 2 of 2,96,103
4,0:41.0,Indiana full timeout,,96,103
4,0:37.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,96,103
4,0:34.0,Offensive rebound by T. Young,,96,103
4,0:32.0,T. Young misses 3-pt jump shot from 23 ft,,96,103
4,0:30.0,Offensive rebound by D. Collison,,96,103
4,0:30.0,D. Collison makes 2-pt layup from 2 ft,,98,103
4,0:29.0,,Personal foul by D. Collison (drawn by D. Augustin),98,103
4,0:29.0,,D. Augustin makes free throw 1 of 2,98,104
4,0:29.0,,D. Augustin makes free throw 2 of 2,98,105
4,0:18.0,D. Collison misses 3-pt jump shot from 25 ft,,98,105
4,0:16.0,,Defensive rebound by Team,98,105
4,0:16.0,Loose ball foul by B. Bogdanović (drawn by D. Augustin),,98,105
4,0:16.0,,D. Augustin makes free throw 1 of 2,98,106
4,0:16.0,,D. Augustin makes free throw 2 of 2,98,107
4,0:13.0,B. Bogdanović makes 2-pt layup from 2 ft,,100,107
