QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
4,6:34.0,W. Ellington enters the game for D. Wade,,85,79
4,6:34.0,,R. Arcidiacono enters the game for S. Harrison,85,79
4,6:32.0,,Z. LaVine makes 2-pt jump shot from 15 ft (assist by R. Arcidiacono),85,81
4,6:17.0,J. Richardson makes 2-pt jump shot from 10 ft,,87,81
4,6:07.0,,Z. LaVine makes 2-pt jump shot from 21 ft,87,83
4,5:52.0,J. Richardson makes 2-pt jump shot from 17 ft,,89,83
4,5:37.0,,R. Lopez misses 2-pt jump shot from 10 ft,89,83
4,5:34.0,Defensive rebound by B. Adebayo,,89,83
4,5:21.0,J. Richardson makes 2-pt jump shot from 16 ft,,91,83
4,5:21.0,,Chicago full timeout,91,83
4,5:21.0,,W. Carter enters the game for R. Lopez,91,83
4,5:08.0,,Z. LaVine misses 3-pt jump shot from 27 ft,91,83
4,5:03.0,Defensive rebound by J. Winslow,,91,83
4,4:52.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Richardson),,94,83
4,4:38.0,,J. Parker makes 2-pt dunk from 1 ft (assist by Z. LaVine),94,85
4,4:23.0,J. Richardson misses 3-pt jump shot from 25 ft,,94,85
4,4:20.0,,Defensive rebound by Team,94,85
4,4:09.0,,Z. LaVine misses 2-pt layup from 2 ft,94,85
4,4:07.0,Defensive rebound by J. Winslow,,94,85
4,4:00.0,J. Winslow misses 2-pt layup from 4 ft (block by W. Carter),,94,85
4,3:57.0,,Defensive rebound by J. Holiday,94,85
4,3:42.0,,Z. LaVine misses 2-pt jump shot from 4 ft,94,85
4,3:40.0,Defensive rebound by J. Winslow,,94,85
4,3:38.0,Miami full timeout,,94,85
4,3:26.0,J. Richardson makes 3-pt jump shot from 24 ft,,97,85
4,3:08.0,,J. Parker makes 2-pt layup from 3 ft (assist by Z. LaVine),97,87
4,2:47.0,W. Ellington misses 3-pt jump shot from 24 ft,,97,87
4,2:43.0,,Defensive rebound by J. Parker,97,87
4,2:38.0,,Shooting foul by B. Adebayo (drawn by J. Parker),97,87
4,2:38.0,,J. Parker misses free throw 1 of 2,97,87
4,2:38.0,,Offensive rebound by Team,97,87
4,2:38.0,,J. Parker makes free throw 2 of 2,97,88
4,2:22.0,R. McGruder misses 3-pt jump shot from 26 ft,,97,88
4,2:20.0,,Defensive rebound by W. Carter,97,88
4,2:20.0,,Personal foul by B. Adebayo (drawn by W. Carter),97,88
4,2:20.0,,W. Carter makes free throw 1 of 2,97,89
4,2:20.0,,W. Carter makes free throw 2 of 2,97,90
4,2:00.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by R. McGruder),,100,90
4,1:51.0,,Z. LaVine misses 2-pt layup from 2 ft,100,90
4,1:48.0,Defensive rebound by J. Winslow,,100,90
4,1:44.0,W. Ellington misses 3-pt jump shot from 25 ft,,100,90
4,1:39.0,,Defensive rebound by Z. LaVine,100,90
4,1:37.0,,J. Parker makes 2-pt layup from 2 ft (assist by Z. LaVine),100,92
4,1:15.0,B. Adebayo misses 2-pt layup from 3 ft (block by J. Holiday),,100,92
4,1:12.0,,Defensive rebound by R. Arcidiacono,100,92
4,1:06.0,,Turnover by J. Holiday (bad pass; steal by J. Richardson),100,92
4,0:48.0,J. Winslow misses 2-pt jump shot from 13 ft,,100,92
4,0:46.0,Offensive rebound by B. Adebayo,,100,92
4,0:46.0,Shooting foul by J. Parker (drawn by B. Adebayo),,100,92
4,0:46.0,B. Adebayo misses free throw 1 of 2,,100,92
4,0:46.0,Offensive rebound by Team,,100,92
4,0:46.0,B. Adebayo makes free throw 2 of 2,,101,92
4,0:40.0,,Z. LaVine makes 2-pt dunk at rim,101,94
4,0:26.0,Personal foul by W. Carter (drawn by J. Winslow),,101,94
4,0:26.0,J. Winslow misses free throw 1 of 2,,101,94
4,0:26.0,Offensive rebound by Team,,101,94
4,0:26.0,J. Winslow makes free throw 2 of 2,,102,94
4,0:20.0,,Z. LaVine misses 3-pt jump shot from 26 ft,102,94
4,0:17.0,Defensive rebound by J. Richardson,,102,94
4,0:16.0,Personal take foul by J. Parker (drawn by J. Winslow),,102,94
4,0:16.0,J. Winslow misses free throw 1 of 2,,102,94
4,0:16.0,Offensive rebound by Team,,102,94
4,0:16.0,J. Winslow misses free throw 2 of 2,,102,94
4,0:15.0,Offensive rebound by B. Adebayo,,102,94
4,0:15.0,Personal foul by W. Carter (drawn by B. Adebayo),,102,94
4,0:15.0,,R. Lopez enters the game for W. Carter,102,94
4,0:15.0,B. Adebayo misses free throw 1 of 2,,102,94
4,0:15.0,Offensive rebound by Team,,102,94
4,0:15.0,B. Adebayo makes free throw 2 of 2,,103,94
4,0:15.0,,Chicago full timeout,103,94
4,0:10.0,,Z. LaVine misses 2-pt layup from 2 ft,103,94
4,0:10.0,Defensive rebound by Team,,103,94
4,0:07.0,Turnover by J. Winslow (bad pass; steal by J. Holiday),,103,94
4,0:04.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,103,94
4,0:04.0,,Offensive rebound by J. Parker,103,94
4,0:04.0,,J. Parker makes 2-pt layup from 1 ft,103,96
