QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
4,5:19.0,D. Cunningham enters the game for R. Gay,,101,82
4,5:13.0,,D. Sabonis misses 2-pt jump shot from 11 ft,101,82
4,5:10.0,Defensive rebound by L. Aldridge,,101,82
4,5:02.0,Turnover by B. Forbes (lost ball; steal by T. Young),,101,82
4,4:59.0,,T. Young makes 2-pt layup from 1 ft,101,84
4,4:57.0,San Antonio full timeout,,101,84
4,4:57.0,D. DeRozan enters the game for B. Forbes,,101,84
4,4:40.0,Personal foul by D. Collison (drawn by M. Belinelli),,101,84
4,4:34.0,M. Belinelli misses 2-pt layup from 4 ft,,101,84
4,4:32.0,,Defensive rebound by D. Sabonis,101,84
4,4:14.0,,C. Joseph misses 2-pt jump shot from 16 ft,101,84
4,4:09.0,Defensive rebound by L. Aldridge,,101,84
4,3:58.0,Turnover by L. Aldridge (lost ball; steal by T. Young),,101,84
4,3:55.0,,D. Collison makes 2-pt layup at rim (assist by B. Bogdanović),101,86
4,3:34.0,M. Belinelli misses 3-pt jump shot from 24 ft,,101,86
4,3:31.0,,Defensive rebound by D. Sabonis,101,86
4,3:26.0,,B. Bogdanović makes 2-pt layup at rim,101,88
4,3:06.0,Shooting foul by B. Bogdanović (drawn by D. DeRozan),,101,88
4,3:06.0,D. DeRozan makes free throw 1 of 2,,102,88
4,3:06.0,D. DeRozan misses free throw 2 of 2,,102,88
4,3:04.0,,Defensive rebound by D. Sabonis,102,88
4,2:55.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by C. Joseph),102,90
4,2:30.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by P. Mills),,104,90
4,2:19.0,,T. Young makes 2-pt layup at rim (assist by C. Joseph),104,92
4,2:00.0,M. Belinelli makes 3-pt jump shot from 27 ft (assist by D. Cunningham),,107,92
4,1:49.0,,D. Sabonis makes 2-pt jump shot from 20 ft (assist by D. Collison),107,94
4,1:32.0,L. Aldridge makes 2-pt jump shot from 16 ft,,109,94
4,1:23.0,,D. Collison misses 3-pt jump shot from 27 ft,109,94
4,1:21.0,,Offensive rebound by T. Young,109,94
4,1:21.0,,T. Young makes 2-pt layup from 1 ft,109,96
4,1:14.0,San Antonio full timeout,,109,96
4,1:14.0,D. Bertāns enters the game for L. Aldridge,,109,96
4,1:14.0,C. Metu enters the game for M. Belinelli,,109,96
4,1:14.0,J. Poeltl enters the game for D. Cunningham,,109,96
4,1:14.0,Q. Pondexter enters the game for D. DeRozan,,109,96
4,1:14.0,D. White enters the game for P. Mills,,109,96
4,1:14.0,,I. Anigbogu enters the game for B. Bogdanović,109,96
4,1:14.0,,A. Holiday enters the game for D. Collison,109,96
4,1:14.0,,T. Leaf enters the game for D. Sabonis,109,96
4,1:14.0,,D. Reed enters the game for T. Young,109,96
4,1:02.0,Turnover by J. Poeltl (bad pass; steal by C. Joseph),,109,96
4,0:58.0,,C. Joseph makes 2-pt jump shot from 16 ft,109,98
4,0:41.0,C. Metu misses 2-pt hook shot from 10 ft,,109,98
4,0:40.0,Offensive rebound by J. Poeltl,,109,98
4,0:40.0,J. Poeltl makes 2-pt layup at rim,,111,98
4,0:32.0,,A. Holiday makes 2-pt jump shot from 8 ft (assist by I. Anigbogu),111,100
4,0:18.0,Turnover by J. Poeltl (traveling),,111,100
4,0:13.0,,A. Holiday misses 2-pt jump shot from 18 ft,111,100
4,0:13.0,,Offensive rebound by I. Anigbogu,111,100
4,0:09.0,,I. Anigbogu misses 2-pt layup from 1 ft,111,100
4,0:08.0,Defensive rebound by J. Poeltl,,111,100
