QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
4,2:42.0,,Defensive rebound by L. Aldridge,86,103
4,2:36.0,,San Antonio full timeout,86,103
4,2:36.0,,D. Eubanks enters the game for L. Aldridge,86,103
4,2:36.0,,D. Motiejūnas enters the game for B. Forbes,86,103
4,2:36.0,,Q. Pondexter enters the game for D. White,86,103
4,2:32.0,,Offensive foul by D. Motiejūnas (drawn by J. Brunson),86,103
4,2:32.0,,Turnover by D. Motiejūnas (offensive foul),86,103
4,2:22.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by J. Brunson),,88,103
4,2:06.0,,Turnover by D. Motiejūnas (traveling),88,103
4,1:59.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,88,103
4,1:56.0,,Defensive rebound by R. Gay,88,103
4,1:47.0,,D. Motiejūnas makes 2-pt hook shot from 9 ft (assist by R. Gay),88,105
4,1:27.0,Shooting foul by D. Eubanks (drawn by D. Powell),,88,105
4,1:27.0,D. Powell makes free throw 1 of 2,,89,105
4,1:27.0,Dallas full timeout,,89,105
4,1:27.0,D. Powell makes free throw 2 of 2,,90,105
4,1:17.0,,L. Walker misses 2-pt jump shot from 9 ft,90,105
4,1:13.0,,Offensive rebound by D. Motiejūnas,90,105
4,1:05.0,,R. Gay misses 2-pt jump shot from 13 ft,90,105
4,1:02.0,Defensive rebound by D. Finney-Smith,,90,105
4,0:49.0,D. Nowitzki makes 2-pt jump shot from 20 ft,,92,105
4,0:46.0,,Personal take foul by D. Harris (drawn by L. Walker),92,105
4,0:46.0,J. Jackson enters the game for D. Nowitzki,,92,105
4,0:30.0,,D. Eubanks misses 2-pt layup from 4 ft,92,105
4,0:28.0,Defensive rebound by D. Powell,,92,105
4,0:25.0,D. Harris misses 3-pt jump shot from 28 ft,,92,105
4,0:20.0,Offensive rebound by J. Jackson,,92,105
4,0:18.0,D. Finney-Smith misses 2-pt jump shot from 19 ft,,92,105
4,0:18.0,Offensive rebound by D. Powell,,92,105
4,0:18.0,D. Powell makes 2-pt layup from 1 ft,,94,105
