QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,GOLDEN STATE_ACTION,CHARLOTTE_SCORE,GOLDEN STATE_SCORE
4,1:48.0,W. Hernangómez makes free throw 2 of 2,,88,128
4,1:37.0,,Q. Cook makes 3-pt jump shot from 26 ft (assist by J. Bell),88,131
4,1:26.0,M. Monk makes 2-pt jump shot from 20 ft,,90,131
4,1:15.0,,J. Bell makes 2-pt jump shot from 19 ft,90,133
4,1:07.0,M. Bridges misses 3-pt jump shot from 27 ft,,90,133
4,1:04.0,,Defensive rebound by A. McKinnie,90,133
4,0:57.0,,Q. Cook makes 2-pt layup from 2 ft,90,135
4,0:45.0,M. Monk misses 2-pt jump shot from 18 ft,,90,135
4,0:41.0,,Defensive rebound by J. Jerebko,90,135
4,0:24.0,,J. Jerebko misses 3-pt jump shot from 27 ft,90,135
4,0:23.0,,Offensive rebound by A. McKinnie,90,135
4,0:23.0,,A. McKinnie makes 2-pt dunk at rim,90,137
4,0:15.0,S. Mack misses 2-pt layup from 2 ft,,90,137
4,0:14.0,,Defensive rebound by J. Jerebko,90,137
