QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
4,5:43.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by N. Jokić),106,113
4,5:21.0,W. Matthews misses 2-pt jump shot from 8 ft (block by J. Murray),,106,113
4,5:19.0,,Defensive rebound by J. Murray,106,113
4,5:16.0,,J. Murray makes 2-pt layup from 1 ft,106,115
4,5:15.0,Dallas full timeout,,106,115
4,4:54.0,D. Powell misses 2-pt layup from 3 ft,,106,115
4,4:52.0,,Defensive rebound by M. Plumlee,106,115
4,4:31.0,,J. Murray misses 2-pt jump shot from 7 ft,106,115
4,4:29.0,,Offensive rebound by J. Murray,106,115
4,4:27.0,,J. Murray misses 2-pt jump shot from 11 ft,106,115
4,4:26.0,Defensive rebound by L. Dončić,,106,115
4,4:25.0,Personal foul by M. Plumlee (drawn by L. Dončić),,106,115
4,4:17.0,Personal foul by J. Hernangómez (drawn by L. Dončić),,106,115
4,4:17.0,D. Finney-Smith enters the game for D. Powell,,106,115
4,4:07.0,L. Dončić misses 3-pt jump shot from 25 ft,,106,115
4,4:04.0,,Defensive rebound by N. Jokić,106,115
4,3:46.0,,M. Morris misses 3-pt jump shot from 22 ft,106,115
4,3:43.0,Defensive rebound by L. Dončić,,106,115
4,3:37.0,H. Barnes makes 2-pt layup from 2 ft (assist by L. Dončić),,108,115
4,3:21.0,,J. Murray makes 2-pt jump shot from 17 ft,108,117
4,3:06.0,Turnover by W. Matthews (bad pass; steal by J. Murray),,108,117
4,3:06.0,,Turnover by J. Murray (step out of bounds),108,117
4,3:06.0,,Denver full timeout,108,117
4,3:01.0,H. Barnes makes 2-pt layup from 2 ft (assist by J. Brunson),,110,117
4,2:46.0,,M. Morris makes 2-pt jump shot from 8 ft,110,119
4,2:30.0,H. Barnes makes 2-pt layup from 2 ft,,112,119
4,2:22.0,,Turnover by M. Morris (bad pass; steal by W. Matthews),112,119
4,2:21.0,Turnover by W. Matthews (bad pass; steal by M. Morris),,112,119
4,2:16.0,,N. Jokić misses 3-pt jump shot from 25 ft,112,119
4,2:13.0,Defensive rebound by L. Dončić,,112,119
4,2:09.0,L. Dončić misses 2-pt layup from 3 ft (block by N. Jokić),,112,119
4,2:08.0,Offensive rebound by Team,,112,119
4,2:06.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,112,119
4,2:04.0,,Defensive rebound by J. Hernangómez,112,119
4,1:51.0,,M. Morris makes 2-pt jump shot from 9 ft (assist by J. Murray),112,121
4,1:41.0,J. Brunson makes 2-pt jump shot from 3 ft,,114,121
4,1:19.0,,J. Murray makes 3-pt jump shot from 25 ft,114,124
4,1:19.0,Dallas full timeout,,114,124
4,1:17.0,W. Matthews misses 3-pt jump shot from 26 ft,,114,124
4,1:13.0,,Defensive rebound by J. Murray,114,124
4,1:04.0,,Personal foul by W. Matthews (drawn by N. Jokić),114,124
4,1:04.0,R. Broekhoff enters the game for W. Matthews,,114,124
4,0:52.0,,M. Plumlee misses 2-pt layup from 3 ft (block by H. Barnes),114,124
4,0:51.0,Defensive rebound by L. Dončić,,114,124
4,0:51.0,Personal foul by M. Plumlee (drawn by L. Dončić),,114,124
4,0:51.0,L. Dončić makes free throw 1 of 2,,115,124
4,0:51.0,,T. Lyles enters the game for M. Plumlee,115,124
4,0:51.0,L. Dončić makes free throw 2 of 2,,116,124
4,0:33.0,,J. Murray makes 2-pt jump shot from 18 ft,116,126
4,0:25.0,J. Brunson makes 2-pt layup from 1 ft,,118,126
4,0:01.0,,Turnover by Team (shot clock),118,126
