QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
4,5:39.0,C. LeVert misses free throw 2 of 2,,88,91
4,5:36.0,,Defensive rebound by A. Drummond,88,91
4,5:16.0,,R. Jackson misses 2-pt layup from 6 ft,88,91
4,5:13.0,Defensive rebound by T. Graham,,88,91
4,4:58.0,S. Dinwiddie makes 2-pt layup from 4 ft,,90,91
4,4:46.0,,Turnover by R. Jackson (traveling),90,91
4,4:32.0,Personal foul by R. Jackson (drawn by C. LeVert),,90,91
4,4:26.0,C. LeVert makes 2-pt jump shot from 7 ft,,92,91
4,4:06.0,,A. Drummond makes 2-pt jump shot from 10 ft (assist by L. Galloway),92,93
4,3:50.0,J. Allen makes 2-pt layup from 3 ft (assist by C. LeVert),,94,93
4,3:30.0,,B. Griffin misses 2-pt jump shot from 7 ft,94,93
4,3:26.0,,Offensive rebound by A. Drummond,94,93
4,3:24.0,,A. Drummond makes 2-pt layup from 2 ft,94,95
4,3:22.0,Brooklyn full timeout,,94,95
4,3:22.0,J. Harris enters the game for T. Graham,,94,95
4,3:09.0,J. Dudley misses 3-pt jump shot from 27 ft,,94,95
4,3:03.0,Offensive rebound by C. LeVert,,94,95
4,3:02.0,C. LeVert misses 2-pt layup from 5 ft,,94,95
4,2:59.0,,Defensive rebound by B. Griffin,94,95
4,2:58.0,,B. Griffin makes 2-pt layup from 1 ft,94,97
4,2:39.0,Turnover by J. Allen (bad pass; steal by R. Jackson),,94,97
4,2:17.0,,R. Jackson misses 3-pt jump shot from 32 ft,94,97
4,2:12.0,,Offensive rebound by A. Drummond,94,97
4,2:03.0,,R. Jackson misses 2-pt layup from 4 ft,94,97
4,2:01.0,,Offensive rebound by A. Drummond,94,97
4,2:00.0,,A. Drummond makes 2-pt layup from 2 ft,94,99
4,1:44.0,S. Dinwiddie misses 2-pt layup from 6 ft (block by A. Drummond),,94,99
4,1:44.0,Offensive rebound by Team,,94,99
4,1:44.0,Personal foul by I. Smith (drawn by S. Dinwiddie),,94,99
4,1:39.0,J. Harris makes 2-pt layup from 4 ft (assist by C. LeVert),,96,99
4,1:28.0,,R. Jackson makes 2-pt layup from 2 ft,96,101
4,1:20.0,Shooting foul by I. Smith (drawn by S. Dinwiddie),,96,101
4,1:20.0,S. Dinwiddie makes free throw 1 of 2,,97,101
4,1:20.0,S. Dinwiddie misses free throw 2 of 2,,97,101
4,1:16.0,Offensive rebound by J. Dudley,,97,101
4,1:14.0,J. Harris makes 3-pt jump shot from 28 ft (assist by J. Dudley),,100,101
4,0:52.0,,R. Jackson misses 2-pt jump shot from 10 ft,100,101
4,0:52.0,,Offensive rebound by Team,100,101
4,0:52.0,,Turnover by Team (shot clock),100,101
4,0:37.0,J. Allen misses 2-pt layup from 3 ft,,100,101
4,0:34.0,,Defensive rebound by B. Griffin,100,101
4,0:16.0,,B. Griffin misses 2-pt jump shot from 9 ft (block by C. LeVert),100,101
4,0:16.0,,Offensive rebound by Team,100,101
4,0:16.0,,Detroit full timeout,100,101
4,0:15.0,,A. Drummond misses 3-pt jump shot from 30 ft,100,101
4,0:15.0,,Offensive rebound by Team,100,101
4,0:15.0,,Turnover by Team (shot clock),100,101
4,0:15.0,Brooklyn full timeout,,100,101
4,0:15.0,T. Graham enters the game for J. Allen,,100,101
4,0:15.0,,G. Robinson enters the game for I. Smith,100,101
4,0:08.0,Turnover by C. LeVert (out of bounds lost ball),,100,101
4,0:07.0,,Detroit full timeout,100,101
4,0:07.0,,I. Smith enters the game for A. Drummond,100,101
4,0:06.0,,Personal foul by S. Dinwiddie (drawn by R. Jackson),100,101
4,0:06.0,,Personal foul by J. Dudley (drawn by R. Jackson),100,101
4,0:06.0,,R. Jackson makes free throw 1 of 2,100,102
4,0:06.0,J. Allen enters the game for J. Dudley,,100,102
4,0:06.0,,R. Jackson makes free throw 2 of 2,100,103
4,0:06.0,J. Dudley enters the game for J. Allen,,100,103
4,0:03.0,J. Harris misses 3-pt jump shot from 27 ft,,100,103
4,0:03.0,,Defensive rebound by B. Griffin,100,103
