QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
4,2:53.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by A. Iguodala),102,104
4,2:31.0,D. Augustin makes 3-pt jump shot from 27 ft (assist by N. Vučević),,105,104
4,2:15.0,,K. Durant misses 2-pt jump shot from 19 ft,105,104
4,2:14.0,Defensive rebound by D. Augustin,,105,104
4,1:56.0,Personal foul by A. Iguodala (drawn by N. Vučević),,105,104
4,1:56.0,N. Vučević makes free throw 1 of 2,,106,104
4,1:56.0,N. Vučević makes free throw 2 of 2,,107,104
4,1:45.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by K. Durant),107,107
4,1:32.0,N. Vučević misses 2-pt hook shot from 12 ft,,107,107
4,1:31.0,,Defensive rebound by Q. Cook,107,107
4,1:19.0,,K. Durant makes 2-pt layup from 2 ft,107,109
4,1:19.0,,Shooting foul by N. Vučević (drawn by K. Durant),107,109
4,1:19.0,,K. Durant makes free throw 1 of 1,107,110
4,1:11.0,T. Ross makes 2-pt dunk from 3 ft (assist by N. Vučević),,109,110
4,0:51.0,,K. Durant misses 2-pt jump shot from 18 ft,109,110
4,0:50.0,Defensive rebound by T. Ross,,109,110
4,0:40.0,T. Ross misses 2-pt jump shot from 10 ft,,109,110
4,0:39.0,,Defensive rebound by K. Durant,109,110
4,0:22.0,,K. Durant makes 3-pt jump shot from 27 ft,109,113
4,0:21.0,Orlando full timeout,,109,113
4,0:21.0,,S. Livingston enters the game for Q. Cook,109,113
4,0:17.0,Personal foul by K. Thompson (drawn by N. Vučević),,109,113
4,0:17.0,N. Vučević misses free throw 1 of 2,,109,113
4,0:17.0,Offensive rebound by Team,,109,113
4,0:17.0,N. Vučević makes free throw 2 of 2,,110,113
4,0:13.0,,Personal foul by E. Fournier (drawn by S. Livingston),110,113
4,0:13.0,,S. Livingston misses free throw 1 of 2,110,113
4,0:13.0,,Offensive rebound by Team,110,113
4,0:13.0,,S. Livingston makes free throw 2 of 2,110,114
4,0:13.0,Orlando full timeout,,110,114
4,0:08.0,E. Fournier misses 3-pt jump shot from 25 ft,,110,114
4,0:06.0,,Defensive rebound by K. Durant,110,114
4,0:06.0,,Personal foul by N. Vučević (drawn by K. Durant),110,114
4,0:06.0,,K. Durant makes free throw 1 of 2,110,115
4,0:06.0,,K. Durant makes free throw 2 of 2,110,116
4,0:00.0,D. Augustin misses 3-pt jump shot from 28 ft,,110,116
4,0:00.0,Offensive rebound by Team,,110,116
