QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
4,7:51.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,106,102
4,7:51.0,,Defensive rebound by Team,106,102
4,7:51.0,J. Redick enters the game for L. Shamet,,106,102
4,7:34.0,,Offensive foul by K. Olynyk (drawn by M. Muscala),106,102
4,7:34.0,,Turnover by K. Olynyk (offensive foul),106,102
4,7:18.0,Turnover by B. Simmons (out of bounds lost ball),,106,102
4,6:59.0,,Turnover by J. Richardson (bad pass; steal by W. Chandler),106,102
4,6:50.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Redick),,109,102
4,6:50.0,,Miami full timeout,109,102
4,6:50.0,J. Embiid enters the game for W. Chandler,,109,102
4,6:40.0,,Turnover by T. Johnson (bad pass),109,102
4,6:26.0,F. Korkmaz misses 2-pt jump shot from 4 ft,,109,102
4,6:22.0,Offensive rebound by F. Korkmaz,,109,102
4,6:18.0,M. Muscala misses 3-pt jump shot from 23 ft,,109,102
4,6:16.0,,Defensive rebound by K. Olynyk,109,102
4,6:08.0,,T. Johnson makes 2-pt jump shot from 9 ft,109,104
4,5:48.0,J. Redick misses 3-pt jump shot from 25 ft,,109,104
4,5:45.0,Offensive rebound by J. Embiid,,109,104
4,5:41.0,J. Redick makes 2-pt jump shot from 17 ft,,111,104
4,5:23.0,,D. Jones misses 3-pt jump shot from 25 ft,111,104
4,5:21.0,Defensive rebound by F. Korkmaz,,111,104
4,5:06.0,J. Embiid misses 2-pt layup from 1 ft (block by D. Jones),,111,104
4,5:04.0,,Defensive rebound by D. Jones,111,104
4,5:04.0,,Miami full timeout,111,104
4,5:04.0,,G. Dragić enters the game for D. Jones,111,104
4,5:04.0,,H. Whiteside enters the game for K. Olynyk,111,104
4,4:49.0,,W. Ellington makes 3-pt jump shot from 24 ft,111,107
4,4:38.0,B. Simmons makes 2-pt dunk from 1 ft (assist by M. Muscala),,113,107
4,4:22.0,,W. Ellington misses 3-pt jump shot from 24 ft,113,107
4,4:20.0,,Offensive rebound by T. Johnson,113,107
4,4:11.0,,T. Johnson misses 3-pt jump shot from 25 ft,113,107
4,4:08.0,Defensive rebound by B. Simmons,,113,107
4,3:56.0,J. Redick misses 3-pt jump shot from 26 ft,,113,107
4,3:53.0,,Defensive rebound by H. Whiteside,113,107
4,3:43.0,,W. Ellington misses 3-pt jump shot from 23 ft,113,107
4,3:39.0,Defensive rebound by J. Embiid,,113,107
4,3:35.0,Philadelphia full timeout,,113,107
4,3:35.0,W. Chandler enters the game for M. Muscala,,113,107
4,3:35.0,,K. Olynyk enters the game for T. Johnson,113,107
4,3:18.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Redick),,115,107
4,3:00.0,,Personal foul by J. Redick (drawn by H. Whiteside),115,107
4,2:56.0,Violation by Team (kicked ball),,115,107
4,2:50.0,,Turnover by K. Olynyk (bad pass),115,107
4,2:44.0,Personal foul by W. Ellington (drawn by J. Redick),,115,107
4,2:44.0,,R. McGruder enters the game for W. Ellington,115,107
4,2:29.0,J. Redick misses 2-pt jump shot from 22 ft,,115,107
4,2:27.0,,Defensive rebound by G. Dragić,115,107
4,2:17.0,,G. Dragić misses 2-pt jump shot from 15 ft,115,107
4,2:14.0,Defensive rebound by J. Embiid,,115,107
4,1:59.0,J. Embiid makes 3-pt jump shot from 26 ft,,118,107
4,1:49.0,,Turnover by R. McGruder (lost ball; steal by B. Simmons),118,107
4,1:30.0,B. Simmons makes 2-pt dunk from 1 ft,,120,107
4,1:30.0,,Miami full timeout,120,107
4,1:30.0,M. Muscala enters the game for J. Embiid,,120,107
4,1:30.0,,W. Ellington enters the game for K. Olynyk,120,107
4,1:22.0,,Shooting foul by M. Muscala (drawn by H. Whiteside),120,107
4,1:22.0,,H. Whiteside makes free throw 1 of 2,120,108
4,1:22.0,J. Embiid enters the game for M. Muscala,,120,108
4,1:22.0,,H. Whiteside misses free throw 2 of 2,120,108
4,1:19.0,Defensive rebound by Team,,120,108
4,1:19.0,Personal foul by J. Richardson (drawn by B. Simmons),,120,108
4,1:19.0,,B. Adebayo enters the game for H. Whiteside,120,108
4,1:16.0,Philadelphia full timeout,,120,108
4,1:15.0,Personal foul by G. Dragić (drawn by F. Korkmaz),,120,108
4,1:15.0,F. Korkmaz makes free throw 1 of 2,,121,108
4,1:15.0,T. McConnell enters the game for W. Chandler,,121,108
4,1:15.0,M. Muscala enters the game for J. Embiid,,121,108
4,1:15.0,,K. Olynyk enters the game for B. Adebayo,121,108
4,1:15.0,F. Korkmaz makes free throw 2 of 2,,122,108
4,1:07.0,,K. Olynyk makes 2-pt dunk from 1 ft,122,110
4,0:50.0,F. Korkmaz makes 2-pt layup from 1 ft,,124,110
4,0:43.0,,G. Dragić makes 2-pt layup from 1 ft,124,112
4,0:33.0,Turnover by B. Simmons (lost ball; steal by G. Dragić),,124,112
4,0:31.0,,G. Dragić makes 2-pt layup from 1 ft,124,114
4,0:07.0,Turnover by Team (shot clock),,124,114
