QUARTER,TIME_REMAINING,LA LAKERS_ACTION,WASHINGTON_ACTION,LA LAKERS_SCORE,WASHINGTON_SCORE
4,4:00.0,,Turnover by S. Dekker (bad pass; steal by S. Mykhailiuk),99,120
4,3:55.0,L. Ball makes 3-pt jump shot from 23 ft (assist by L. Stephenson),,102,120
4,3:54.0,,Washington full timeout,102,120
4,3:54.0,I. Bonga enters the game for K. Kuzma,,102,120
4,3:54.0,,J. Green enters the game for S. Dekker,102,120
4,3:45.0,,B. Beal misses 3-pt jump shot from 26 ft,102,120
4,3:41.0,Defensive rebound by L. Ball,,102,120
4,3:34.0,L. Stephenson makes 3-pt jump shot from 26 ft (assist by L. Ball),,105,120
4,3:17.0,,Personal foul by L. Stephenson (drawn by J. Wall),105,120
4,3:07.0,,J. Green makes 3-pt jump shot from 23 ft (assist by T. Bryant),105,123
4,2:54.0,I. Bonga makes 2-pt layup from 2 ft (assist by I. Zubac),,107,123
4,2:32.0,,J. Wall makes 3-pt jump shot from 26 ft,107,126
4,2:26.0,Turnover by L. Ball (dbl dribble),,107,126
4,2:26.0,,T. Brown enters the game for B. Beal,107,126
4,2:26.0,,J. McRae enters the game for J. Wall,107,126
4,2:17.0,,Turnover by T. Satoranský (bad pass; steal by L. Stephenson),107,126
4,2:13.0,Turnover by L. Stephenson (lost ball; steal by J. McRae),,107,126
4,2:07.0,,Personal foul by L. Stephenson (drawn by J. McRae),107,126
4,2:07.0,,O. White enters the game for J. Green,107,126
4,1:59.0,,O. White misses 3-pt jump shot from 26 ft,107,126
4,1:55.0,Defensive rebound by I. Zubac,,107,126
4,1:47.0,Turnover by S. Mykhailiuk (bad pass; steal by T. Satoranský),,107,126
4,1:42.0,,T. Satoranský misses 2-pt dunk from 3 ft,107,126
4,1:41.0,Defensive rebound by S. Mykhailiuk,,107,126
4,1:37.0,I. Zubac makes 2-pt layup from 2 ft (assist by I. Bonga),,109,126
4,1:23.0,,J. McRae misses 2-pt jump shot from 9 ft,109,126
4,1:23.0,Defensive rebound by L. Ball,,109,126
4,1:18.0,Shooting foul by T. Brown (drawn by I. Bonga),,109,126
4,1:18.0,I. Bonga misses free throw 1 of 2,,109,126
4,1:18.0,Offensive rebound by Team,,109,126
4,1:18.0,I. Bonga makes free throw 2 of 2,,110,126
4,0:57.0,,T. Brown misses 2-pt layup from 3 ft,110,126
4,0:57.0,,Offensive rebound by T. Bryant,110,126
4,0:56.0,,T. Bryant makes 2-pt layup from 3 ft,110,128
4,0:46.0,L. Stephenson misses 3-pt jump shot from 31 ft,,110,128
4,0:42.0,,Defensive rebound by T. Bryant,110,128
4,0:23.0,,T. Brown misses 3-pt jump shot from 28 ft,110,128
4,0:19.0,Defensive rebound by I. Bonga,,110,128
4,0:01.0,L. Stephenson misses 2-pt jump shot from 21 ft,,110,128
4,0:00.0,,Defensive rebound by Team,110,128
