QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
4,5:12.0,,J. Valančiūnas misses 2-pt layup from 3 ft (block by B. Griffin),96,97
4,5:12.0,Defensive rebound by Team,,96,97
4,4:54.0,R. Jackson makes 2-pt jump shot from 11 ft,,98,97
4,4:42.0,,K. Lowry misses 3-pt jump shot from 26 ft,98,97
4,4:42.0,Defensive rebound by B. Griffin,,98,97
4,4:29.0,R. Jackson makes 2-pt layup from 2 ft,,100,97
4,4:29.0,,Toronto full timeout,100,97
4,4:29.0,,O. Anunoby enters the game for F. VanVleet,100,97
4,4:20.0,,Personal foul by L. Galloway (drawn by O. Anunoby),100,97
4,4:20.0,,O. Anunoby misses free throw 1 of 2,100,97
4,4:20.0,,Offensive rebound by Team,100,97
4,4:20.0,,O. Anunoby misses free throw 2 of 2,100,97
4,4:18.0,Defensive rebound by B. Griffin,,100,97
4,4:07.0,R. Jackson misses 2-pt jump shot from 12 ft,,100,97
4,4:04.0,,Defensive rebound by J. Valančiūnas,100,97
4,3:47.0,,Turnover by K. Leonard (lost ball; steal by S. Johnson),100,97
4,3:31.0,Turnover by R. Jackson (traveling),,100,97
4,3:19.0,,K. Leonard makes 2-pt layup from 2 ft,100,99
4,3:19.0,Detroit full timeout,,100,99
4,3:03.0,R. Jackson misses 3-pt jump shot from 27 ft,,100,99
4,3:01.0,,Defensive rebound by K. Lowry,100,99
4,3:00.0,Clear path foul by K. Leonard,,100,99
4,3:00.0,,K. Leonard misses clear path free throw 1 of 2,100,99
4,3:00.0,,Offensive rebound by Team,100,99
4,3:00.0,,K. Leonard makes clear path free throw 2 of 2,100,100
4,2:52.0,,Turnover by K. Leonard (traveling),100,100
4,2:36.0,R. Jackson misses 2-pt layup from 5 ft,,100,100
4,2:32.0,Offensive rebound by A. Drummond,,100,100
4,2:32.0,A. Drummond makes 2-pt dunk from 1 ft,,102,100
4,2:25.0,,K. Leonard misses 2-pt jump shot from 10 ft,102,100
4,2:22.0,Defensive rebound by B. Griffin,,102,100
4,2:01.0,B. Griffin makes 2-pt jump shot from 12 ft,,104,100
4,1:42.0,,K. Lowry misses 2-pt jump shot from 16 ft,104,100
4,1:36.0,,Offensive rebound by J. Valančiūnas,104,100
4,1:36.0,,J. Valančiūnas misses 2-pt layup at rim,104,100
4,1:36.0,Defensive rebound by S. Johnson,,104,100
4,1:15.0,B. Griffin misses 2-pt jump shot from 23 ft,,104,100
4,1:13.0,,Defensive rebound by P. Siakam,104,100
4,1:06.0,,K. Lowry makes 2-pt layup from 1 ft,104,102
4,0:55.0,Detroit full timeout,,104,102
4,0:49.0,R. Jackson misses 2-pt jump shot from 3 ft,,104,102
4,0:48.0,,Defensive rebound by Team,104,102
4,0:38.0,,K. Leonard makes 2-pt jump shot from 11 ft,104,104
4,0:23.0,Personal foul by K. Leonard (drawn by B. Griffin),,104,104
4,0:11.0,B. Griffin misses 2-pt jump shot from 7 ft,,104,104
4,0:10.0,,Defensive rebound by K. Lowry,104,104
4,0:10.0,,Toronto full timeout,104,104
4,0:10.0,R. Bullock enters the game for R. Jackson,,104,104
4,0:02.0,,Turnover by K. Leonard (out of bounds lost ball),104,104
4,0:02.0,Detroit full timeout,,104,104
4,0:02.0,J. Calderón enters the game for A. Drummond,,104,104
4,0:02.0,R. Jackson enters the game for L. Galloway,,104,104
4,0:02.0,G. Robinson enters the game for S. Johnson,,104,104
4,0:02.0,,F. VanVleet enters the game for J. Valančiūnas,104,104
4,0:01.0,G. Robinson misses 2-pt layup from 2 ft (block by P. Siakam),,104,104
4,0:01.0,Offensive rebound by Team,,104,104
4,0:01.0,A. Drummond enters the game for G. Robinson,,104,104
4,0:01.0,,J. Valančiūnas enters the game for F. VanVleet,104,104
4,0:00.0,R. Bullock makes 2-pt jump shot from 5 ft (assist by J. Calderón),,106,104
