QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
4,5:58.0,D. Finney-Smith misses 3-pt jump shot from 27 ft,,80,92
4,5:55.0,,Defensive rebound by B. Simmons,80,92
4,5:46.0,,L. Shamet misses 3-pt jump shot from 25 ft,80,92
4,5:44.0,,Offensive rebound by M. Muscala,80,92
4,5:36.0,,M. Muscala makes 2-pt jump shot from 11 ft (assist by T. McConnell),80,94
4,5:35.0,Dallas full timeout,,80,94
4,5:35.0,H. Barnes enters the game for R. Broekhoff,,80,94
4,5:35.0,L. Dončić enters the game for J. Brunson,,80,94
4,5:35.0,W. Matthews enters the game for D. Finney-Smith,,80,94
4,5:35.0,D. Smith enters the game for M. Kleber,,80,94
4,5:21.0,L. Dončić makes 2-pt layup from 2 ft,,82,94
4,5:21.0,Shooting foul by L. Shamet (drawn by L. Dončić),,82,94
4,5:21.0,L. Dončić misses free throw 1 of 1,,82,94
4,5:19.0,,Defensive rebound by B. Simmons,82,94
4,5:12.0,,Turnover by T. McConnell (bad pass),82,94
4,4:58.0,L. Dončić misses 2-pt jump shot from 18 ft,,82,94
4,4:57.0,Offensive rebound by Team,,82,94
4,4:57.0,,Loose ball foul by M. Muscala (drawn by D. Powell),82,94
4,4:57.0,D. Powell makes free throw 1 of 2,,83,94
4,4:57.0,D. Powell makes free throw 2 of 2,,84,94
4,4:40.0,,F. Korkmaz misses 3-pt jump shot from 28 ft,84,94
4,4:37.0,Defensive rebound by D. Smith,,84,94
4,4:19.0,D. Powell makes 2-pt dunk from 1 ft (assist by D. Smith),,86,94
4,4:19.0,,Philadelphia full timeout,86,94
4,4:19.0,,J. Bolden enters the game for T. McConnell,86,94
4,4:19.0,,J. Embiid enters the game for M. Muscala,86,94
4,4:19.0,,J. Redick enters the game for L. Shamet,86,94
4,4:09.0,,J. Embiid misses 2-pt layup from 3 ft (block by D. Powell),86,94
4,4:06.0,Defensive rebound by L. Dončić,,86,94
4,4:02.0,,Violation by Team (kicked ball),86,94
4,3:52.0,H. Barnes misses 3-pt jump shot from 27 ft,,86,94
4,3:49.0,,Defensive rebound by B. Simmons,86,94
4,3:33.0,,Shooting foul by H. Barnes (drawn by J. Embiid),86,94
4,3:33.0,,J. Embiid makes free throw 1 of 2,86,95
4,3:33.0,,J. Embiid makes free throw 2 of 2,86,96
4,3:17.0,D. Powell misses 2-pt jump shot from 19 ft,,86,96
4,3:14.0,,Defensive rebound by J. Embiid,86,96
4,2:58.0,,F. Korkmaz misses 2-pt layup from 2 ft,86,96
4,2:55.0,Defensive rebound by L. Dončić,,86,96
4,2:51.0,Turnover by D. Smith (out of bounds lost ball),,86,96
4,2:39.0,,Personal foul by W. Matthews (drawn by B. Simmons),86,96
4,2:30.0,,J. Embiid makes 2-pt layup from 3 ft (assist by F. Korkmaz),86,98
4,2:20.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by L. Dončić),,89,98
4,1:56.0,,J. Embiid misses 2-pt hook shot from 7 ft (block by D. Powell),89,98
4,1:54.0,Defensive rebound by L. Dončić,,89,98
4,1:48.0,D. Smith makes 2-pt layup from 2 ft (assist by H. Barnes),,91,98
4,1:48.0,,Philadelphia full timeout,91,98
4,1:34.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Bolden),91,101
4,1:24.0,W. Matthews makes 3-pt jump shot from 28 ft (assist by L. Dončić),,94,101
4,1:16.0,,Turnover by J. Embiid (offensive foul),94,101
4,1:16.0,,Offensive foul by J. Embiid (drawn by D. Powell),94,101
4,1:08.0,L. Dončić makes 3-pt jump shot from 28 ft,,97,101
4,1:03.0,,Personal take foul by W. Matthews (drawn by B. Simmons),97,101
4,1:03.0,,B. Simmons makes free throw 1 of 2,97,102
4,1:03.0,,T. McConnell enters the game for J. Bolden,97,102
4,1:03.0,,B. Simmons misses free throw 2 of 2,97,102
4,1:00.0,Defensive rebound by D. Powell,,97,102
4,0:50.0,Shooting foul by J. Embiid (drawn by D. Powell),,97,102
4,0:50.0,D. Powell makes free throw 1 of 2,,98,102
4,0:50.0,D. Powell misses free throw 2 of 2,,98,102
4,0:48.0,,Defensive rebound by F. Korkmaz,98,102
4,0:28.0,Loose ball foul by W. Matthews (drawn by J. Embiid),,98,102
4,0:28.0,,J. Embiid makes free throw 1 of 2,98,103
4,0:28.0,,J. Embiid makes free throw 2 of 2,98,104
4,0:22.0,L. Dončić misses 3-pt jump shot from 28 ft,,98,104
4,0:18.0,,Defensive rebound by F. Korkmaz,98,104
4,0:14.0,,Personal foul by W. Matthews (drawn by F. Korkmaz),98,104
4,0:14.0,,F. Korkmaz makes free throw 1 of 2,98,105
4,0:14.0,,F. Korkmaz makes free throw 2 of 2,98,106
4,0:06.0,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),,100,106
