QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
4,2:29.0,,C. Paul misses 3-pt jump shot from 25 ft,101,111
4,2:28.0,Defensive rebound by Team,,101,111
4,2:19.0,Turnover by V. Oladipo (bad pass),,101,111
4,1:58.0,,G. Clark misses 3-pt jump shot from 23 ft,101,111
4,1:56.0,Defensive rebound by V. Oladipo,,101,111
4,1:50.0,V. Oladipo misses 2-pt layup from 2 ft (block by J. Harden),,101,111
4,1:48.0,,Defensive rebound by Team,101,111
4,1:23.0,,J. Harden misses 3-pt jump shot from 27 ft,101,111
4,1:21.0,Defensive rebound by B. Bogdanović,,101,111
4,1:18.0,C. Joseph makes 2-pt layup from 4 ft (assist by B. Bogdanović),,103,111
4,1:02.0,,C. Paul makes 2-pt layup from 4 ft,103,113
4,1:02.0,Indiana full timeout,,103,113
4,0:56.0,B. Bogdanović misses 2-pt layup from 6 ft (block by E. Gordon),,103,113
4,0:53.0,,Defensive rebound by E. Gordon,103,113
4,0:36.0,,C. Paul misses 2-pt layup from 7 ft,103,113
4,0:33.0,Defensive rebound by V. Oladipo,,103,113
4,0:29.0,D. Collison misses 2-pt layup from 4 ft (block by G. Clark),,103,113
4,0:26.0,,Defensive rebound by E. Gordon,103,113
4,0:09.0,,Shooting foul by V. Oladipo (drawn by J. Harden),103,113
4,0:09.0,,J. Harden makes free throw 1 of 2,103,114
4,0:09.0,,J. Harden makes free throw 2 of 2,103,115
4,0:00.0,V. Oladipo misses 3-pt jump shot from 23 ft,,103,115
4,0:00.0,Offensive rebound by Team,,103,115
