QUARTER,TIME_REMAINING,CHICAGO_ACTION,PORTLAND_ACTION,CHICAGO_SCORE,PORTLAND_SCORE
4,2:12.0,,Shooting foul by A. Blakeney (drawn by G. Trent),103,119
4,2:12.0,,G. Trent misses free throw 1 of 2,103,119
4,2:12.0,,Offensive rebound by Team,103,119
4,2:12.0,,G. Trent makes free throw 2 of 2,103,120
4,1:58.0,S. Harrison misses 2-pt jump shot from 5 ft,,103,120
4,1:55.0,,Defensive rebound by Z. Collins,103,120
4,1:51.0,,A. Simons makes 2-pt layup from 1 ft,103,122
4,1:40.0,W. Selden makes 3-pt jump shot from 25 ft (assist by A. Blakeney),,106,122
4,1:24.0,,Z. Collins misses 2-pt hook shot from 3 ft,106,122
4,1:20.0,Defensive rebound by C. Felício,,106,122
4,1:13.0,S. Harrison makes 2-pt layup from 1 ft,,108,122
4,1:13.0,Shooting foul by Z. Collins (drawn by S. Harrison),,108,122
4,1:13.0,S. Harrison makes free throw 1 of 1,,109,122
4,1:03.0,,Turnover by A. Simons (bad pass; steal by S. Harrison),109,122
4,1:01.0,Personal foul by Z. Collins (drawn by C. Felício),,109,122
4,1:01.0,,M. Leonard enters the game for Z. Collins,109,122
4,1:01.0,C. Felício makes free throw 1 of 2,,110,122
4,1:01.0,C. Felício misses free throw 2 of 2,,110,122
4,0:58.0,,Defensive rebound by M. Leonard,110,122
4,0:45.0,,Turnover by A. Simons (out of bounds lost ball),110,122
4,0:38.0,A. Blakeney makes 2-pt jump shot from 13 ft (assist by S. Harrison),,112,122
4,0:29.0,,A. Simons makes 2-pt jump shot from 5 ft,112,124
4,0:22.0,S. Harrison misses 2-pt layup from 3 ft,,112,124
4,0:20.0,Offensive rebound by C. Hutchison,,112,124
4,0:15.0,C. Hutchison misses 2-pt jump shot from 10 ft,,112,124
4,0:13.0,,Defensive rebound by M. Leonard,112,124
