QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
2,10:20.0,,Offensive rebound by Team,36,28
2,10:09.0,,J. Hart misses 3-pt jump shot from 26 ft,36,28
2,10:07.0,Defensive rebound by M. Leonard,,36,28
2,9:53.0,E. Turner makes 2-pt jump shot from 10 ft,,38,28
2,9:42.0,,J. McGee makes 2-pt jump shot from 6 ft (assist by L. Stephenson),38,30
2,9:30.0,Z. Collins misses 2-pt jump shot from 17 ft,,38,30
2,9:27.0,,Defensive rebound by J. Hart,38,30
2,9:12.0,,J. McGee makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),38,32
2,8:46.0,Turnover by Team (shot clock),,38,32
2,8:33.0,,Turnover by K. Caldwell-Pope (bad pass; steal by N. Stauskas),38,32
2,8:29.0,Z. Collins makes 2-pt dunk from 2 ft (assist by N. Stauskas),,40,32
2,8:08.0,,L. Stephenson misses 3-pt jump shot from 26 ft,40,32
2,8:05.0,Defensive rebound by S. Curry,,40,32
2,7:53.0,N. Stauskas misses 2-pt jump shot from 18 ft,,40,32
2,7:50.0,,Defensive rebound by J. Hart,40,32
2,7:46.0,,J. Hart misses 2-pt layup from 1 ft,40,32
2,7:42.0,Defensive rebound by M. Leonard,,40,32
2,7:37.0,M. Leonard makes 2-pt hook shot from 3 ft (assist by E. Turner),,42,32
2,7:36.0,,LA Lakers full timeout,42,32
2,7:36.0,,L. Ball enters the game for K. Caldwell-Pope,42,32
2,7:36.0,,B. Ingram enters the game for J. McGee,42,32
2,7:36.0,,L. James enters the game for R. Rondo,42,32
2,7:36.0,,K. Kuzma enters the game for L. Stephenson,42,32
2,7:15.0,,L. James misses 2-pt layup from 2 ft,42,32
2,7:13.0,,Offensive rebound by L. Ball,42,32
2,7:09.0,,K. Kuzma misses 3-pt jump shot from 27 ft,42,32
2,7:06.0,Defensive rebound by E. Turner,,42,32
2,6:52.0,E. Turner misses 2-pt layup from 2 ft,,42,32
2,6:50.0,,Defensive rebound by Team,42,32
2,6:50.0,A. Aminu enters the game for M. Leonard,,42,32
2,6:40.0,,L. Ball misses 3-pt jump shot from 26 ft,42,32
2,6:37.0,Defensive rebound by A. Aminu,,42,32
2,6:29.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by E. Turner),,45,32
2,6:05.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by L. James),45,35
2,5:56.0,Portland full timeout,,45,35
2,5:56.0,D. Lillard enters the game for S. Curry,,45,35
2,5:56.0,C. McCollum enters the game for N. Stauskas,,45,35
2,5:56.0,,T. Chandler enters the game for J. Hart,45,35
2,5:41.0,D. Lillard misses 3-pt jump shot from 27 ft,,45,35
2,5:40.0,,Defensive rebound by L. James,45,35
2,5:34.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by L. James),45,38
2,5:17.0,A. Aminu misses 3-pt jump shot from 27 ft,,45,38
2,5:14.0,,Defensive rebound by L. James,45,38
2,5:06.0,,L. James makes 2-pt layup from 2 ft,45,40
2,4:50.0,Def 3 sec tech foul by Team,,45,40
2,4:50.0,D. Lillard makes technical free throw,,46,40
2,4:50.0,J. Nurkić enters the game for Z. Collins,,46,40
2,4:45.0,C. McCollum misses 2-pt jump shot from 10 ft,,46,40
2,4:40.0,Offensive rebound by A. Aminu,,46,40
2,4:40.0,A. Aminu misses 2-pt layup from 1 ft,,46,40
2,4:40.0,,Defensive rebound by T. Chandler,46,40
2,4:36.0,,B. Ingram misses 2-pt jump shot from 13 ft,46,40
2,4:34.0,Defensive rebound by E. Turner,,46,40
2,4:19.0,E. Turner makes 2-pt layup from 3 ft (assist by J. Nurkić),,48,40
2,4:05.0,,L. James misses 2-pt layup from 6 ft (block by J. Nurkić),48,40
2,4:04.0,,Offensive rebound by L. James,48,40
2,3:56.0,,Turnover by L. Ball (bad pass),48,40
2,3:40.0,J. Nurkić misses 2-pt jump shot from 18 ft,,48,40
2,3:39.0,,Defensive rebound by K. Kuzma,48,40
2,3:34.0,,L. James makes 3-pt jump shot from 26 ft,48,43
2,3:16.0,D. Lillard makes 3-pt jump shot from 31 ft (assist by C. McCollum),,51,43
2,3:05.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by B. Ingram),51,46
2,2:41.0,J. Nurkić makes 2-pt hook shot from 2 ft,,53,46
2,2:26.0,,LA Lakers full timeout,53,46
2,2:26.0,,J. McGee enters the game for T. Chandler,53,46
2,2:17.0,,B. Ingram misses 2-pt jump shot from 16 ft,53,46
2,2:15.0,Defensive rebound by A. Aminu,,53,46
2,2:07.0,J. Nurkić misses 2-pt layup from 2 ft,,53,46
2,2:05.0,,Defensive rebound by B. Ingram,53,46
2,2:01.0,,B. Ingram makes 2-pt layup from 1 ft,53,48
2,2:01.0,,Shooting foul by J. Nurkić (drawn by B. Ingram),53,48
2,2:01.0,,B. Ingram makes free throw 1 of 1,53,49
2,1:52.0,D. Lillard misses 3-pt jump shot from 26 ft,,53,49
2,1:48.0,,Defensive rebound by L. James,53,49
2,1:45.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),53,51
2,1:27.0,D. Lillard misses 2-pt dunk from 2 ft (block by L. James),,53,51
2,1:27.0,Offensive rebound by Team,,53,51
2,1:18.0,E. Turner misses 2-pt layup from 2 ft,,53,51
2,1:15.0,Offensive rebound by J. Nurkić,,53,51
2,1:15.0,J. Nurkić misses 2-pt layup from 1 ft,,53,51
2,1:14.0,,Defensive rebound by K. Kuzma,53,51
2,1:13.0,,Shooting foul by D. Lillard (drawn by B. Ingram),53,51
2,1:13.0,,B. Ingram makes free throw 1 of 2,53,52
2,1:13.0,,B. Ingram makes free throw 2 of 2,53,53
2,1:00.0,C. McCollum makes 2-pt jump shot from 16 ft,,55,53
2,0:49.0,,Shooting foul by J. Nurkić (drawn by L. James),55,53
2,0:49.0,,L. James misses free throw 1 of 2,55,53
2,0:49.0,,Offensive rebound by Team,55,53
2,0:49.0,,L. James misses free throw 2 of 2,55,53
2,0:47.0,Defensive rebound by E. Turner,,55,53
2,0:33.0,D. Lillard misses 3-pt jump shot from 26 ft,,55,53
2,0:29.0,,Defensive rebound by K. Kuzma,55,53
2,0:26.0,,L. James makes 3-pt jump shot from 28 ft,55,56
2,0:08.0,Personal take foul by B. Ingram (drawn by C. McCollum),,55,56
2,0:08.0,N. Stauskas enters the game for E. Turner,,55,56
2,0:08.0,,J. Hart enters the game for J. McGee,55,56
2,0:08.0,Offensive foul by C. McCollum (drawn by B. Ingram),,55,56
2,0:08.0,Turnover by C. McCollum (offensive foul),,55,56
2,0:08.0,Z. Collins enters the game for J. Nurkić,,55,56
2,0:08.0,E. Turner enters the game for N. Stauskas,,55,56
2,0:02.0,,L. James makes 3-pt jump shot from 28 ft,55,59
2,0:00.0,C. McCollum misses 3-pt jump shot from 57 ft,,55,59
2,0:00.0,Offensive rebound by Team,,55,59
3,11:44.0,,B. Ingram makes 2-pt jump shot from 20 ft,55,61
3,11:28.0,Turnover by C. McCollum (bad pass; steal by J. McGee),,55,61
3,11:10.0,,L. James makes 2-pt hook shot from 2 ft,55,63
3,10:58.0,A. Aminu makes 3-pt jump shot from 27 ft (assist by D. Lillard),,58,63
3,10:46.0,,B. Ingram makes 2-pt jump shot from 13 ft,58,65
3,10:32.0,C. McCollum misses 2-pt jump shot from 13 ft,,58,65
3,10:27.0,Offensive rebound by J. Nurkić,,58,65
3,10:25.0,Shooting foul by J. McGee (drawn by C. McCollum),,58,65
3,10:25.0,C. McCollum makes free throw 1 of 2,,59,65
3,10:25.0,C. McCollum makes free throw 2 of 2,,60,65
3,10:06.0,,L. Ball makes 2-pt jump shot from 16 ft,60,67
3,9:41.0,A. Aminu misses 3-pt jump shot from 27 ft,,60,67
3,9:38.0,,Defensive rebound by J. McGee,60,67
3,9:29.0,,B. Ingram misses 2-pt jump shot from 13 ft,60,67
3,9:26.0,Defensive rebound by J. Layman,,60,67
3,9:21.0,Shooting foul by J. McGee (drawn by D. Lillard),,60,67
3,9:21.0,D. Lillard makes free throw 1 of 2,,61,67
3,9:21.0,D. Lillard makes free throw 2 of 2,,62,67
3,9:07.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),62,69
3,8:43.0,Turnover by J. Layman (lost ball; steal by K. Kuzma),,62,69
3,8:36.0,,Turnover by L. James (bad pass),62,69
3,8:13.0,C. McCollum makes 2-pt jump shot from 17 ft,,64,69
3,7:56.0,,J. McGee makes 2-pt dunk from 2 ft (assist by B. Ingram),64,71
3,7:55.0,Portland full timeout,,64,71
3,7:44.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by D. Lillard),,67,71
3,7:27.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),67,73
3,7:09.0,D. Lillard misses 3-pt jump shot from 28 ft,,67,73
3,7:06.0,Offensive rebound by J. Nurkić,,67,73
3,7:04.0,J. Nurkić makes 2-pt hook shot from 2 ft,,69,73
3,6:54.0,,Shooting foul by A. Aminu (drawn by L. James),69,73
3,6:54.0,,L. James makes free throw 1 of 2,69,74
3,6:54.0,,T. Chandler enters the game for J. McGee,69,74
3,6:54.0,,L. James makes free throw 2 of 2,69,75
3,6:40.0,C. McCollum makes 2-pt jump shot from 18 ft (assist by D. Lillard),,71,75
3,6:23.0,,K. Kuzma misses 2-pt jump shot from 10 ft,71,75
3,6:19.0,,Offensive rebound by T. Chandler,71,75
3,6:14.0,,L. James makes 3-pt jump shot from 27 ft,71,78
3,5:47.0,C. McCollum misses 2-pt hook shot from 6 ft,,71,78
3,5:45.0,,Defensive rebound by T. Chandler,71,78
3,5:43.0,,Turnover by L. James (lost ball; steal by J. Nurkić),71,78
3,5:41.0,Shooting foul by T. Chandler (drawn by J. Nurkić),,71,78
3,5:41.0,J. Nurkić makes free throw 1 of 2,,72,78
3,5:41.0,E. Turner enters the game for J. Layman,,72,78
3,5:41.0,J. Nurkić makes free throw 2 of 2,,73,78
3,5:26.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by L. James),73,80
3,5:03.0,Shooting foul by B. Ingram (drawn by J. Nurkić),,73,80
3,5:03.0,J. Nurkić makes free throw 1 of 2,,74,80
3,5:03.0,J. Nurkić misses free throw 2 of 2,,74,80
3,5:00.0,,Defensive rebound by L. James,74,80
3,4:58.0,,Personal foul by C. McCollum (drawn by B. Ingram),74,80
3,4:48.0,,L. James misses 3-pt jump shot from 26 ft (block by A. Aminu),74,80
3,4:44.0,Defensive rebound by E. Turner,,74,80
3,4:40.0,D. Lillard makes 3-pt jump shot from 23 ft (assist by E. Turner),,77,80
3,4:34.0,,Offensive foul by L. Ball (drawn by A. Aminu),77,80
3,4:34.0,,Turnover by L. Ball (offensive foul),77,80
3,4:34.0,,K. Caldwell-Pope enters the game for B. Ingram,77,80
3,4:20.0,Turnover by D. Lillard (bad pass; steal by K. Caldwell-Pope),,77,80
3,4:16.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by A. Aminu),77,80
3,4:12.0,,Offensive rebound by L. James,77,80
3,4:09.0,,L. James makes 2-pt layup from 1 ft,77,82
3,3:59.0,Shooting foul by T. Chandler (drawn by D. Lillard),,77,82
3,3:59.0,D. Lillard makes free throw 1 of 2,,78,82
3,3:59.0,N. Stauskas enters the game for C. McCollum,,78,82
3,3:59.0,D. Lillard misses free throw 2 of 2,,78,82
3,3:57.0,,Defensive rebound by K. Kuzma,78,82
3,3:40.0,,L. Ball misses 2-pt jump shot from 18 ft,78,82
3,3:37.0,Defensive rebound by E. Turner,,78,82
3,3:27.0,D. Lillard misses 2-pt layup from 2 ft,,78,82
3,3:23.0,Offensive rebound by J. Nurkić,,78,82
3,3:22.0,J. Nurkić makes 2-pt layup from 3 ft,,80,82
3,3:07.0,,L. Ball makes 3-pt jump shot from 28 ft (assist by L. James),80,85
3,2:51.0,N. Stauskas misses 2-pt dunk from 3 ft (block by L. James),,80,85
3,2:47.0,,Defensive rebound by L. Ball,80,85
3,2:43.0,,L. James makes 2-pt layup from 2 ft (assist by L. Ball),80,87
3,2:32.0,Portland full timeout,,80,87
3,2:32.0,Z. Collins enters the game for J. Nurkić,,80,87
3,2:32.0,,J. Hart enters the game for K. Kuzma,80,87
3,2:24.0,Turnover by Z. Collins (bad pass; steal by L. Ball),,80,87
3,2:21.0,,L. Ball misses 2-pt layup from 3 ft (block by A. Aminu),80,87
3,2:21.0,,Offensive rebound by Team,80,87
3,2:10.0,,Turnover by J. Hart (bad pass),80,87
3,1:59.0,D. Lillard makes 3-pt jump shot from 30 ft,,83,87
