QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
4,0:43.0,,Personal foul by D. Green (drawn by D. Lillard),120,126
4,0:34.0,,J. Nurkić misses 2-pt jump shot from 5 ft (block by D. Green),120,126
4,0:32.0,Defensive rebound by F. VanVleet,,120,126
4,0:21.0,K. Leonard misses 3-pt jump shot from 26 ft,,120,126
4,0:20.0,,Defensive rebound by Team,120,126
4,0:20.0,,E. Turner enters the game for J. Nurkić,120,126
4,0:14.0,,Personal take foul by C. Miles (drawn by E. Turner),120,126
4,0:14.0,,E. Turner makes free throw 1 of 2,120,127
4,0:14.0,,E. Turner makes free throw 2 of 2,120,128
4,0:14.0,Toronto full timeout,,120,128
4,0:10.0,K. Leonard misses 3-pt jump shot from 26 ft,,120,128
4,0:07.0,Offensive rebound by D. Green,,120,128
4,0:07.0,Personal foul by A. Aminu (drawn by D. Green),,120,128
4,0:07.0,D. Green makes free throw 1 of 2,,121,128
4,0:07.0,D. Green makes free throw 2 of 2,,122,128
4,0:07.0,,Portland full timeout,122,128
