QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHILADELPHIA_ACTION,MINNESOTA_SCORE,PHILADELPHIA_SCORE
4,7:45.0,,J. Bolden makes 3-pt jump shot from 27 ft (assist by C. Brewer),92,129
4,7:32.0,G. Dieng misses 2-pt jump shot from 19 ft,,92,129
4,7:30.0,,Defensive rebound by C. Brewer,92,129
4,7:25.0,,J. Bolden makes 3-pt jump shot from 24 ft (assist by F. Korkmaz),92,132
4,7:23.0,Minnesota full timeout,,92,132
4,7:23.0,K. Bates-Diop enters the game for D. Šarić,,92,132
4,7:12.0,Shooting foul by J. Bolden (drawn by J. Okogie),,92,132
4,7:12.0,J. Okogie makes free throw 1 of 2,,93,132
4,7:12.0,J. Okogie makes free throw 2 of 2,,94,132
4,6:54.0,,A. Johnson makes 2-pt dunk from 1 ft (assist by L. Shamet),94,134
4,6:34.0,Personal foul by F. Korkmaz (drawn by J. Bayless),,94,134
4,6:29.0,J. Bayless misses 2-pt jump shot from 19 ft,,94,134
4,6:25.0,,Defensive rebound by F. Korkmaz,94,134
4,6:10.0,,Shooting foul by J. Bayless (drawn by A. Johnson),94,134
4,6:10.0,,A. Johnson makes free throw 1 of 2,94,135
4,6:10.0,,A. Johnson makes free throw 2 of 2,94,136
4,5:50.0,Shooting foul by F. Korkmaz (drawn by L. Deng),,94,136
4,5:50.0,L. Deng makes free throw 1 of 2,,95,136
4,5:50.0,L. Deng makes free throw 2 of 2,,96,136
4,5:30.0,,A. Johnson makes 2-pt layup from 3 ft (assist by L. Shamet),96,138
4,5:08.0,L. Deng makes 2-pt layup from 2 ft (assist by J. Bayless),,98,138
4,5:08.0,Shooting foul by J. Bolden (drawn by L. Deng),,98,138
4,5:08.0,A. Tolliver enters the game for J. Okogie,,98,138
4,5:08.0,,M. Muscala enters the game for J. Bolden,98,138
4,5:08.0,L. Deng misses free throw 1 of 1,,98,138
4,5:06.0,,Defensive rebound by F. Korkmaz,98,138
4,4:53.0,,Turnover by F. Korkmaz (bad pass; steal by G. Dieng),98,138
4,4:37.0,K. Bates-Diop misses 2-pt jump shot from 13 ft,,98,138
4,4:34.0,,Defensive rebound by A. Johnson,98,138
4,4:22.0,,C. Brewer misses 2-pt jump shot from 6 ft,98,138
4,4:20.0,Defensive rebound by K. Bates-Diop,,98,138
4,4:09.0,G. Dieng makes 3-pt jump shot from 24 ft (assist by L. Deng),,101,138
4,3:47.0,,L. Shamet misses 3-pt jump shot from 27 ft,101,138
4,3:43.0,Defensive rebound by G. Dieng,,101,138
4,3:35.0,J. Bayless misses 3-pt jump shot from 26 ft,,101,138
4,3:32.0,,Defensive rebound by C. Brewer,101,138
4,3:27.0,,L. Shamet misses 3-pt jump shot from 28 ft,101,138
4,3:23.0,Defensive rebound by G. Dieng,,101,138
4,3:20.0,Offensive foul by K. Bates-Diop (drawn by C. Brewer),,101,138
4,3:20.0,Turnover by K. Bates-Diop (offensive foul),,101,138
4,3:08.0,,Shooting foul by L. Deng (drawn by F. Korkmaz),101,138
4,3:08.0,,F. Korkmaz misses free throw 1 of 2,101,138
4,3:08.0,,Offensive rebound by Team,101,138
4,3:08.0,,F. Korkmaz makes free throw 2 of 2,101,139
4,2:52.0,Shooting foul by L. Shamet (drawn by L. Deng),,101,139
4,2:52.0,L. Deng makes free throw 1 of 2,,102,139
4,2:52.0,L. Deng makes free throw 2 of 2,,103,139
4,2:37.0,,C. Brewer makes 3-pt jump shot from 27 ft (assist by L. Shamet),103,142
4,2:22.0,Personal foul by L. Shamet (drawn by A. Tolliver),,103,142
4,2:22.0,A. Tolliver makes free throw 1 of 2,,104,142
4,2:22.0,A. Tolliver makes free throw 2 of 2,,105,142
4,2:10.0,,L. Shamet misses 2-pt jump shot from 11 ft,105,142
4,2:06.0,,Offensive rebound by L. Shamet,105,142
4,2:06.0,,L. Shamet makes 2-pt layup at rim,105,144
4,1:53.0,J. Bayless misses 2-pt jump shot from 12 ft,,105,144
4,1:51.0,,Defensive rebound by F. Korkmaz,105,144
4,1:47.0,,M. Muscala misses 3-pt jump shot from 27 ft,105,144
4,1:43.0,Defensive rebound by G. Dieng,,105,144
4,1:27.0,Turnover by A. Tolliver (bad pass; steal by C. Brewer),,105,144
4,1:23.0,,M. Muscala makes 2-pt layup from 2 ft (assist by C. Brewer),105,146
4,1:06.0,G. Dieng misses 3-pt jump shot from 26 ft,,105,146
4,1:02.0,,Defensive rebound by F. Korkmaz,105,146
4,0:44.0,,L. Shamet misses 3-pt jump shot from 25 ft,105,146
4,0:42.0,Defensive rebound by L. Deng,,105,146
4,0:37.0,L. Deng misses 3-pt jump shot from 29 ft,,105,146
4,0:34.0,Offensive rebound by G. Dieng,,105,146
4,0:32.0,Personal foul by C. Brewer (drawn by G. Dieng),,105,146
4,0:32.0,G. Dieng makes free throw 1 of 2,,106,146
4,0:32.0,G. Dieng makes free throw 2 of 2,,107,146
4,0:11.0,,L. Shamet makes 3-pt jump shot from 29 ft,107,149
4,0:01.0,L. Deng misses 2-pt jump shot from 11 ft,,107,149
4,0:01.0,,Defensive rebound by F. Korkmaz,107,149
