QUARTER,TIME_REMAINING,MIAMI_ACTION,PORTLAND_ACTION,MIAMI_SCORE,PORTLAND_SCORE
4,0:40.0,,Portland full timeout,114,106
4,0:40.0,,J. Layman makes 2-pt dunk from 1 ft (assist by E. Turner),114,108
4,0:38.0,Personal take foul by J. Layman (drawn by J. Richardson),,114,108
4,0:38.0,J. Richardson makes free throw 1 of 2,,115,108
4,0:38.0,,S. Curry enters the game for E. Turner,115,108
4,0:38.0,J. Richardson makes free throw 2 of 2,,116,108
4,0:30.0,,J. Layman misses 2-pt dunk from 2 ft,116,108
4,0:28.0,Defensive rebound by J. Richardson,,116,108
4,0:15.0,Personal take foul by D. Lillard (drawn by D. Wade),,116,108
4,0:15.0,D. Wade makes free throw 1 of 2,,117,108
4,0:15.0,D. Wade makes free throw 2 of 2,,118,108
4,0:11.0,,C. McCollum misses 3-pt jump shot from 25 ft,118,108
4,0:07.0,Defensive rebound by H. Whiteside,,118,108
