QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ORLANDO_ACTION,NEW ORLEANS_SCORE,ORLANDO_SCORE
4,5:14.0,F. Jackson misses 2-pt layup from 2 ft,,79,112
4,5:10.0,,Defensive rebound by J. Martin,79,112
4,4:54.0,,K. Birch misses 2-pt jump shot from 8 ft,79,112
4,4:52.0,Defensive rebound by J. Okafor,,79,112
4,4:48.0,New Orleans full timeout,,79,112
4,4:48.0,,M. Frazier enters the game for K. Birch,79,112
4,4:48.0,,A. Jefferson enters the game for T. Ross,79,112
4,4:45.0,D. Bertāns makes 2-pt jump shot from 20 ft (assist by F. Jackson),,81,112
4,4:30.0,,J. Martin misses 3-pt jump shot from 25 ft,81,112
4,4:27.0,Defensive rebound by F. Jackson,,81,112
4,4:21.0,S. Johnson makes 2-pt layup from 1 ft (assist by J. Okafor),,83,112
4,4:21.0,Shooting foul by M. Frazier (drawn by S. Johnson),,83,112
4,4:21.0,S. Johnson makes free throw 1 of 1,,84,112
4,4:12.0,,J. Grant misses 2-pt jump shot from 21 ft,84,112
4,4:10.0,Defensive rebound by I. Clark,,84,112
4,4:07.0,F. Jackson makes 2-pt layup from 2 ft (assist by I. Clark),,86,112
4,3:44.0,,J. Martin misses 3-pt jump shot from 26 ft,86,112
4,3:40.0,Defensive rebound by I. Clark,,86,112
4,3:28.0,F. Jackson makes 3-pt jump shot from 22 ft (assist by S. Johnson),,89,112
4,3:13.0,,J. Grant misses 2-pt layup from 3 ft,89,112
4,3:10.0,Defensive rebound by F. Jackson,,89,112
4,3:06.0,I. Clark misses 3-pt jump shot from 25 ft,,89,112
4,3:00.0,Offensive rebound by D. Bertāns,,89,112
4,2:58.0,F. Jackson misses 3-pt jump shot from 25 ft,,89,112
4,2:58.0,,Defensive rebound by A. Jefferson,89,112
4,2:46.0,,M. Frazier misses 3-pt jump shot from 26 ft,89,112
4,2:43.0,,Offensive rebound by J. Martin,89,112
4,2:40.0,,J. Martin misses 3-pt jump shot from 23 ft,89,112
4,2:37.0,Defensive rebound by J. Okafor,,89,112
4,2:31.0,Personal foul by M. Frazier (drawn by D. Bertāns),,89,112
4,2:19.0,J. Okafor misses 2-pt jump shot from 2 ft,,89,112
4,2:17.0,,Defensive rebound by M. Frazier,89,112
4,2:03.0,,W. Iwundu misses 3-pt jump shot from 26 ft,89,112
4,2:00.0,,Offensive rebound by J. Martin,89,112
4,1:55.0,,M. Frazier misses 2-pt jump shot from 13 ft,89,112
4,1:53.0,Defensive rebound by S. Johnson,,89,112
4,1:47.0,Turnover by I. Clark (bad pass),,89,112
4,1:34.0,,A. Jefferson misses 2-pt layup from 6 ft,89,112
4,1:31.0,Defensive rebound by S. Johnson,,89,112
4,1:27.0,S. Johnson makes 2-pt layup from 1 ft,,91,112
4,1:13.0,,J. Grant makes 2-pt jump shot from 14 ft,91,114
4,1:03.0,D. Bertāns misses 2-pt jump shot from 21 ft,,91,114
4,0:59.0,,Defensive rebound by J. Grant,91,114
4,0:50.0,,J. Grant misses 3-pt jump shot from 26 ft,91,114
4,0:47.0,Defensive rebound by I. Clark,,91,114
4,0:43.0,I. Clark makes 3-pt jump shot from 26 ft,,94,114
4,0:26.0,,M. Frazier misses 2-pt layup from 5 ft,94,114
4,0:23.0,,Offensive rebound by A. Jefferson,94,114
4,0:23.0,,A. Jefferson makes 2-pt hook shot from 1 ft,94,116
4,0:20.0,Turnover by D. Bertāns (bad pass; steal by J. Grant),,94,116
4,0:19.0,,J. Grant makes 3-pt jump shot from 26 ft,94,119
4,0:13.0,Shooting foul by J. Martin (drawn by S. Johnson),,94,119
4,0:13.0,S. Johnson makes free throw 1 of 2,,95,119
4,0:13.0,S. Johnson makes free throw 2 of 2,,96,119
