QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
3,2:06.0,,J. Isaac enters the game for A. Gordon,52,51
3,2:06.0,J. Crowder makes free throw 1 of 1,,53,51
3,1:40.0,,J. Simmons misses 2-pt layup from 3 ft,53,51
3,1:37.0,Defensive rebound by J. Ingles,,53,51
3,1:32.0,R. O'Neale misses 3-pt jump shot from 25 ft,,53,51
3,1:29.0,,Defensive rebound by J. Isaac,53,51
3,1:17.0,,J. Simmons misses 2-pt jump shot from 5 ft,53,51
3,1:12.0,Defensive rebound by D. Favors,,53,51
3,1:06.0,D. Favors misses 2-pt layup from 2 ft (block by J. Simmons),,53,51
3,1:00.0,Offensive rebound by D. Favors,,53,51
3,1:00.0,D. Favors misses 2-pt layup from 4 ft (block by J. Isaac),,53,51
3,0:59.0,Offensive rebound by D. Favors,,53,51
3,0:59.0,D. Favors misses 2-pt layup from 1 ft (block by M. Bamba),,53,51
3,0:59.0,Offensive rebound by D. Favors,,53,51
3,0:58.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by D. Favors),,56,51
3,0:47.0,,J. Grant makes 2-pt jump shot from 7 ft,56,53
3,0:40.0,Offensive foul by D. Favors (drawn by J. Simmons),,56,53
3,0:40.0,Turnover by D. Favors (offensive foul),,56,53
3,0:38.0,,Orlando full timeout,56,53
3,0:29.0,,J. Isaac misses 2-pt layup from 3 ft,56,53
3,0:29.0,,Offensive rebound by M. Bamba,56,53
3,0:29.0,,M. Bamba makes 2-pt dunk at rim,56,55
3,0:10.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Exum),,59,55
3,0:01.0,,M. Bamba misses 3-pt jump shot from 25 ft,59,55
3,0:01.0,,Offensive rebound by Team,59,55
4,11:43.0,D. Favors makes 2-pt layup from 3 ft,,61,55
4,11:20.0,,J. Simmons makes 2-pt hook shot from 10 ft,61,57
4,11:08.0,T. Sefolosha misses 2-pt layup from 2 ft,,61,57
4,11:05.0,,Defensive rebound by Team,61,57
4,10:56.0,,Shooting foul by D. Favors (drawn by M. Bamba),61,57
4,10:56.0,,M. Bamba makes free throw 1 of 2,61,58
4,10:56.0,,M. Bamba makes free throw 2 of 2,61,59
4,10:35.0,Turnover by R. Rubio (bad pass; steal by T. Ross),,61,59
4,10:30.0,,Personal foul by K. Korver (drawn by M. Bamba),61,59
4,10:30.0,R. Gobert enters the game for D. Favors,,61,59
4,10:17.0,,M. Bamba makes 3-pt jump shot from 23 ft (assist by D. Augustin),61,62
4,9:57.0,R. Rubio makes 2-pt layup from 2 ft (assist by R. Gobert),,63,62
4,9:46.0,,D. Augustin misses 2-pt jump shot from 10 ft,63,62
4,9:42.0,Defensive rebound by R. Gobert,,63,62
4,9:37.0,Shooting foul by M. Bamba (drawn by R. Rubio),,63,62
4,9:37.0,R. Rubio makes free throw 1 of 2,,64,62
4,9:37.0,R. Rubio makes free throw 2 of 2,,65,62
4,9:22.0,,T. Ross makes 3-pt jump shot from 25 ft,65,65
4,9:03.0,D. Mitchell makes 2-pt layup from 2 ft,,67,65
4,8:50.0,,T. Ross makes 3-pt jump shot from 26 ft,67,68
4,8:31.0,D. Mitchell misses 2-pt jump shot from 13 ft (block by M. Bamba),,67,68
4,8:26.0,Offensive rebound by R. Gobert,,67,68
4,8:25.0,K. Korver misses 3-pt jump shot from 26 ft,,67,68
4,8:23.0,,Defensive rebound by Team,67,68
4,8:06.0,,T. Ross makes 2-pt jump shot from 9 ft (assist by J. Isaac),67,70
4,7:53.0,Shooting foul by M. Bamba (drawn by R. Gobert),,67,70
4,7:53.0,R. Gobert makes free throw 1 of 2,,68,70
4,7:53.0,J. Ingles enters the game for K. Korver,,68,70
4,7:53.0,,E. Fournier enters the game for J. Simmons,68,70
4,7:53.0,R. Gobert makes free throw 2 of 2,,69,70
4,7:36.0,,M. Bamba makes 2-pt layup from 3 ft,69,72
4,7:26.0,R. Rubio misses 3-pt jump shot from 25 ft,,69,72
4,7:23.0,,Defensive rebound by E. Fournier,69,72
4,7:10.0,,T. Ross makes 2-pt jump shot from 20 ft (assist by M. Bamba),69,74
4,7:08.0,Utah full timeout,,69,74
4,7:08.0,D. Exum enters the game for R. Gobert,,69,74
4,7:08.0,D. Favors enters the game for R. Rubio,,69,74
4,7:08.0,,N. Vučević enters the game for M. Bamba,69,74
4,6:47.0,D. Mitchell misses 3-pt jump shot from 26 ft,,69,74
