QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
4,1:48.0,,Defensive rebound by A. Aminu,93,97
4,1:32.0,,Turnover by J. Nurkić (back court),93,97
4,1:22.0,K. Irving misses 2-pt jump shot from 14 ft,,93,97
4,1:21.0,Offensive rebound by Team,,93,97
4,1:21.0,,Loose ball foul by J. Nurkić (drawn by A. Horford),93,97
4,1:21.0,A. Horford misses free throw 1 of 2,,93,97
4,1:21.0,Offensive rebound by Team,,93,97
4,1:21.0,M. Smart enters the game for K. Irving,,93,97
4,1:21.0,A. Horford makes free throw 2 of 2,,94,97
4,1:00.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),94,100
4,1:00.0,Boston full timeout,,94,100
4,1:00.0,K. Irving enters the game for M. Smart,,94,100
4,0:52.0,K. Irving misses 2-pt jump shot from 16 ft,,94,100
4,0:49.0,Offensive rebound by J. Tatum,,94,100
4,0:43.0,J. Tatum misses 3-pt jump shot from 24 ft,,94,100
4,0:41.0,,Defensive rebound by A. Aminu,94,100
4,0:20.0,,D. Lillard misses 2-pt jump shot from 14 ft,94,100
4,0:17.0,,Offensive rebound by E. Turner,94,100
4,0:14.0,,Turnover by E. Turner (lost ball; steal by K. Irving),94,100
4,0:10.0,K. Irving misses 2-pt layup from 2 ft,,94,100
4,0:09.0,,Defensive rebound by J. Nurkić,94,100
