QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
2,4:20.0,,M. Muscala misses 3-pt jump shot from 24 ft,35,46
2,4:16.0,Defensive rebound by J. Green,,35,46
2,4:04.0,M. Morris makes 2-pt jump shot from 15 ft,,37,46
2,3:40.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by L. Shamet),37,48
2,3:34.0,Shooting foul by J. Butler (drawn by B. Beal),,37,48
2,3:34.0,B. Beal makes free throw 1 of 2,,38,48
2,3:34.0,,J. Embiid enters the game for W. Chandler,38,48
2,3:34.0,B. Beal makes free throw 2 of 2,,39,48
2,3:22.0,,L. Shamet makes 2-pt jump shot from 22 ft (assist by B. Simmons),39,50
2,3:16.0,B. Beal misses 2-pt layup from 9 ft,,39,50
2,3:14.0,,Defensive rebound by M. Muscala,39,50
2,3:07.0,,B. Simmons makes 2-pt hook shot from 3 ft,39,52
2,3:06.0,Washington full timeout,,39,52
2,3:06.0,K. Oubre enters the game for A. Rivers,,39,52
2,3:06.0,,F. Korkmaz enters the game for J. Butler,39,52
2,2:53.0,M. Morris misses 3-pt jump shot from 27 ft,,39,52
2,2:49.0,,Defensive rebound by B. Simmons,39,52
2,2:45.0,,Shooting foul by M. Morris (drawn by J. Embiid),39,52
2,2:45.0,,J. Embiid makes free throw 1 of 2,39,53
2,2:45.0,,J. Embiid makes free throw 2 of 2,39,54
2,2:34.0,J. Wall misses 2-pt layup from 6 ft (block by M. Muscala),,39,54
2,2:34.0,Offensive rebound by Team,,39,54
2,2:26.0,B. Beal misses 2-pt jump shot from 15 ft,,39,54
2,2:26.0,,Defensive rebound by B. Simmons,39,54
2,2:25.0,,Personal foul by B. Beal (drawn by B. Simmons),39,54
2,2:25.0,A. Rivers enters the game for B. Beal,,39,54
2,2:15.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),39,57
2,1:52.0,J. Green makes 2-pt jump shot from 18 ft,,41,57
2,1:43.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by F. Korkmaz),41,59
2,1:43.0,,Shooting foul by J. Wall (drawn by B. Simmons),41,59
2,1:43.0,,B. Simmons makes free throw 1 of 1,41,60
2,1:33.0,M. Morris misses 3-pt jump shot from 27 ft,,41,60
2,1:30.0,,Defensive rebound by L. Shamet,41,60
2,1:27.0,,Personal foul by M. Morris (drawn by J. Embiid),41,60
2,1:27.0,,J. Embiid misses free throw 1 of 2,41,60
2,1:27.0,,Offensive rebound by Team,41,60
2,1:27.0,,J. Embiid misses free throw 2 of 2,41,60
2,1:25.0,Defensive rebound by K. Oubre,,41,60
2,1:09.0,K. Oubre misses 2-pt layup from 1 ft,,41,60
2,1:05.0,Offensive rebound by M. Morris,,41,60
2,1:05.0,M. Morris misses 2-pt layup at rim,,41,60
2,1:04.0,,Defensive rebound by J. Embiid,41,60
2,1:01.0,,F. Korkmaz makes 3-pt jump shot from 27 ft (assist by L. Shamet),41,63
2,0:48.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by J. Wall),,44,63
2,0:37.0,,Personal foul by A. Rivers (drawn by F. Korkmaz),44,63
2,0:37.0,,F. Korkmaz makes free throw 1 of 2,44,64
2,0:37.0,,T. McConnell enters the game for L. Shamet,44,64
2,0:37.0,,F. Korkmaz makes free throw 2 of 2,44,65
2,0:34.0,Personal foul by T. McConnell (drawn by J. Wall),,44,65
2,0:27.0,J. Wall makes 2-pt layup from 2 ft,,46,65
2,0:05.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by T. McConnell),46,68
2,0:00.0,A. Rivers misses 3-pt jump shot from 25 ft,,46,68
2,0:00.0,Offensive rebound by Team,,46,68
3,11:40.0,K. Oubre misses 3-pt jump shot from 23 ft,,46,68
3,11:38.0,Offensive rebound by T. Bryant,,46,68
3,11:28.0,Turnover by J. Green (traveling),,46,68
3,11:16.0,,J. Butler misses 3-pt jump shot from 23 ft,46,68
3,11:12.0,Defensive rebound by J. Green,,46,68
3,11:00.0,T. Bryant makes 2-pt jump shot from 17 ft (assist by J. Wall),,48,68
3,10:42.0,,W. Chandler misses 3-pt jump shot from 24 ft,48,68
3,10:39.0,,Offensive rebound by J. Butler,48,68
3,10:36.0,,J. Redick misses 3-pt jump shot from 26 ft,48,68
3,10:34.0,Defensive rebound by Team,,48,68
3,10:14.0,K. Oubre misses 2-pt jump shot from 1 ft (block by J. Embiid),,48,68
3,10:10.0,Offensive rebound by J. Wall,,48,68
3,10:09.0,J. Wall misses 3-pt jump shot from 26 ft (block by W. Chandler),,48,68
3,10:09.0,Offensive rebound by Team,,48,68
3,10:09.0,Turnover by Team (shot clock),,48,68
3,9:46.0,,W. Chandler misses 2-pt layup from 2 ft,48,68
3,9:45.0,,Offensive rebound by J. Embiid,48,68
3,9:43.0,,J. Embiid misses 2-pt layup from 3 ft (block by J. Green),48,68
3,9:41.0,Defensive rebound by T. Bryant,,48,68
3,9:37.0,J. Wall misses 2-pt layup from 1 ft,,48,68
3,9:36.0,Offensive rebound by K. Oubre,,48,68
3,9:36.0,Shooting foul by B. Simmons (drawn by K. Oubre),,48,68
3,9:36.0,K. Oubre misses free throw 1 of 2,,48,68
3,9:36.0,Offensive rebound by Team,,48,68
3,9:36.0,K. Oubre makes free throw 2 of 2,,49,68
3,9:17.0,,W. Chandler misses 2-pt jump shot from 19 ft,49,68
3,9:14.0,,Offensive rebound by J. Embiid,49,68
3,9:13.0,,Shooting foul by J. Wall (drawn by J. Embiid),49,68
3,9:13.0,,J. Embiid makes free throw 1 of 2,49,69
3,9:13.0,,J. Embiid makes free throw 2 of 2,49,70
3,8:57.0,T. Bryant misses 3-pt jump shot from 28 ft,,49,70
3,8:55.0,,Defensive rebound by B. Simmons,49,70
3,8:45.0,,Turnover by W. Chandler (bad pass; steal by T. Bryant),49,70
3,8:36.0,K. Oubre misses 2-pt layup from 2 ft (block by J. Embiid),,49,70
3,8:36.0,,Defensive rebound by Team,49,70
3,8:36.0,Loose ball foul by K. Oubre (drawn by J. Embiid),,49,70
3,8:16.0,,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Simmons),49,73
3,8:08.0,Shooting foul by J. Butler (drawn by B. Beal),,49,73
3,8:08.0,B. Beal makes free throw 1 of 2,,50,73
3,8:08.0,B. Beal makes free throw 2 of 2,,51,73
3,7:53.0,,J. Embiid misses 2-pt layup from 2 ft (block by T. Bryant),51,73
3,7:50.0,,Offensive rebound by J. Embiid,51,73
3,7:49.0,,J. Embiid makes 2-pt layup from 4 ft,51,75
3,7:42.0,B. Beal misses 2-pt jump shot from 20 ft,,51,75
3,7:39.0,,Defensive rebound by J. Embiid,51,75
3,7:33.0,,B. Simmons makes 2-pt layup from 2 ft,51,77
3,7:32.0,Washington full timeout,,51,77
3,7:32.0,M. Morris enters the game for T. Bryant,,51,77
3,7:18.0,Turnover by J. Wall (bad pass; steal by J. Butler),,51,77
3,7:12.0,,J. Redick misses 3-pt jump shot from 23 ft,51,77
3,7:08.0,Defensive rebound by K. Oubre,,51,77
3,6:49.0,J. Green misses 2-pt layup from 2 ft,,51,77
3,6:46.0,,Defensive rebound by J. Butler,51,77
3,6:40.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Butler),51,79
3,6:32.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,53,79
3,6:20.0,,J. Butler misses 2-pt jump shot from 19 ft,53,79
3,6:17.0,Defensive rebound by M. Morris,,53,79
3,6:07.0,M. Morris misses 2-pt jump shot from 19 ft,,53,79
3,6:05.0,,Defensive rebound by J. Butler,53,79
3,5:50.0,,J. Redick makes 2-pt layup from 3 ft (assist by B. Simmons),53,81
3,5:37.0,Shooting foul by W. Chandler (drawn by J. Wall),,53,81
3,5:37.0,,Technical foul by J. Redick,53,81
3,5:37.0,B. Beal makes technical free throw,,54,81
3,5:37.0,J. Wall makes free throw 1 of 2,,55,81
3,5:37.0,A. Rivers enters the game for J. Green,,55,81
3,5:37.0,,T. McConnell enters the game for W. Chandler,55,81
3,5:37.0,,M. Muscala enters the game for J. Embiid,55,81
3,5:37.0,,L. Shamet enters the game for J. Redick,55,81
3,5:37.0,J. Wall makes free throw 2 of 2,,56,81
3,5:24.0,,T. McConnell makes 2-pt jump shot from 13 ft (assist by M. Muscala),56,83
3,5:09.0,M. Morris misses 3-pt jump shot from 25 ft,,56,83
3,5:06.0,,Defensive rebound by L. Shamet,56,83
3,5:00.0,,Turnover by B. Simmons (bad pass; steal by B. Beal),56,83
3,4:53.0,B. Beal misses 3-pt jump shot from 24 ft,,56,83
3,4:50.0,,Defensive rebound by Team,56,83
3,4:39.0,,T. McConnell makes 2-pt layup from 1 ft (assist by B. Simmons),56,85
3,4:39.0,Washington full timeout,,56,85
3,4:39.0,T. Brown enters the game for B. Beal,,56,85
3,4:39.0,T. Satoranský enters the game for J. Wall,,56,85
3,4:28.0,K. Oubre makes 2-pt jump shot from 7 ft (assist by T. Satoranský),,58,85
3,4:18.0,,Turnover by B. Simmons (lost ball; steal by T. Satoranský),58,85
3,4:15.0,Personal foul by B. Simmons (drawn by T. Satoranský),,58,85
3,4:13.0,Turnover by M. Morris (bad pass),,58,85
3,3:51.0,,Shooting foul by T. Brown (drawn by M. Muscala),58,85
3,3:51.0,,M. Muscala makes free throw 1 of 2,58,86
3,3:51.0,,W. Chandler enters the game for J. Butler,58,86
3,3:51.0,,F. Korkmaz enters the game for B. Simmons,58,86
3,3:51.0,,M. Muscala makes free throw 2 of 2,58,87
3,3:40.0,T. Brown makes 2-pt jump shot from 13 ft,,60,87
3,3:28.0,,M. Muscala misses 3-pt jump shot from 25 ft,60,87
3,3:25.0,Defensive rebound by T. Brown,,60,87
3,3:16.0,A. Rivers misses 2-pt layup from 3 ft,,60,87
3,3:12.0,Offensive rebound by M. Morris,,60,87
3,3:10.0,K. Oubre misses 3-pt jump shot from 26 ft,,60,87
3,3:07.0,,Defensive rebound by M. Muscala,60,87
3,3:03.0,,Shooting foul by T. Satoranský (drawn by T. McConnell),60,87
3,3:03.0,,T. McConnell makes free throw 1 of 2,60,88
3,3:03.0,,T. McConnell makes free throw 2 of 2,60,89
3,2:51.0,Turnover by T. Satoranský (bad pass; steal by W. Chandler),,60,89
3,2:42.0,,Philadelphia full timeout,60,89
3,2:42.0,T. Bryant enters the game for M. Morris,,60,89
3,2:42.0,D. Robinson enters the game for K. Oubre,,60,89
3,2:42.0,,A. Johnson enters the game for W. Chandler,60,89
3,2:32.0,,Personal foul by A. Rivers (drawn by M. Muscala),60,89
3,2:32.0,,M. Muscala makes free throw 1 of 2,60,90
3,2:32.0,,M. Muscala makes free throw 2 of 2,60,91
3,2:22.0,Turnover by T. Brown (lost ball; steal by L. Shamet),,60,91
3,2:19.0,,L. Shamet makes 2-pt layup from 1 ft,60,93
3,2:19.0,Violation by Team (def goaltending),,60,93
3,2:03.0,T. Satoranský misses 2-pt jump shot from 16 ft,,60,93
3,2:01.0,,Defensive rebound by M. Muscala,60,93
3,1:53.0,,Turnover by T. McConnell (lost ball; steal by D. Robinson),60,93
3,1:47.0,T. Brown makes 2-pt jump shot from 10 ft (assist by T. Satoranský),,62,93
3,1:38.0,,Turnover by A. Johnson (bad pass; steal by T. Satoranský),62,93
3,1:35.0,T. Satoranský makes 2-pt layup from 2 ft,,64,93
3,1:23.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,64,93
3,1:21.0,Defensive rebound by Team,,64,93
3,1:21.0,,Loose ball foul by M. Muscala (drawn by D. Robinson),64,93
3,1:21.0,D. Robinson makes free throw 1 of 2,,65,93
3,1:21.0,D. Robinson makes free throw 2 of 2,,66,93
3,1:09.0,,T. McConnell misses 2-pt jump shot from 12 ft (block by A. Rivers),66,93
3,1:06.0,,Offensive rebound by A. Johnson,66,93
3,1:06.0,,Shooting foul by D. Robinson (drawn by M. Muscala),66,93
3,1:06.0,,M. Muscala makes free throw 1 of 2,66,94
3,1:06.0,,M. Muscala makes free throw 2 of 2,66,95
3,0:51.0,T. Bryant misses 2-pt layup from 2 ft,,66,95
3,0:48.0,,Defensive rebound by M. Muscala,66,95
3,0:41.0,,A. Johnson misses 2-pt hook shot from 6 ft,66,95
3,0:39.0,Defensive rebound by D. Robinson,,66,95
3,0:35.0,Personal foul by L. Shamet (drawn by T. Bryant),,66,95
3,0:35.0,T. Bryant makes free throw 1 of 2,,67,95
3,0:35.0,T. Bryant makes free throw 2 of 2,,68,95
3,0:23.0,,L. Shamet makes 3-pt jump shot from 30 ft (assist by F. Korkmaz),68,98
3,0:02.0,A. Rivers makes 2-pt jump shot from 19 ft,,70,98
3,0:00.0,,F. Korkmaz misses 3-pt jump shot from 42 ft,70,98
3,0:00.0,,Offensive rebound by Team,70,98
4,11:47.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,70,98
4,11:44.0,Defensive rebound by T. Brown,,70,98
4,11:38.0,A. Rivers makes 2-pt layup from 2 ft,,72,98
4,11:25.0,,T. McConnell makes 2-pt jump shot from 8 ft,72,100
4,11:05.0,A. Rivers misses 3-pt jump shot from 25 ft,,72,100
4,11:02.0,Offensive rebound by D. Robinson,,72,100
4,10:54.0,T. Satoranský makes 2-pt layup from 2 ft (assist by T. Brown),,74,100
4,10:39.0,,L. Shamet misses 2-pt jump shot from 21 ft,74,100
4,10:35.0,Defensive rebound by T. Brown,,74,100
4,10:31.0,Shooting foul by F. Korkmaz (drawn by T. Brown),,74,100
4,10:31.0,T. Brown makes free throw 1 of 2,,75,100
4,10:31.0,,S. Milton enters the game for L. Shamet,75,100
4,10:31.0,T. Brown makes free throw 2 of 2,,76,100
4,10:16.0,,S. Milton makes 3-pt jump shot from 25 ft (assist by F. Korkmaz),76,103
4,9:59.0,T. Brown misses 2-pt jump shot from 18 ft,,76,103
4,9:58.0,,Defensive rebound by Team,76,103
4,9:48.0,,F. Korkmaz makes 2-pt layup from 1 ft (assist by M. Muscala),76,105
4,9:28.0,T. Satoranský misses 2-pt layup from 2 ft (block by S. Milton),,76,105
