QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CLEVELAND_ACTION,GOLDEN STATE_SCORE,CLEVELAND_SCORE
4,3:05.0,,A. Burks enters the game for R. Hood,126,102
4,3:05.0,,C. Frye enters the game for C. Osman,126,102
4,3:05.0,,J. Jones enters the game for T. Thompson,126,102
4,2:44.0,,Shooting foul by A. McKinnie (drawn by C. Sexton),126,102
4,2:44.0,,C. Sexton misses free throw 1 of 2,126,102
4,2:44.0,,Offensive rebound by Team,126,102
4,2:44.0,,C. Sexton makes free throw 2 of 2,126,103
4,2:24.0,Q. Cook misses 2-pt jump shot from 18 ft,,126,103
4,2:19.0,,Defensive rebound by J. Jones,126,103
4,2:15.0,,J. Jones makes 2-pt layup from 4 ft,126,105
4,1:55.0,Q. Cook misses 3-pt jump shot from 27 ft,,126,105
4,1:52.0,,Defensive rebound by C. Frye,126,105
4,1:42.0,,J. Jones misses 2-pt hook shot from 7 ft,126,105
4,1:39.0,Defensive rebound by Q. Cook,,126,105
4,1:28.0,J. Evans misses 2-pt layup from 4 ft (block by C. Frye),,126,105
4,1:24.0,,Defensive rebound by J. Blossomgame,126,105
4,1:15.0,,J. Blossomgame misses 3-pt jump shot from 26 ft,126,105
4,1:12.0,Defensive rebound by Team,,126,105
4,0:58.0,Q. Cook makes 3-pt jump shot from 23 ft (assist by J. Bell),,129,105
4,0:45.0,,A. Burks misses 3-pt jump shot from 27 ft,129,105
4,0:40.0,Defensive rebound by A. McKinnie,,129,105
4,0:26.0,A. McKinnie misses 3-pt jump shot from 26 ft,,129,105
4,0:18.0,,Defensive rebound by C. Frye,129,105
