QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
4,0:57.0,Portland full timeout,,113,113
4,0:46.0,Personal foul by P. Siakam (drawn by D. Lillard),,113,113
4,0:46.0,D. Lillard misses free throw 1 of 2,,113,113
4,0:46.0,Offensive rebound by Team,,113,113
4,0:46.0,D. Lillard makes free throw 2 of 2,,114,113
4,0:35.0,,K. Lowry makes 2-pt layup from 2 ft (assist by D. Green),114,115
4,0:29.0,,Violation by Team (kicked ball),114,115
4,0:23.0,C. McCollum misses 3-pt jump shot from 26 ft,,114,115
4,0:18.0,,Defensive rebound by K. Lowry,114,115
4,0:17.0,,Personal foul by J. Layman (drawn by K. Leonard),114,115
4,0:17.0,,K. Leonard makes free throw 1 of 2,114,116
4,0:17.0,,K. Leonard makes free throw 2 of 2,114,117
4,0:17.0,Portland full timeout,,114,117
4,0:17.0,,P. McCaw enters the game for M. Gasol,114,117
4,0:13.0,Shooting foul by K. Lowry (drawn by D. Lillard),,114,117
4,0:13.0,D. Lillard makes free throw 1 of 3,,115,117
4,0:13.0,D. Lillard makes free throw 2 of 3,,116,117
4,0:13.0,,M. Gasol enters the game for P. McCaw,116,117
4,0:13.0,D. Lillard makes free throw 3 of 3,,117,117
4,0:03.0,,K. Leonard makes 2-pt jump shot from 12 ft,117,119
4,0:00.0,D. Lillard misses 3-pt jump shot from 70 ft,,117,119
4,0:00.0,Offensive rebound by Team,,117,119
