QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
4,5:19.0,,R. Westbrook makes free throw 2 of 2,100,110
4,5:07.0,Turnover by D. White (bad pass; steal by D. Schröder),,100,110
4,5:03.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by D. Schröder),100,112
4,5:03.0,San Antonio full timeout,,100,112
4,5:03.0,D. DeRozan enters the game for M. Belinelli,,100,112
4,4:38.0,L. Aldridge misses 3-pt jump shot from 27 ft,,100,112
4,4:34.0,,Defensive rebound by P. Patterson,100,112
4,4:21.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),100,114
4,4:07.0,D. White misses 3-pt jump shot from 23 ft,,100,114
4,4:05.0,,Defensive rebound by P. Patterson,100,114
4,4:01.0,,R. Westbrook makes 2-pt layup at rim,100,116
4,3:57.0,San Antonio full timeout,,100,116
4,3:57.0,D. Bertāns enters the game for L. Aldridge,,100,116
4,3:57.0,D. Cunningham enters the game for D. DeRozan,,100,116
4,3:57.0,D. Eubanks enters the game for P. Mills,,100,116
4,3:57.0,Q. Pondexter enters the game for D. White,,100,116
4,3:40.0,D. Cunningham makes 2-pt jump shot from 13 ft (assist by D. Eubanks),,102,116
4,3:25.0,,R. Westbrook misses 2-pt layup from 1 ft (block by J. Poeltl),102,116
4,3:21.0,Defensive rebound by D. Cunningham,,102,116
4,3:12.0,D. Bertāns misses 3-pt jump shot from 27 ft,,102,116
4,3:08.0,,Defensive rebound by P. George,102,116
4,3:04.0,,R. Westbrook makes 2-pt layup from 1 ft,102,118
4,2:36.0,D. Eubanks makes 2-pt dunk from 1 ft (assist by D. Cunningham),,104,118
4,2:29.0,,Personal foul by Q. Pondexter (drawn by D. Schröder),104,118
4,2:29.0,,D. Schröder makes free throw 1 of 2,104,119
4,2:29.0,,J. Grant enters the game for S. Adams,104,119
4,2:29.0,,D. Schröder makes free throw 2 of 2,104,120
4,2:17.0,D. Eubanks misses 2-pt hook shot from 9 ft,,104,120
4,2:13.0,,Defensive rebound by P. George,104,120
4,2:10.0,,R. Westbrook misses 2-pt layup at rim,104,120
4,2:08.0,Defensive rebound by D. Eubanks,,104,120
4,1:53.0,D. Bertāns misses 3-pt jump shot from 25 ft,,104,120
4,1:51.0,,Defensive rebound by Team,104,120
4,1:51.0,,H. Diallo enters the game for P. George,104,120
4,1:51.0,,T. Ferguson enters the game for R. Westbrook,104,120
4,1:41.0,,J. Grant makes 2-pt dunk from 1 ft (assist by D. Schröder),104,122
4,1:22.0,D. Cunningham makes 3-pt jump shot from 26 ft (assist by J. Poeltl),,107,122
4,1:14.0,,D. Schröder misses 3-pt jump shot from 24 ft,107,122
4,1:11.0,Defensive rebound by D. Bertāns,,107,122
4,1:04.0,J. Poeltl makes 2-pt layup from 2 ft (assist by Q. Pondexter),,109,122
4,0:56.0,,H. Diallo misses 2-pt layup from 1 ft,109,122
4,0:54.0,Defensive rebound by J. Poeltl,,109,122
4,0:45.0,Shooting foul by P. Patterson (drawn by Q. Pondexter),,109,122
4,0:45.0,Q. Pondexter misses free throw 1 of 2,,109,122
4,0:45.0,Offensive rebound by Team,,109,122
4,0:45.0,,T. Luwawu-Cabarrot enters the game for D. Schröder,109,122
4,0:45.0,Q. Pondexter makes free throw 2 of 2,,110,122
4,0:29.0,,H. Diallo misses 2-pt dunk from 1 ft,110,122
4,0:28.0,,Offensive rebound by T. Ferguson,110,122
4,0:26.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 27 ft,110,122
4,0:21.0,Defensive rebound by D. Eubanks,,110,122
4,0:16.0,Q. Pondexter misses 2-pt jump shot from 10 ft,,110,122
4,0:16.0,Offensive rebound by D. Cunningham,,110,122
4,0:14.0,D. Cunningham makes 2-pt layup from 2 ft,,112,122
