QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
4,3:38.0,,C. Payne misses 2-pt layup from 2 ft,105,102
4,3:36.0,,Offensive rebound by C. Payne,105,102
4,3:34.0,,C. Payne makes 3-pt jump shot from 25 ft,105,105
4,3:14.0,T. Parker misses 2-pt jump shot from 16 ft,,105,105
4,3:13.0,,Defensive rebound by W. Carter,105,105
4,3:13.0,,Personal foul by M. Bridges (drawn by W. Carter),105,105
4,3:13.0,,W. Carter makes free throw 1 of 2,105,106
4,3:13.0,Charlotte full timeout,,105,106
4,3:13.0,M. Kidd-Gilchrist enters the game for T. Parker,,105,106
4,3:13.0,,W. Carter misses free throw 2 of 2,105,106
4,3:11.0,Defensive rebound by K. Walker,,105,106
4,2:48.0,M. Williams misses 3-pt jump shot from 24 ft,,105,106
4,2:43.0,,Defensive rebound by J. Holiday,105,106
4,2:37.0,,Turnover by C. Payne (out of bounds lost ball),105,106
4,2:17.0,Shooting foul by Z. LaVine (drawn by K. Walker),,105,106
4,2:17.0,K. Walker makes free throw 1 of 3,,106,106
4,2:17.0,K. Walker makes free throw 2 of 3,,107,106
4,2:17.0,K. Walker makes free throw 3 of 3,,108,106
4,1:58.0,,Z. LaVine misses 2-pt jump shot from 21 ft,108,106
4,1:58.0,,Offensive rebound by W. Carter,108,106
4,1:58.0,,Personal foul by M. Kidd-Gilchrist (drawn by W. Carter),108,106
4,1:58.0,M. Monk enters the game for M. Kidd-Gilchrist,,108,106
4,1:58.0,,W. Carter misses free throw 1 of 2,108,106
4,1:58.0,,Offensive rebound by Team,108,106
4,1:58.0,,W. Carter misses free throw 2 of 2,108,106
4,1:55.0,Defensive rebound by M. Bridges,,108,106
4,1:37.0,K. Walker misses 3-pt jump shot from 25 ft,,108,106
4,1:31.0,,Defensive rebound by Z. LaVine,108,106
4,1:26.0,,Z. LaVine makes 2-pt layup from 2 ft,108,108
4,1:13.0,Personal foul by C. Payne (drawn by M. Williams),,108,108
4,1:13.0,M. Williams makes free throw 1 of 2,,109,108
4,1:13.0,M. Williams makes free throw 2 of 2,,110,108
4,0:53.0,,Z. LaVine makes 2-pt jump shot from 17 ft,110,110
4,0:30.0,M. Bridges misses 3-pt jump shot from 23 ft,,110,110
4,0:27.0,,Defensive rebound by J. Parker,110,110
4,0:07.0,,Z. LaVine misses 2-pt jump shot from 21 ft,110,110
4,0:06.0,Defensive rebound by M. Monk,,110,110
4,0:06.0,Charlotte full timeout,,110,110
4,0:06.0,,R. Arcidiacono enters the game for J. Parker,110,110
4,0:05.0,Turnover by N. Batum (bad pass),,110,110
4,0:05.0,,J. Parker enters the game for R. Arcidiacono,110,110
4,0:00.0,,Shooting foul by M. Monk (drawn by Z. LaVine),110,110
4,0:00.0,,Z. LaVine makes free throw 1 of 2,110,111
4,0:00.0,C. Zeller enters the game for M. Monk,,110,111
4,0:00.0,,Z. LaVine makes free throw 2 of 2,110,112
4,0:00.0,Charlotte full timeout,,110,112
4,0:00.0,M. Monk enters the game for M. Bridges,,110,112
4,0:00.0,,R. Arcidiacono enters the game for C. Payne,110,112
4,0:00.0,M. Monk misses 3-pt jump shot from 23 ft,,110,112
4,0:00.0,Offensive rebound by Team,,110,112
