QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
4,11:06.0,,Offensive rebound by A. Žižić,94,79
4,11:06.0,,A. Žižić misses 2-pt layup at rim,94,79
4,11:05.0,Defensive rebound by K. O'Quinn,,94,79
4,10:47.0,T. Evans misses 3-pt jump shot from 26 ft,,94,79
4,10:42.0,,Defensive rebound by A. Žižić,94,79
4,10:37.0,,C. Payne makes 3-pt jump shot from 27 ft,94,82
4,10:16.0,Personal foul by M. Dellavedova (drawn by T. Evans),,94,82
4,10:05.0,T. Leaf makes 2-pt layup from 1 ft (assist by D. McDermott),,96,82
4,9:56.0,,C. Payne makes 3-pt jump shot from 25 ft,96,85
4,9:41.0,T. Evans misses 2-pt jump shot from 2 ft,,96,85
4,9:38.0,Offensive rebound by K. O'Quinn,,96,85
4,9:38.0,Personal foul by C. Payne (drawn by K. O'Quinn),,96,85
4,9:31.0,Offensive foul by K. O'Quinn (drawn by J. Clarkson),,96,85
4,9:31.0,Turnover by K. O'Quinn (offensive foul),,96,85
4,9:18.0,,J. Clarkson misses 2-pt jump shot from 14 ft,96,85
4,9:18.0,,Offensive rebound by A. Žižić,96,85
4,9:18.0,,Shooting foul by K. O'Quinn (drawn by A. Žižić),96,85
4,9:18.0,,A. Žižić makes free throw 1 of 2,96,86
4,9:18.0,,A. Žižić makes free throw 2 of 2,96,87
4,9:01.0,K. O'Quinn makes 2-pt jump shot from 14 ft,,98,87
4,8:44.0,,J. Jones misses 2-pt jump shot from 5 ft,98,87
4,8:40.0,Defensive rebound by D. McDermott,,98,87
4,8:40.0,T. Evans makes 2-pt layup from 1 ft,,100,87
4,8:40.0,Shooting foul by M. Dellavedova (drawn by T. Evans),,100,87
4,8:40.0,T. Young enters the game for T. Leaf,,100,87
4,8:40.0,,C. Osman enters the game for J. Jones,100,87
4,8:40.0,T. Evans makes free throw 1 of 1,,101,87
4,8:24.0,,C. Payne makes 2-pt jump shot from 14 ft,101,89
4,8:13.0,K. O'Quinn misses 3-pt jump shot from 26 ft,,101,89
4,8:10.0,,Defensive rebound by A. Žižić,101,89
4,7:51.0,,Turnover by M. Dellavedova (bad pass),101,89
4,7:51.0,V. Oladipo enters the game for D. McDermott,,101,89
4,7:51.0,D. Sabonis enters the game for K. O'Quinn,,101,89
4,7:44.0,T. Evans misses 3-pt jump shot from 25 ft,,101,89
4,7:39.0,,Defensive rebound by C. Payne,101,89
4,7:33.0,,C. Payne misses 3-pt jump shot from 25 ft,101,89
4,7:30.0,,Offensive rebound by A. Žižić,101,89
4,7:23.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),101,92
4,7:22.0,Indiana full timeout,,101,92
4,7:22.0,B. Bogdanović enters the game for T. Evans,,101,92
4,7:22.0,,T. Thompson enters the game for A. Žižić,101,92
4,7:07.0,T. Young misses 2-pt hook shot from 7 ft,,101,92
4,7:07.0,,Defensive rebound by Team,101,92
4,7:05.0,Loose ball foul by T. Young (drawn by C. Osman),,101,92
4,6:51.0,,Turnover by J. Clarkson (out of bounds lost ball),101,92
4,6:32.0,T. Young makes 2-pt layup from 2 ft (assist by C. Joseph),,103,92
4,6:13.0,,C. Osman misses 3-pt jump shot from 26 ft,103,92
4,6:13.0,Defensive rebound by D. Sabonis,,103,92
4,6:01.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,106,92
4,6:00.0,,Cleveland full timeout,106,92
4,6:00.0,,C. Sexton enters the game for M. Dellavedova,106,92
4,5:43.0,,C. Osman makes 2-pt layup from 1 ft,106,94
4,5:26.0,B. Bogdanović makes 2-pt hook shot from 6 ft (assist by C. Joseph),,108,94
4,5:26.0,,A. Burks enters the game for C. Payne,108,94
4,5:00.0,,J. Clarkson misses 2-pt jump shot from 11 ft,108,94
4,4:55.0,,Offensive rebound by A. Burks,108,94
4,4:55.0,,A. Burks makes 2-pt layup at rim,108,96
4,4:42.0,D. Sabonis makes 2-pt hook shot from 10 ft (assist by V. Oladipo),,110,96
4,4:32.0,,C. Sexton makes 3-pt jump shot from 25 ft,110,99
4,4:17.0,V. Oladipo misses 2-pt jump shot from 17 ft,,110,99
4,4:12.0,,Defensive rebound by C. Osman,110,99
4,4:03.0,,J. Clarkson misses 3-pt jump shot from 24 ft,110,99
4,4:01.0,Defensive rebound by B. Bogdanović,,110,99
4,3:57.0,V. Oladipo misses 3-pt jump shot from 26 ft,,110,99
4,3:52.0,,Defensive rebound by T. Thompson,110,99
