QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
4,6:29.0,T. Warren misses 2-pt jump shot from 9 ft,,81,87
4,6:27.0,,Defensive rebound by D. Jordan,81,87
4,6:13.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Matthews),81,90
4,5:53.0,Turnover by T. Warren (traveling),,81,90
4,5:38.0,,L. Dončić misses 3-pt jump shot from 25 ft,81,90
4,5:34.0,Defensive rebound by R. Holmes,,81,90
4,5:26.0,E. Okobo misses 2-pt layup from 4 ft (block by M. Kleber),,81,90
4,5:24.0,,Defensive rebound by M. Kleber,81,90
4,5:12.0,,H. Barnes misses 3-pt jump shot from 26 ft,81,90
4,5:08.0,Defensive rebound by T. Warren,,81,90
4,4:53.0,R. Holmes makes 2-pt layup from 1 ft,,83,90
4,4:53.0,Shooting foul by D. Jordan (drawn by R. Holmes),,83,90
4,4:53.0,R. Holmes makes free throw 1 of 1,,84,90
4,4:29.0,,Shooting foul by T. Warren (drawn by L. Dončić),84,90
4,4:29.0,,L. Dončić misses free throw 1 of 2,84,90
4,4:29.0,,Offensive rebound by Team,84,90
4,4:29.0,,L. Dončić makes free throw 2 of 2,84,91
4,4:16.0,E. Okobo misses 2-pt jump shot from 15 ft,,84,91
4,4:13.0,,Defensive rebound by M. Kleber,84,91
4,4:01.0,,Shooting foul by J. Jackson (drawn by H. Barnes),84,91
4,4:01.0,,H. Barnes makes free throw 1 of 2,84,92
4,4:01.0,,H. Barnes makes free throw 2 of 2,84,93
4,3:54.0,Phoenix full timeout,,84,93
4,3:47.0,T. Warren misses 3-pt jump shot from 27 ft,,84,93
4,3:43.0,,Defensive rebound by L. Dončić,84,93
4,3:21.0,,W. Matthews makes 3-pt jump shot from 29 ft (assist by L. Dončić),84,96
4,3:06.0,Shooting foul by H. Barnes (drawn by J. Jackson),,84,96
4,3:06.0,J. Jackson makes free throw 1 of 2,,85,96
4,3:06.0,J. Jackson makes free throw 2 of 2,,86,96
4,2:57.0,,Shooting foul by E. Okobo (drawn by L. Dončić),86,96
4,2:57.0,,L. Dončić misses free throw 1 of 2,86,96
4,2:57.0,,Offensive rebound by Team,86,96
4,2:57.0,,L. Dončić misses free throw 2 of 2,86,96
4,2:54.0,Defensive rebound by E. Okobo,,86,96
4,2:43.0,K. Oubre misses 3-pt jump shot from 30 ft,,86,96
4,2:39.0,,Defensive rebound by H. Barnes,86,96
4,2:38.0,,Personal take foul by E. Okobo (drawn by D. Jordan),86,96
4,2:38.0,,D. Jordan misses free throw 1 of 2,86,96
4,2:38.0,,Offensive rebound by Team,86,96
4,2:38.0,,D. Jordan makes free throw 2 of 2,86,97
4,2:24.0,E. Okobo misses 3-pt jump shot from 27 ft,,86,97
4,2:19.0,,Defensive rebound by M. Kleber,86,97
4,2:07.0,,H. Barnes makes 2-pt jump shot from 17 ft (assist by L. Dončić),86,99
4,1:54.0,Shooting foul by D. Jordan (drawn by T. Warren),,86,99
4,1:54.0,T. Warren makes free throw 1 of 2,,87,99
4,1:54.0,T. Warren makes free throw 2 of 2,,88,99
4,1:38.0,,H. Barnes misses 3-pt jump shot from 26 ft,88,99
4,1:35.0,Defensive rebound by T. Warren,,88,99
4,1:31.0,T. Warren makes 2-pt jump shot from 3 ft,,90,99
4,1:13.0,,M. Kleber makes 2-pt dunk from 2 ft (assist by H. Barnes),90,101
4,1:00.0,T. Warren makes 2-pt layup from 1 ft (assist by R. Holmes),,92,101
4,0:44.0,,L. Dončić makes 3-pt jump shot from 27 ft,92,104
4,0:31.0,K. Oubre misses 3-pt jump shot from 25 ft,,92,104
4,0:28.0,,Defensive rebound by Team,92,104
4,0:04.0,,Turnover by Team (shot clock),92,104
4,0:01.0,K. Oubre makes 2-pt dunk from 2 ft (assist by J. Jackson),,94,104
4,0:00.0,,L. Dončić misses 3-pt jump shot from 63 ft,94,104
4,0:00.0,,Offensive rebound by Team,94,104
