QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ATLANTA_ACTION,NEW ORLEANS_SCORE,ATLANTA_SCORE
4,3:13.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by K. Bazemore),109,119
4,3:01.0,E. Payton makes 2-pt layup from 1 ft,,111,119
4,2:44.0,Violation by Team (kicked ball),,111,119
4,2:44.0,,V. Carter enters the game for D. Dedmon,111,119
4,2:37.0,,T. Young makes 2-pt layup from 1 ft (assist by V. Carter),111,121
4,2:24.0,E. Payton misses 2-pt jump shot from 9 ft (block by J. Collins),,111,121
4,2:22.0,Offensive rebound by E. Payton,,111,121
4,2:21.0,E. Payton misses 2-pt jump shot from 7 ft (block by J. Collins),,111,121
4,2:18.0,,Defensive rebound by K. Bazemore,111,121
4,2:12.0,,T. Young misses 3-pt jump shot from 26 ft,111,121
4,2:12.0,Defensive rebound by Team,,111,121
4,2:01.0,F. Jackson misses 2-pt jump shot from 7 ft,,111,121
4,1:58.0,Offensive rebound by F. Jackson,,111,121
4,1:58.0,F. Jackson makes 2-pt layup at rim,,113,121
4,1:44.0,,K. Huerter misses 2-pt jump shot from 12 ft,113,121
4,1:40.0,Defensive rebound by D. Miller,,113,121
4,1:30.0,K. Williams misses 2-pt layup from 3 ft (block by J. Collins),,113,121
4,1:27.0,,Defensive rebound by V. Carter,113,121
4,1:08.0,,Shooting foul by F. Jackson (drawn by T. Young),113,121
4,1:08.0,,T. Young makes free throw 1 of 2,113,122
4,1:08.0,,T. Young makes free throw 2 of 2,113,123
4,1:01.0,K. Williams misses 3-pt jump shot from 25 ft,,113,123
4,0:57.0,,Defensive rebound by K. Bazemore,113,123
4,0:36.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),113,126
4,0:35.0,New Orleans full timeout,,113,126
4,0:35.0,,T. Prince enters the game for J. Collins,113,126
4,0:24.0,K. Williams misses 3-pt jump shot from 24 ft,,113,126
4,0:20.0,Offensive rebound by E. Payton,,113,126
4,0:18.0,F. Jackson misses 3-pt jump shot from 24 ft,,113,126
4,0:14.0,,Defensive rebound by T. Prince,113,126
4,0:14.0,,Personal take foul by J. Randle (drawn by T. Prince),113,126
4,0:14.0,,T. Prince makes free throw 1 of 2,113,127
4,0:14.0,,T. Prince makes free throw 2 of 2,113,128
4,0:05.0,D. Miller makes 3-pt jump shot from 24 ft (assist by E. Payton),,116,128
