QUARTER,TIME_REMAINING,INDIANA_ACTION,DALLAS_ACTION,INDIANA_SCORE,DALLAS_SCORE
4,2:37.0,Defensive rebound by D. Collison,,96,100
4,2:31.0,Turnover by B. Bogdanović (traveling),,96,100
4,2:08.0,,J. Brunson misses 2-pt jump shot from 5 ft,96,100
4,2:06.0,,Offensive rebound by D. Powell,96,100
4,2:02.0,,L. Dončić makes 3-pt jump shot from 30 ft (assist by J. Brunson),96,103
4,1:48.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by T. Young),,99,103
4,1:37.0,,Personal foul by W. Matthews (drawn by L. Dončić),99,103
4,1:37.0,,L. Dončić makes free throw 1 of 2,99,104
4,1:37.0,,L. Dončić misses free throw 2 of 2,99,104
4,1:33.0,Defensive rebound by B. Bogdanović,,99,104
4,1:25.0,W. Matthews misses 3-pt jump shot from 27 ft,,99,104
4,1:22.0,,Defensive rebound by T. Hardaway,99,104
4,1:03.0,,J. Brunson makes 3-pt jump shot from 25 ft (assist by L. Dončić),99,107
4,1:02.0,Indiana full timeout,,99,107
4,0:56.0,Shooting foul by D. Powell (drawn by B. Bogdanović),,99,107
4,0:56.0,B. Bogdanović makes free throw 1 of 2,,100,107
4,0:56.0,B. Bogdanović makes free throw 2 of 2,,101,107
4,0:40.0,,L. Dončić makes 3-pt jump shot from 30 ft,101,110
4,0:34.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,101,110
4,0:31.0,,Defensive rebound by L. Dončić,101,110
4,0:08.0,,Turnover by Team (shot clock),101,110
4,0:05.0,D. Collison misses 3-pt jump shot from 32 ft,,101,110
4,0:01.0,,Defensive rebound by T. Hardaway,101,110
