QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
4,1:56.0,,C. Felício makes free throw 2 of 2,110,92
4,1:42.0,G. Trent makes 2-pt jump shot from 21 ft,,112,92
4,1:29.0,,A. Blakeney misses 2-pt jump shot from 5 ft,112,92
4,1:29.0,,Offensive rebound by A. Blakeney,112,92
4,1:29.0,,Personal foul by G. Trent (drawn by A. Blakeney),112,92
4,1:29.0,,A. Blakeney makes free throw 1 of 2,112,93
4,1:29.0,,A. Blakeney makes free throw 2 of 2,112,94
4,1:17.0,A. Simons makes 3-pt jump shot from 25 ft (assist by S. Labissière),,115,94
4,1:06.0,,S. Harrison makes 2-pt jump shot from 20 ft,115,96
4,0:54.0,G. Trent misses 3-pt jump shot from 25 ft,,115,96
4,0:51.0,,Defensive rebound by C. Felício,115,96
4,0:41.0,,A. Blakeney makes 2-pt layup from 2 ft (assist by S. Harrison),115,98
4,0:21.0,G. Trent makes 3-pt jump shot from 23 ft (assist by S. Labissière),,118,98
4,0:10.0,,A. Blakeney misses 3-pt jump shot from 25 ft,118,98
4,0:08.0,Defensive rebound by G. Trent,,118,98
