QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ATLANTA_ACTION,LA LAKERS_SCORE,ATLANTA_SCORE
4,8:31.0,,D. Bembry enters the game for T. Young,100,105
4,8:19.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,100,105
4,8:14.0,Offensive rebound by K. Kuzma,,100,105
4,8:02.0,Turnover by Team (shot clock),,100,105
4,7:49.0,,D. Dedmon misses 3-pt jump shot from 26 ft,100,105
4,7:45.0,,Offensive rebound by D. Dedmon,100,105
4,7:42.0,,D. Dedmon makes 2-pt layup from 2 ft,100,107
4,7:19.0,Shooting foul by J. Collins (drawn by B. Ingram),,100,107
4,7:19.0,B. Ingram misses free throw 1 of 2,,100,107
4,7:19.0,Offensive rebound by Team,,100,107
4,7:19.0,,V. Carter enters the game for J. Collins,100,107
4,7:19.0,,O. Spellman enters the game for T. Prince,100,107
4,7:19.0,B. Ingram makes free throw 2 of 2,,101,107
4,6:57.0,,D. Bembry misses 3-pt jump shot from 26 ft,101,107
4,6:55.0,Defensive rebound by Team,,101,107
4,6:55.0,,Loose ball foul by D. Dedmon (drawn by K. Kuzma),101,107
4,6:55.0,R. Bullock enters the game for K. Caldwell-Pope,,101,107
4,6:55.0,,A. Len enters the game for D. Dedmon,101,107
4,6:44.0,Turnover by R. Rondo (traveling),,101,107
4,6:33.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by D. Bembry),101,110
4,6:22.0,Shooting foul by O. Spellman (drawn by L. James),,101,110
4,6:22.0,L. James makes free throw 1 of 2,,102,110
4,6:22.0,,K. Bazemore enters the game for K. Huerter,102,110
4,6:22.0,L. James makes free throw 2 of 2,,103,110
4,6:04.0,,D. Bembry misses 2-pt layup from 1 ft,103,110
4,5:57.0,,Offensive rebound by D. Bembry,103,110
4,5:55.0,,K. Bazemore misses 3-pt jump shot from 26 ft,103,110
4,5:53.0,Defensive rebound by K. Kuzma,,103,110
4,5:48.0,Turnover by K. Kuzma (traveling),,103,110
4,5:35.0,,Turnover by A. Len (dbl dribble),103,110
4,5:35.0,,T. Young enters the game for A. Len,103,110
4,5:21.0,B. Ingram misses 3-pt jump shot from 24 ft,,103,110
4,5:19.0,,Defensive rebound by Team,103,110
4,5:00.0,,K. Bazemore misses 2-pt jump shot from 17 ft,103,110
4,4:57.0,Defensive rebound by R. Rondo,,103,110
4,4:50.0,R. Rondo misses 2-pt layup from 12 ft,,103,110
4,4:46.0,,Defensive rebound by V. Carter,103,110
4,4:46.0,,Atlanta full timeout,103,110
4,4:46.0,,J. Collins enters the game for D. Bembry,103,110
4,4:46.0,,D. Dedmon enters the game for O. Spellman,103,110
4,4:35.0,,Turnover by V. Carter (lost ball; steal by R. Rondo),103,110
4,4:31.0,K. Kuzma misses 2-pt layup from 1 ft,,103,110
4,4:29.0,,Defensive rebound by V. Carter,103,110
4,4:19.0,,Turnover by J. Collins (off goaltending),103,110
4,4:02.0,L. James misses 3-pt jump shot from 23 ft,,103,110
4,3:58.0,,Defensive rebound by K. Bazemore,103,110
4,3:48.0,,Turnover by T. Young (step out of bounds),103,110
4,3:39.0,Turnover by L. James (bad pass),,103,110
4,3:26.0,,T. Young misses 3-pt jump shot from 29 ft,103,110
4,3:22.0,Defensive rebound by L. James,,103,110
4,3:19.0,R. Bullock misses 2-pt layup from 1 ft,,103,110
4,3:19.0,,Defensive rebound by Team,103,110
4,3:19.0,Loose ball foul by R. Bullock (drawn by K. Bazemore),,103,110
4,3:19.0,,Atlanta full timeout,103,110
4,3:19.0,,K. Huerter enters the game for K. Bazemore,103,110
4,3:19.0,,T. Prince enters the game for V. Carter,103,110
4,3:00.0,,J. Collins misses 2-pt hook shot from 10 ft,103,110
4,2:57.0,Defensive rebound by R. Bullock,,103,110
4,2:47.0,B. Ingram misses 2-pt jump shot from 9 ft,,103,110
4,2:46.0,Offensive rebound by L. James,,103,110
4,2:46.0,Shooting foul by D. Dedmon (drawn by L. James),,103,110
4,2:46.0,L. James misses free throw 1 of 2,,103,110
4,2:46.0,Offensive rebound by Team,,103,110
4,2:46.0,L. James makes free throw 2 of 2,,104,110
4,2:27.0,,Turnover by T. Young (bad pass; steal by R. Bullock),104,110
4,2:20.0,K. Kuzma misses 3-pt jump shot from 25 ft,,104,110
4,2:16.0,Offensive rebound by R. Rondo,,104,110
4,2:14.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,106,110
4,1:48.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Huerter),106,113
4,1:42.0,L. James makes 2-pt dunk from 1 ft,,108,113
4,1:28.0,,T. Young makes 2-pt layup from 1 ft,108,115
4,1:28.0,,Shooting foul by L. James (drawn by T. Young),108,115
4,1:28.0,,T. Young misses free throw 1 of 1,108,115
4,1:26.0,,Offensive rebound by Team,108,115
4,1:14.0,,T. Young misses 3-pt jump shot from 26 ft,108,115
4,1:11.0,Defensive rebound by L. James,,108,115
4,1:06.0,R. Rondo misses 3-pt jump shot from 25 ft,,108,115
4,1:01.0,,Defensive rebound by J. Collins,108,115
4,0:42.0,,J. Collins misses 2-pt jump shot from 9 ft,108,115
4,0:40.0,Defensive rebound by R. Rondo,,108,115
4,0:37.0,L. James misses 3-pt jump shot from 26 ft,,108,115
4,0:33.0,,Defensive rebound by J. Collins,108,115
4,0:29.0,,Personal take foul by R. Rondo (drawn by T. Young),108,115
4,0:29.0,,T. Young misses free throw 1 of 2,108,115
4,0:29.0,,Offensive rebound by Team,108,115
4,0:29.0,,T. Young makes free throw 2 of 2,108,116
4,0:29.0,LA Lakers full timeout,,108,116
4,0:29.0,,K. Bazemore enters the game for D. Dedmon,108,116
4,0:29.0,,D. Bembry enters the game for T. Young,108,116
4,0:22.0,R. Rondo makes 3-pt jump shot from 25 ft (assist by L. James),,111,116
4,0:21.0,,Atlanta full timeout,111,116
4,0:21.0,,V. Carter enters the game for K. Bazemore,111,116
4,0:21.0,,D. Dedmon enters the game for D. Bembry,111,116
4,0:21.0,,T. Young enters the game for J. Collins,111,116
4,0:17.0,,Turnover by D. Dedmon (bad pass; steal by R. Bullock),111,116
4,0:13.0,L. James makes 2-pt layup from 1 ft,,113,116
4,0:04.0,,Personal foul by R. Rondo (drawn by K. Huerter),113,116
4,0:04.0,,K. Huerter misses free throw 1 of 2,113,116
4,0:04.0,,Offensive rebound by Team,113,116
4,0:04.0,J. McGee enters the game for R. Rondo,,113,116
4,0:04.0,,D. Bembry enters the game for T. Young,113,116
4,0:04.0,,K. Huerter makes free throw 2 of 2,113,117
4,0:04.0,LA Lakers full timeout,,113,117
4,0:04.0,R. Rondo enters the game for J. McGee,,113,117
4,0:04.0,,K. Bazemore enters the game for V. Carter,113,117
4,0:02.0,Turnover by R. Rondo (bad pass; steal by K. Bazemore),,113,117
