QUARTER,TIME_REMAINING,DETROIT_ACTION,DALLAS_ACTION,DETROIT_SCORE,DALLAS_SCORE
4,5:07.0,Offensive rebound by Team,,92,96
4,5:07.0,,L. Dončić enters the game for M. Kleber,92,96
4,5:07.0,A. Drummond makes free throw 2 of 2,,93,96
4,4:48.0,,Personal foul by S. Johnson (drawn by L. Dončić),93,96
4,4:35.0,,L. Dončić misses 2-pt jump shot from 18 ft,93,96
4,4:34.0,,Offensive rebound by Team,93,96
4,4:34.0,,Turnover by Team (shot clock),93,96
4,4:16.0,B. Griffin misses 2-pt jump shot from 5 ft,,93,96
4,4:16.0,Offensive rebound by A. Drummond,,93,96
4,4:16.0,A. Drummond makes 2-pt layup from 1 ft,,95,96
4,3:57.0,,Shooting foul by R. Bullock (drawn by H. Barnes),95,96
4,3:57.0,,H. Barnes misses free throw 1 of 2,95,96
4,3:57.0,,Offensive rebound by Team,95,96
4,3:57.0,,M. Kleber enters the game for D. Finney-Smith,95,96
4,3:57.0,,H. Barnes makes free throw 2 of 2,95,97
4,3:44.0,B. Griffin misses 2-pt layup from 5 ft (block by M. Kleber),,95,97
4,3:38.0,Offensive rebound by B. Griffin,,95,97
4,3:37.0,Turnover by B. Griffin (bad pass; steal by L. Dončić),,95,97
4,3:34.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Dončić),95,100
4,3:32.0,Detroit full timeout,,95,100
4,3:31.0,Personal take foul by H. Barnes (drawn by A. Drummond),,95,100
4,3:31.0,A. Drummond makes free throw 1 of 2,,96,100
4,3:31.0,,Dallas full timeout,96,100
4,3:31.0,A. Drummond makes free throw 2 of 2,,97,100
4,3:10.0,,D. Smith misses 3-pt jump shot from 24 ft,97,100
4,3:06.0,Defensive rebound by R. Bullock,,97,100
4,2:46.0,R. Jackson misses 3-pt jump shot from 25 ft,,97,100
4,2:44.0,,Defensive rebound by L. Dončić,97,100
4,2:36.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Dončić),97,102
4,2:16.0,R. Bullock misses 3-pt jump shot from 25 ft,,97,102
4,2:12.0,,Defensive rebound by D. Jordan,97,102
4,1:59.0,,Turnover by D. Smith (bad pass; steal by S. Johnson),97,102
4,1:43.0,A. Drummond misses 2-pt layup from 3 ft (block by M. Kleber),,97,102
4,1:41.0,,Defensive rebound by L. Dončić,97,102
4,1:20.0,,L. Dončić makes 2-pt jump shot from 14 ft,97,104
4,1:19.0,,Dallas full timeout,97,104
4,1:19.0,L. Galloway enters the game for S. Johnson,,97,104
4,1:14.0,Personal foul by D. Jordan (drawn by B. Griffin),,97,104
4,1:14.0,B. Griffin misses free throw 1 of 2,,97,104
4,1:14.0,Offensive rebound by Team,,97,104
4,1:14.0,S. Johnson enters the game for L. Galloway,,97,104
4,1:14.0,B. Griffin misses free throw 2 of 2,,97,104
4,1:11.0,Offensive rebound by A. Drummond,,97,104
4,1:11.0,A. Drummond makes 2-pt layup from 1 ft,,99,104
4,0:56.0,,Personal foul by S. Johnson (drawn by L. Dončić),99,104
4,0:56.0,,L. Dončić makes free throw 1 of 2,99,105
4,0:56.0,L. Galloway enters the game for S. Johnson,,99,105
4,0:56.0,,D. Finney-Smith enters the game for D. Smith,99,105
4,0:56.0,,L. Dončić makes free throw 2 of 2,99,106
4,0:43.0,B. Griffin makes 2-pt dunk from 1 ft (assist by R. Bullock),,101,106
4,0:23.0,,L. Dončić misses 3-pt jump shot from 26 ft,101,106
4,0:19.0,Defensive rebound by L. Galloway,,101,106
4,0:04.0,R. Jackson misses 3-pt jump shot from 25 ft,,101,106
4,0:01.0,,Defensive rebound by D. Finney-Smith,101,106
