QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
4,1:17.0,,Shooting foul by D. Sabonis (drawn by T. Hardaway),103,97
4,1:17.0,M. Turner enters the game for D. Sabonis,,103,97
4,1:17.0,,T. Hardaway makes free throw 1 of 2,103,98
4,1:17.0,,T. Hardaway makes free throw 2 of 2,103,99
4,0:55.0,V. Oladipo misses 2-pt layup from 2 ft (block by N. Vonleh),,103,99
4,0:54.0,,Defensive rebound by D. Dotson,103,99
4,0:44.0,,A. Trier makes 2-pt layup from 1 ft,103,101
4,0:34.0,Indiana full timeout,,103,101
4,0:25.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,103,101
4,0:23.0,Offensive rebound by T. Young,,103,101
4,0:21.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by T. Young),,106,101
4,0:15.0,,T. Hardaway misses 3-pt jump shot from 25 ft,106,101
4,0:13.0,,Offensive rebound by A. Trier,106,101
4,0:09.0,,N. Vonleh misses 3-pt jump shot from 24 ft,106,101
4,0:07.0,Defensive rebound by T. Young,,106,101
4,0:06.0,Personal take foul by T. Hardaway (drawn by C. Joseph),,106,101
4,0:06.0,Indiana full timeout,,106,101
4,0:06.0,D. Collison enters the game for T. Young,,106,101
4,0:04.0,Personal take foul by T. Hardaway (drawn by V. Oladipo),,106,101
4,0:04.0,V. Oladipo misses free throw 1 of 2,,106,101
4,0:04.0,Offensive rebound by Team,,106,101
4,0:04.0,V. Oladipo makes free throw 2 of 2,,107,101
4,0:00.0,,F. Ntilikina misses 2-pt layup from 15 ft,107,101
4,0:00.0,,Offensive rebound by Team,107,101
