QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
4,4:16.0,,J. Lin makes 2-pt jump shot from 13 ft,86,111
4,3:59.0,R. Williams misses 2-pt jump shot from 15 ft,,86,111
4,3:56.0,Offensive rebound by G. Yabusele,,86,111
4,3:53.0,T. Rozier misses 3-pt jump shot from 23 ft,,86,111
4,3:50.0,Offensive rebound by R. Williams,,86,111
4,3:50.0,Turnover by R. Williams (bad pass),,86,111
4,3:39.0,,C. Boucher misses 3-pt jump shot from 26 ft,86,111
4,3:36.0,Defensive rebound by Team,,86,111
4,3:18.0,Shooting foul by C. Boucher (drawn by T. Rozier),,86,111
4,3:18.0,T. Rozier makes free throw 1 of 2,,87,111
4,3:18.0,,P. McCaw enters the game for O. Anunoby,87,111
4,3:18.0,T. Rozier makes free throw 2 of 2,,88,111
4,3:08.0,,J. Meeks makes 2-pt layup from 1 ft (assist by J. Lin),88,113
4,2:49.0,G. Yabusele makes 2-pt jump shot from 1 ft (assist by T. Rozier),,90,113
4,2:39.0,,J. Lin misses 2-pt hook shot from 3 ft,90,113
4,2:37.0,Defensive rebound by T. Rozier,,90,113
4,2:33.0,G. Yabusele makes 2-pt layup from 1 ft (assist by T. Rozier),,92,113
4,2:17.0,,P. McCaw misses 2-pt jump shot from 12 ft,92,113
4,2:14.0,Defensive rebound by D. Theis,,92,113
4,1:58.0,G. Yabusele misses 2-pt layup from 3 ft (block by C. Boucher),,92,113
4,1:55.0,,Defensive rebound by P. McCaw,92,113
4,1:51.0,,C. Boucher misses 2-pt layup at rim (block by D. Theis),92,113
4,1:48.0,,Offensive rebound by J. Lin,92,113
4,1:46.0,,J. Meeks misses 3-pt jump shot from 24 ft (block by S. Ojeleye),92,113
4,1:42.0,,Offensive rebound by C. Boucher,92,113
4,1:42.0,,M. Miller makes 3-pt jump shot from 27 ft (assist by P. McCaw),92,116
4,1:25.0,S. Ojeleye misses 3-pt jump shot from 25 ft,,92,116
4,1:23.0,,Defensive rebound by M. Miller,92,116
4,1:13.0,,M. Miller misses 3-pt jump shot from 27 ft,92,116
4,1:09.0,Defensive rebound by G. Yabusele,,92,116
4,1:01.0,G. Yabusele misses 3-pt jump shot from 26 ft (block by C. Boucher),,92,116
4,0:59.0,,Defensive rebound by J. Meeks,92,116
4,0:58.0,,C. Boucher makes 2-pt dunk at rim (assist by J. Meeks),92,118
4,0:46.0,G. Yabusele misses 3-pt jump shot from 26 ft,,92,118
4,0:44.0,Offensive rebound by R. Williams,,92,118
4,0:44.0,Shooting foul by J. Meeks (drawn by R. Williams),,92,118
4,0:44.0,Boston full timeout,,92,118
4,0:44.0,R. Williams makes free throw 1 of 2,,93,118
4,0:44.0,R. Williams makes free throw 2 of 2,,94,118
4,0:24.0,,M. Miller misses 2-pt layup from 3 ft,94,118
4,0:24.0,Defensive rebound by G. Yabusele,,94,118
4,0:15.0,Personal foul by J. Lin (drawn by G. Yabusele),,94,118
4,0:15.0,G. Yabusele makes free throw 1 of 2,,95,118
4,0:15.0,G. Yabusele misses free throw 2 of 2,,95,118
4,0:13.0,,Defensive rebound by C. Boucher,95,118
