QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
3,3:46.0,,Turnover by T. Frazier (bad pass; steal by A. Gordon),81,58
3,3:38.0,A. Gordon misses 3-pt jump shot from 26 ft,,81,58
3,3:36.0,,Defensive rebound by J. Randle,81,58
3,3:15.0,,Offensive foul by J. Randle (drawn by I. Briscoe),81,58
3,3:15.0,,Turnover by J. Randle (offensive foul),81,58
3,3:15.0,K. Birch enters the game for N. Vučević,,81,58
3,3:15.0,,C. Diallo enters the game for A. Davis,81,58
3,3:04.0,A. Gordon makes 2-pt layup from 2 ft (assist by I. Briscoe),,83,58
3,2:51.0,,Turnover by C. Diallo (lost ball; steal by W. Iwundu),83,58
3,2:31.0,A. Gordon makes 2-pt jump shot from 7 ft (assist by W. Iwundu),,85,58
3,2:28.0,Orlando full timeout,,85,58
3,2:18.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by D. Miller),85,61
3,1:58.0,I. Briscoe misses 3-pt jump shot from 23 ft,,85,61
3,1:56.0,,Defensive rebound by D. Miller,85,61
3,1:44.0,,F. Jackson misses 2-pt layup from 6 ft (block by I. Briscoe),85,61
3,1:44.0,,Offensive rebound by Team,85,61
3,1:44.0,J. Isaac enters the game for A. Gordon,,85,61
3,1:44.0,,J. Okafor enters the game for C. Diallo,85,61
3,1:31.0,,F. Jackson misses 3-pt jump shot from 28 ft,85,61
3,1:26.0,Defensive rebound by T. Ross,,85,61
3,1:15.0,J. Isaac makes 2-pt layup from 5 ft (assist by I. Briscoe),,87,61
3,1:02.0,,D. Miller misses 3-pt jump shot from 27 ft,87,61
3,0:59.0,Defensive rebound by J. Isaac,,87,61
3,0:52.0,W. Iwundu makes 3-pt jump shot from 24 ft (assist by I. Briscoe),,90,61
3,0:41.0,,Personal foul by W. Iwundu (drawn by J. Randle),90,61
3,0:41.0,,C. Diallo enters the game for J. Okafor,90,61
3,0:33.0,,F. Jackson misses 3-pt jump shot from 24 ft,90,61
3,0:30.0,Defensive rebound by J. Isaac,,90,61
3,0:23.0,W. Iwundu misses 3-pt jump shot from 23 ft,,90,61
3,0:19.0,Offensive rebound by K. Birch,,90,61
3,0:10.0,T. Ross misses 3-pt jump shot from 25 ft,,90,61
3,0:08.0,Offensive rebound by W. Iwundu,,90,61
3,0:08.0,W. Iwundu makes 2-pt layup from 2 ft,,92,61
3,0:00.0,,D. Miller misses 3-pt jump shot from 25 ft (block by T. Ross),92,61
3,0:00.0,,Offensive rebound by Team,92,61
