QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
4,1:12.0,Away from play foul by J. Randle (drawn by T. Gibson),,109,115
4,1:12.0,R. Covington misses free throw 1 of 1,,109,115
4,1:12.0,Offensive rebound by Team,,109,115
4,1:04.0,R. Covington makes 3-pt jump shot from 28 ft (assist by A. Wiggins),,112,115
4,0:55.0,,Personal foul by K. Towns (drawn by D. Miller),112,115
4,0:55.0,,D. Miller makes free throw 1 of 2,112,116
4,0:55.0,,D. Miller makes free throw 2 of 2,112,117
4,0:45.0,R. Covington misses 3-pt jump shot from 28 ft,,112,117
4,0:45.0,,Defensive rebound by J. Holiday,112,117
4,0:35.0,,Personal foul by K. Towns (drawn by J. Holiday),112,117
4,0:35.0,Technical foul by K. Towns,,112,117
4,0:35.0,,J. Holiday makes technical free throw,112,118
4,0:35.0,,J. Holiday makes free throw 1 of 2,112,119
4,0:35.0,,J. Holiday makes free throw 2 of 2,112,120
4,0:35.0,Minnesota full timeout,,112,120
4,0:35.0,J. Okogie enters the game for R. Covington,,112,120
4,0:33.0,Personal foul by S. Hill (drawn by K. Towns),,112,120
4,0:33.0,K. Towns makes free throw 1 of 2,,113,120
4,0:33.0,K. Towns makes free throw 2 of 2,,114,120
4,0:30.0,,Personal take foul by J. Okogie (drawn by E. Payton),114,120
4,0:30.0,,E. Payton makes free throw 1 of 2,114,121
4,0:30.0,,E. Payton makes free throw 2 of 2,114,122
4,0:25.0,A. Wiggins misses 3-pt jump shot from 26 ft,,114,122
4,0:21.0,,Defensive rebound by S. Hill,114,122
4,0:12.0,,Personal take foul by K. Towns (drawn by J. Randle),114,122
4,0:12.0,G. Dieng enters the game for K. Towns,,114,122
4,0:12.0,,J. Randle misses free throw 1 of 2,114,122
4,0:12.0,,Offensive rebound by Team,114,122
4,0:12.0,,T. Frazier enters the game for E. Payton,114,122
4,0:12.0,,J. Randle makes free throw 2 of 2,114,123
4,0:08.0,G. Dieng misses 3-pt jump shot from 26 ft,,114,123
4,0:03.0,,Defensive rebound by T. Frazier,114,123
