QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
4,5:12.0,D. White makes 3-pt jump shot from 26 ft (assist by B. Forbes),,94,91
4,4:57.0,,T. Young makes 2-pt jump shot from 11 ft,94,93
4,4:44.0,D. White makes 2-pt jump shot from 8 ft,,96,93
4,4:24.0,,K. Huerter misses 3-pt jump shot from 25 ft,96,93
4,4:22.0,Defensive rebound by L. Aldridge,,96,93
4,4:11.0,D. White makes 2-pt layup from 1 ft,,98,93
4,4:11.0,,Atlanta full timeout,98,93
4,4:11.0,R. Gay enters the game for B. Forbes,,98,93
4,4:11.0,,D. Bembry enters the game for V. Carter,98,93
4,4:11.0,,J. Collins enters the game for K. Huerter,98,93
4,3:57.0,,D. Bembry makes 3-pt jump shot from 24 ft (assist by K. Bazemore),98,96
4,3:36.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. White),,100,96
4,3:18.0,,T. Young misses 3-pt jump shot from 26 ft,100,96
4,3:14.0,,Offensive rebound by A. Len,100,96
4,3:04.0,,D. Bembry misses 2-pt layup from 1 ft,100,96
4,3:01.0,Defensive rebound by R. Gay,,100,96
4,2:56.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by D. White),,103,96
4,2:42.0,,T. Young misses 2-pt layup from 1 ft (block by D. White),103,96
4,2:39.0,,Offensive rebound by T. Young,103,96
4,2:37.0,,Personal foul by D. White (drawn by T. Young),103,96
4,2:37.0,,T. Young makes free throw 1 of 2,103,97
4,2:37.0,,V. Carter enters the game for A. Len,103,97
4,2:37.0,,T. Young makes free throw 2 of 2,103,98
4,2:19.0,D. White misses 2-pt jump shot from 18 ft,,103,98
4,2:15.0,,Defensive rebound by T. Young,103,98
4,2:11.0,,T. Young makes 2-pt layup from 1 ft,103,100
4,2:11.0,,Shooting foul by D. Bertāns (drawn by T. Young),103,100
4,2:11.0,,K. Huerter enters the game for K. Bazemore,103,100
4,2:11.0,,T. Young misses free throw 1 of 1,103,100
4,2:08.0,Defensive rebound by R. Gay,,103,100
4,1:51.0,L. Aldridge makes 2-pt jump shot from 11 ft,,105,100
4,1:51.0,Shooting foul by V. Carter (drawn by L. Aldridge),,105,100
4,1:51.0,L. Aldridge makes free throw 1 of 1,,106,100
4,1:43.0,,T. Young misses 2-pt layup from 1 ft (block by L. Aldridge),106,100
4,1:40.0,Defensive rebound by L. Aldridge,,106,100
4,1:32.0,D. DeRozan makes 2-pt layup from 1 ft,,108,100
4,1:19.0,,T. Young misses 2-pt layup from 5 ft (block by L. Aldridge),108,100
4,1:19.0,,Offensive rebound by Team,108,100
4,1:10.0,,Turnover by T. Young (bad pass; steal by L. Aldridge),108,100
4,1:06.0,D. Bertāns misses 3-pt jump shot from 24 ft,,108,100
4,1:02.0,,Defensive rebound by J. Collins,108,100
4,0:53.0,,J. Collins makes 2-pt hook shot from 7 ft,108,102
4,0:36.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. White),,110,102
4,0:36.0,,Atlanta full timeout,110,102
4,0:36.0,,A. Len enters the game for J. Collins,110,102
4,0:34.0,,A. Len makes 2-pt hook shot from 10 ft (assist by V. Carter),110,104
4,0:31.0,Personal foul by V. Carter (drawn by D. White),,110,104
4,0:31.0,D. White misses free throw 1 of 2,,110,104
4,0:31.0,Offensive rebound by Team,,110,104
4,0:31.0,D. White makes free throw 2 of 2,,111,104
4,0:21.0,,T. Young misses 2-pt jump shot from 12 ft,111,104
4,0:18.0,Defensive rebound by R. Gay,,111,104
