QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
4,4:17.0,,J. Lin misses 3-pt jump shot from 27 ft,101,100
4,4:16.0,Defensive rebound by Team,,101,100
4,3:58.0,A. Horford misses 2-pt layup from 2 ft,,101,100
4,3:58.0,Offensive rebound by A. Horford,,101,100
4,3:58.0,Shooting foul by O. Spellman (drawn by A. Horford),,101,100
4,3:58.0,A. Horford makes free throw 1 of 2,,102,100
4,3:58.0,,T. Young enters the game for J. Lin,102,100
4,3:58.0,A. Horford makes free throw 2 of 2,,103,100
4,3:46.0,,T. Prince misses 3-pt jump shot from 22 ft,103,100
4,3:43.0,Defensive rebound by A. Horford,,103,100
4,3:37.0,K. Irving misses 3-pt jump shot from 25 ft,,103,100
4,3:33.0,,Defensive rebound by A. Len,103,100
4,3:23.0,,D. Bembry misses 3-pt jump shot from 25 ft,103,100
4,3:19.0,Defensive rebound by J. Brown,,103,100
4,3:09.0,J. Tatum misses 2-pt layup from 1 ft,,103,100
4,3:08.0,Offensive rebound by A. Horford,,103,100
4,3:08.0,Shooting foul by T. Prince (drawn by A. Horford),,103,100
4,3:08.0,A. Horford makes free throw 1 of 2,,104,100
4,3:08.0,,J. Collins enters the game for A. Len,104,100
4,3:08.0,,D. Dedmon enters the game for T. Prince,104,100
4,3:08.0,,K. Huerter enters the game for O. Spellman,104,100
4,3:08.0,A. Horford makes free throw 2 of 2,,105,100
4,2:50.0,,Offensive foul by T. Young (drawn by K. Irving),105,100
4,2:50.0,,Turnover by T. Young (offensive foul),105,100
4,2:29.0,A. Horford misses 3-pt jump shot from 26 ft,,105,100
4,2:27.0,,Defensive rebound by D. Bembry,105,100
4,2:19.0,,D. Dedmon misses 3-pt jump shot from 23 ft,105,100
4,2:16.0,Defensive rebound by K. Irving,,105,100
4,2:05.0,Turnover by J. Brown (lost ball; steal by T. Young),,105,100
4,2:00.0,,T. Young misses 3-pt jump shot from 26 ft,105,100
4,1:55.0,Defensive rebound by J. Tatum,,105,100
4,1:48.0,J. Tatum misses 2-pt layup from 1 ft,,105,100
4,1:47.0,Offensive rebound by A. Horford,,105,100
4,1:47.0,A. Horford misses 2-pt layup at rim,,105,100
4,1:47.0,Offensive rebound by A. Horford,,105,100
4,1:47.0,A. Horford makes 2-pt layup at rim,,107,100
4,1:47.0,,Atlanta full timeout,107,100
4,1:33.0,,D. Bembry misses 3-pt jump shot from 25 ft,107,100
4,1:30.0,Defensive rebound by J. Tatum,,107,100
4,1:11.0,K. Irving makes 2-pt jump shot from 11 ft,,109,100
4,1:04.0,,K. Huerter makes 2-pt layup from 2 ft (assist by T. Young),109,102
4,0:49.0,M. Morris misses 3-pt jump shot from 25 ft,,109,102
4,0:46.0,Offensive rebound by J. Tatum,,109,102
4,0:46.0,J. Tatum makes 2-pt layup from 1 ft,,111,102
4,0:39.0,,Shooting foul by A. Horford (drawn by D. Bembry),111,102
4,0:39.0,,D. Bembry misses free throw 1 of 2,111,102
4,0:39.0,,Offensive rebound by Team,111,102
4,0:39.0,,D. Bembry makes free throw 2 of 2,111,103
4,0:18.0,M. Morris makes 2-pt layup from 3 ft (assist by J. Tatum),,113,103
4,0:13.0,,Shooting foul by A. Horford (drawn by T. Young),113,103
4,0:13.0,,T. Young makes free throw 1 of 2,113,104
4,0:13.0,,T. Young makes free throw 2 of 2,113,105
