QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
4,5:30.0,,Defensive rebound by D. Gallinari,77,89
4,5:14.0,,Personal foul by T. Ross (drawn by T. Harris),77,89
4,5:14.0,,T. Harris makes free throw 1 of 2,77,90
4,5:14.0,,T. Harris makes free throw 2 of 2,77,91
4,5:03.0,A. Gordon misses 3-pt jump shot from 27 ft,,77,91
4,4:59.0,,Defensive rebound by M. Harrell,77,91
4,4:52.0,,T. Harris makes 2-pt jump shot from 13 ft,77,93
4,4:33.0,N. Vučević misses 2-pt hook shot from 14 ft,,77,93
4,4:30.0,,Defensive rebound by T. Harris,77,93
4,4:25.0,,Shooting foul by E. Fournier (drawn by L. Williams),77,93
4,4:25.0,,L. Williams makes free throw 1 of 2,77,94
4,4:25.0,,L. Williams makes free throw 2 of 2,77,95
4,4:08.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by T. Ross),,80,95
4,4:08.0,,LA Clippers full timeout,80,95
4,4:08.0,,M. Gortat enters the game for M. Harrell,80,95
4,4:00.0,,Personal foul by T. Ross (drawn by T. Harris),80,95
4,4:00.0,,T. Harris makes free throw 1 of 2,80,96
4,4:00.0,,T. Harris makes free throw 2 of 2,80,97
4,3:43.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by A. Gordon),,82,97
4,3:28.0,,T. Harris makes 2-pt layup from 3 ft (assist by M. Gortat),82,99
4,3:08.0,N. Vučević misses 3-pt jump shot from 27 ft,,82,99
4,3:06.0,Offensive rebound by E. Fournier,,82,99
4,3:04.0,Shooting foul by P. Beverley (drawn by E. Fournier),,82,99
4,3:04.0,E. Fournier misses free throw 1 of 2,,82,99
4,3:04.0,Offensive rebound by Team,,82,99
4,3:04.0,E. Fournier makes free throw 2 of 2,,83,99
4,2:49.0,,D. Gallinari misses 3-pt jump shot from 27 ft,83,99
4,2:47.0,Defensive rebound by N. Vučević,,83,99
4,2:46.0,Personal foul by L. Williams (drawn by E. Fournier),,83,99
4,2:46.0,,M. Harrell enters the game for M. Gortat,83,99
4,2:37.0,D. Augustin makes 2-pt jump shot from 2 ft,,85,99
4,2:22.0,,L. Williams misses 2-pt jump shot from 17 ft,85,99
4,2:19.0,Defensive rebound by T. Ross,,85,99
4,2:07.0,N. Vučević makes 2-pt hook shot from 2 ft (assist by T. Ross),,87,99
4,1:55.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by P. Beverley),87,102
4,1:55.0,Orlando full timeout,,87,102
4,1:55.0,K. Birch enters the game for D. Augustin,,87,102
4,1:55.0,I. Briscoe enters the game for E. Fournier,,87,102
4,1:55.0,J. Grant enters the game for A. Gordon,,87,102
4,1:55.0,W. Iwundu enters the game for T. Ross,,87,102
4,1:55.0,J. Martin enters the game for N. Vučević,,87,102
4,1:55.0,,S. Gilgeous-Alexander enters the game for D. Gallinari,87,102
4,1:55.0,,J. Motley enters the game for T. Harris,87,102
4,1:55.0,,S. Thornwell enters the game for L. Williams,87,102
4,1:55.0,,Violation by Team (delay of game),87,102
4,1:48.0,Personal foul by P. Beverley (drawn by I. Briscoe),,87,102
4,1:48.0,I. Briscoe makes free throw 1 of 2,,88,102
4,1:48.0,,T. Wallace enters the game for S. Gilgeous-Alexander,88,102
4,1:48.0,I. Briscoe makes free throw 2 of 2,,89,102
4,1:23.0,,M. Harrell misses 2-pt jump shot from 3 ft,89,102
4,1:23.0,,Offensive rebound by J. Motley,89,102
4,1:23.0,,Turnover by Team (shot clock),89,102
4,1:11.0,I. Briscoe makes 3-pt jump shot from 27 ft (assist by K. Birch),,92,102
4,0:55.0,,J. Motley makes 2-pt jump shot from 6 ft (assist by P. Beverley),92,104
4,0:46.0,K. Birch misses 2-pt jump shot from 7 ft,,92,104
4,0:42.0,Offensive rebound by I. Briscoe,,92,104
4,0:38.0,J. Grant makes 3-pt jump shot from 24 ft (assist by I. Briscoe),,95,104
4,0:30.0,,J. Motley makes 2-pt layup from 3 ft,95,106
4,0:13.0,Personal foul by P. Beverley (drawn by I. Briscoe),,95,106
4,0:13.0,I. Briscoe misses free throw 1 of 2,,95,106
4,0:13.0,Offensive rebound by Team,,95,106
4,0:13.0,I. Briscoe makes free throw 2 of 2,,96,106
4,0:08.0,,Personal foul by I. Briscoe (drawn by P. Beverley),96,106
4,0:08.0,,P. Beverley misses free throw 1 of 2,96,106
4,0:08.0,,Offensive rebound by Team,96,106
4,0:08.0,,P. Beverley misses free throw 2 of 2,96,106
4,0:05.0,,Offensive rebound by P. Beverley,96,106
