QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
4,5:08.0,,B. Ingram makes free throw 1 of 2,76,92
4,5:08.0,,B. Ingram misses free throw 2 of 2,76,92
4,5:05.0,Defensive rebound by W. Carter,,76,92
4,4:49.0,W. Selden misses 3-pt jump shot from 26 ft,,76,92
4,4:44.0,,Defensive rebound by T. Chandler,76,92
4,4:36.0,,B. Ingram makes 2-pt jump shot from 18 ft,76,94
4,4:34.0,Chicago full timeout,,76,94
4,4:34.0,C. Hutchison enters the game for W. Selden,,76,94
4,4:14.0,L. Markkanen makes 3-pt jump shot from 23 ft (assist by K. Dunn),,79,94
4,3:58.0,,L. Ball misses 2-pt layup from 5 ft,79,94
4,3:56.0,Defensive rebound by W. Carter,,79,94
4,3:48.0,Turnover by K. Dunn (bad pass; steal by J. Hart),,79,94
4,3:32.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by S. Mykhailiuk),79,96
4,3:10.0,C. Hutchison makes 2-pt dunk from 1 ft (assist by Z. LaVine),,81,96
4,2:46.0,,B. Ingram makes 2-pt jump shot from 19 ft,81,98
4,2:46.0,Chicago full timeout,,81,98
4,2:46.0,R. Arcidiacono enters the game for W. Carter,,81,98
4,2:46.0,C. Felício enters the game for K. Dunn,,81,98
4,2:46.0,S. Harrison enters the game for Z. LaVine,,81,98
4,2:46.0,J. Parker enters the game for L. Markkanen,,81,98
4,2:46.0,,I. Zubac enters the game for T. Chandler,81,98
4,2:31.0,R. Arcidiacono makes 2-pt jump shot from 5 ft,,83,98
4,2:20.0,,Turnover by B. Ingram (lost ball; steal by R. Arcidiacono),83,98
4,2:19.0,Shooting foul by B. Ingram (drawn by R. Arcidiacono),,83,98
4,2:19.0,R. Arcidiacono makes free throw 1 of 2,,84,98
4,2:19.0,R. Arcidiacono makes free throw 2 of 2,,85,98
4,2:00.0,,S. Mykhailiuk misses 2-pt jump shot from 17 ft,85,98
4,1:56.0,Defensive rebound by S. Harrison,,85,98
4,1:45.0,C. Felício misses 2-pt layup from 3 ft,,85,98
4,1:42.0,Offensive rebound by C. Felício,,85,98
4,1:42.0,C. Felício makes 2-pt layup at rim,,87,98
4,1:25.0,,I. Zubac makes 2-pt hook shot from 5 ft (assist by B. Ingram),87,100
4,1:21.0,R. Arcidiacono misses 3-pt jump shot from 23 ft,,87,100
4,1:21.0,Offensive rebound by C. Felício,,87,100
4,1:15.0,J. Parker makes 3-pt jump shot from 24 ft (assist by C. Felício),,90,100
4,1:14.0,,LA Lakers full timeout,90,100
4,1:14.0,,K. Kuzma enters the game for S. Mykhailiuk,90,100
4,1:07.0,,Turnover by L. Ball (lost ball; steal by J. Parker),90,100
4,1:05.0,J. Parker makes 2-pt dunk at rim,,92,100
4,0:58.0,,Turnover by K. Kuzma (lost ball; steal by C. Felício),92,100
4,0:51.0,Shooting foul by K. Kuzma (drawn by S. Harrison),,92,100
4,0:51.0,S. Harrison makes free throw 1 of 2,,93,100
4,0:51.0,,K. Caldwell-Pope enters the game for L. Ball,93,100
4,0:51.0,S. Harrison misses free throw 2 of 2,,93,100
4,0:49.0,,Defensive rebound by I. Zubac,93,100
4,0:49.0,,Personal take foul by J. Parker (drawn by I. Zubac),93,100
4,0:49.0,,I. Zubac makes free throw 1 of 2,93,101
4,0:49.0,,I. Zubac makes free throw 2 of 2,93,102
4,0:45.0,J. Parker makes 2-pt layup from 1 ft,,95,102
4,0:41.0,,Personal take foul by J. Parker (drawn by K. Caldwell-Pope),95,102
4,0:41.0,,K. Caldwell-Pope misses free throw 1 of 2,95,102
4,0:41.0,,Offensive rebound by Team,95,102
4,0:41.0,,K. Caldwell-Pope makes free throw 2 of 2,95,103
4,0:35.0,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by J. Parker),,98,103
4,0:33.0,,Personal foul by C. Hutchison (drawn by K. Caldwell-Pope),98,103
4,0:33.0,,K. Caldwell-Pope makes free throw 1 of 2,98,104
4,0:33.0,,K. Caldwell-Pope makes free throw 2 of 2,98,105
4,0:28.0,S. Harrison misses 2-pt layup from 4 ft,,98,105
4,0:26.0,,Defensive rebound by K. Kuzma,98,105
4,0:26.0,,Personal foul by J. Parker (drawn by K. Kuzma),98,105
4,0:26.0,,K. Kuzma misses free throw 1 of 2,98,105
4,0:26.0,,Offensive rebound by Team,98,105
4,0:26.0,,K. Kuzma makes free throw 2 of 2,98,106
4,0:21.0,Shooting foul by I. Zubac (drawn by J. Parker),,98,106
4,0:21.0,J. Parker misses free throw 1 of 2,,98,106
4,0:21.0,Offensive rebound by Team,,98,106
4,0:21.0,J. Parker misses free throw 2 of 2,,98,106
4,0:19.0,,Defensive rebound by Team,98,106
4,0:19.0,,Personal foul by S. Harrison (drawn by K. Caldwell-Pope),98,106
4,0:19.0,,K. Caldwell-Pope misses free throw 1 of 2,98,106
4,0:19.0,,Offensive rebound by Team,98,106
4,0:19.0,,K. Caldwell-Pope makes free throw 2 of 2,98,107
4,0:11.0,S. Harrison misses 3-pt jump shot from 23 ft,,98,107
4,0:06.0,Offensive rebound by R. Arcidiacono,,98,107
4,0:01.0,Shooting foul by I. Zubac (drawn by S. Harrison),,98,107
4,0:01.0,S. Harrison makes free throw 1 of 3,,99,107
4,0:01.0,S. Harrison makes free throw 2 of 3,,100,107
4,0:01.0,S. Harrison misses free throw 3 of 3,,100,107
4,0:01.0,,Defensive rebound by K. Caldwell-Pope,100,107
