QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
3,7:04.0,,Defensive rebound by D. Gallinari,76,76
3,7:00.0,,D. Gallinari misses 3-pt jump shot from 28 ft,76,76
3,6:57.0,,Offensive rebound by B. Marjanović,76,76
3,6:57.0,,B. Marjanović misses 2-pt jump shot from 4 ft,76,76
3,6:57.0,Defensive rebound by J. Winslow,,76,76
3,6:40.0,J. Johnson misses 3-pt jump shot from 26 ft,,76,76
3,6:38.0,Offensive rebound by K. Olynyk,,76,76
3,6:34.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,79,76
3,6:17.0,,Turnover by D. Gallinari (bad pass; steal by B. Adebayo),79,76
3,6:12.0,Turnover by R. McGruder (bad pass),,79,76
3,6:12.0,,LA Clippers full timeout,79,76
3,6:12.0,,M. Harrell enters the game for B. Marjanović,79,76
3,5:55.0,,D. Gallinari misses 2-pt jump shot from 19 ft,79,76
3,5:53.0,Defensive rebound by J. Winslow,,79,76
3,5:41.0,K. Olynyk misses 3-pt jump shot from 26 ft,,79,76
3,5:38.0,,Defensive rebound by A. Bradley,79,76
3,5:32.0,,M. Harrell misses 2-pt layup from 3 ft,79,76
3,5:30.0,,Offensive rebound by S. Gilgeous-Alexander,79,76
3,5:22.0,,T. Harris makes 2-pt layup from 1 ft,79,78
3,5:07.0,B. Adebayo misses 2-pt hook shot from 5 ft,,79,78
3,5:05.0,,Defensive rebound by T. Harris,79,78
3,4:53.0,,Turnover by A. Bradley (bad pass; steal by K. Olynyk),79,78
3,4:47.0,J. Johnson makes 2-pt jump shot from 9 ft (assist by K. Olynyk),,81,78
3,4:37.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft (block by B. Adebayo),81,78
3,4:35.0,Defensive rebound by K. Olynyk,,81,78
3,4:28.0,Turnover by K. Olynyk (offensive foul),,81,78
3,4:28.0,Offensive foul by K. Olynyk (drawn by A. Bradley),,81,78
3,4:28.0,D. Wade enters the game for K. Olynyk,,81,78
3,4:17.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by J. Johnson),81,78
3,4:11.0,Defensive rebound by D. Wade,,81,78
3,4:01.0,R. McGruder misses 2-pt jump shot from 8 ft,,81,78
3,4:01.0,,Defensive rebound by Team,81,78
3,3:53.0,,Personal foul by J. Johnson (drawn by D. Gallinari),81,78
3,3:53.0,D. Jones enters the game for R. McGruder,,81,78
3,3:53.0,,L. Williams enters the game for A. Bradley,81,78
3,3:45.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,81,78
3,3:41.0,,Offensive rebound by D. Gallinari,81,78
3,3:41.0,,Shooting foul by J. Winslow (drawn by D. Gallinari),81,78
3,3:41.0,,D. Gallinari makes free throw 1 of 2,81,79
3,3:41.0,R. McGruder enters the game for J. Winslow,,81,79
3,3:41.0,,P. Beverley enters the game for S. Gilgeous-Alexander,81,79
3,3:41.0,,D. Gallinari makes free throw 2 of 2,81,80
3,3:27.0,Turnover by D. Wade (bad pass; steal by T. Harris),,81,80
3,3:21.0,,Turnover by L. Williams (lost ball; steal by D. Jones),81,80
3,3:21.0,Clear path foul by P. Beverley,,81,80
3,3:21.0,D. Wade makes clear path free throw 1 of 2,,82,80
3,3:21.0,,M. Scott enters the game for D. Gallinari,82,80
3,3:21.0,D. Wade misses clear path free throw 2 of 2,,82,80
3,3:21.0,Offensive rebound by Team,,82,80
3,3:07.0,R. McGruder misses 2-pt layup from 1 ft,,82,80
3,3:06.0,Offensive rebound by B. Adebayo,,82,80
3,3:06.0,B. Adebayo makes 2-pt layup from 1 ft,,84,80
3,3:06.0,,Technical foul by T. Harris,84,80
3,3:06.0,R. McGruder makes technical free throw,,85,80
3,2:58.0,,L. Williams misses 2-pt jump shot from 3 ft,85,80
3,2:56.0,,Offensive rebound by M. Harrell,85,80
3,2:55.0,,M. Harrell misses 2-pt layup from 2 ft,85,80
3,2:54.0,,Offensive rebound by M. Harrell,85,80
3,2:54.0,,Shooting foul by R. McGruder (drawn by M. Harrell),85,80
3,2:54.0,Miami full timeout,,85,80
3,2:54.0,,M. Harrell misses free throw 1 of 2,85,80
3,2:54.0,,Offensive rebound by Team,85,80
3,2:54.0,,M. Harrell makes free throw 2 of 2,85,81
3,2:35.0,D. Jones misses 3-pt jump shot from 28 ft,,85,81
3,2:32.0,,Defensive rebound by M. Harrell,85,81
3,2:23.0,,M. Harrell makes 2-pt layup from 4 ft (assist by P. Beverley),85,83
3,2:09.0,D. Wade misses 2-pt jump shot from 15 ft,,85,83
3,2:07.0,,Defensive rebound by M. Scott,85,83
3,1:57.0,,T. Harris makes 2-pt jump shot from 16 ft,85,85
3,1:41.0,D. Wade misses 2-pt layup from 3 ft (block by M. Harrell),,85,85
3,1:41.0,,Defensive rebound by P. Beverley,85,85
3,1:34.0,,M. Scott makes 3-pt jump shot from 23 ft (assist by L. Williams),85,88
3,1:12.0,Personal foul by M. Harrell (drawn by B. Adebayo),,85,88
3,1:03.0,Turnover by R. McGruder (traveling),,85,88
3,0:55.0,,M. Harrell misses 2-pt jump shot from 12 ft,85,88
3,0:52.0,Defensive rebound by J. Johnson,,85,88
3,0:46.0,Shooting foul by M. Scott (drawn by D. Wade),,85,88
3,0:46.0,D. Wade makes free throw 1 of 2,,86,88
3,0:46.0,D. Wade makes free throw 2 of 2,,87,88
3,0:43.0,,L. Williams makes 2-pt jump shot from 11 ft,87,90
3,0:28.0,B. Adebayo misses 2-pt jump shot from 3 ft,,87,90
3,0:28.0,Offensive rebound by B. Adebayo,,87,90
3,0:28.0,B. Adebayo makes 2-pt layup from 1 ft,,89,90
3,0:10.0,,T. Harris misses 3-pt jump shot from 26 ft,89,90
3,0:06.0,Defensive rebound by J. Johnson,,89,90
3,0:02.0,J. Johnson makes 2-pt layup from 2 ft,,91,90
4,11:43.0,,P. Beverley misses 3-pt jump shot from 27 ft,91,90
4,11:39.0,Defensive rebound by B. Adebayo,,91,90
4,11:25.0,D. Jones makes 2-pt layup from 2 ft (assist by D. Wade),,93,90
4,11:11.0,,M. Scott misses 3-pt jump shot from 25 ft,93,90
4,11:07.0,Defensive rebound by B. Adebayo,,93,90
4,10:55.0,K. Olynyk misses 3-pt jump shot from 23 ft,,93,90
4,10:55.0,Offensive rebound by D. Jones,,93,90
4,10:55.0,Shooting foul by M. Harrell (drawn by D. Jones),,93,90
4,10:55.0,D. Jones misses free throw 1 of 2,,93,90
4,10:55.0,Offensive rebound by Team,,93,90
