QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
4,1:30.0,,New Orleans full timeout,95,87
4,1:30.0,B. Brown enters the game for Z. Pachulia,,95,87
4,1:30.0,,F. Jackson enters the game for J. Okafor,95,87
4,1:26.0,,J. Holiday makes 2-pt layup from 3 ft,95,89
4,1:06.0,R. Bullock misses 3-pt jump shot from 27 ft,,95,89
4,1:06.0,,Defensive rebound by J. Randle,95,89
4,0:52.0,,D. Miller makes 3-pt jump shot from 27 ft,95,92
4,0:29.0,B. Griffin misses 3-pt jump shot from 28 ft,,95,92
4,0:25.0,,Defensive rebound by F. Jackson,95,92
4,0:20.0,,F. Jackson misses 3-pt jump shot from 25 ft,95,92
4,0:15.0,Defensive rebound by R. Bullock,,95,92
4,0:14.0,R. Bullock makes 2-pt dunk from 1 ft,,97,92
4,0:14.0,,New Orleans full timeout,97,92
4,0:12.0,,D. Miller misses 3-pt jump shot from 24 ft,97,92
4,0:08.0,Defensive rebound by B. Brown,,97,92
4,0:08.0,Personal take foul by J. Holiday (drawn by B. Brown),,97,92
4,0:08.0,B. Brown misses free throw 1 of 2,,97,92
4,0:08.0,Offensive rebound by Team,,97,92
4,0:08.0,B. Brown makes free throw 2 of 2,,98,92
4,0:03.0,,F. Jackson makes 2-pt layup from 1 ft (assist by J. Holiday),98,94
