QUARTER,TIME_REMAINING,UTAH_ACTION,INDIANA_ACTION,UTAH_SCORE,INDIANA_SCORE
4,1:25.0,,Turnover by T. Leaf (lost ball; steal by R. Neto),90,117
4,1:20.0,R. Neto misses 3-pt jump shot from 23 ft,,90,117
4,1:18.0,Offensive rebound by T. Sefolosha,,90,117
4,1:14.0,G. Allen misses 3-pt jump shot from 28 ft,,90,117
4,1:14.0,Offensive rebound by Team,,90,117
4,1:03.0,E. Udoh makes 2-pt dunk from 1 ft (assist by R. Neto),,92,117
4,0:55.0,,T. Leaf makes 2-pt layup at rim,92,119
4,0:50.0,Turnover by G. Allen (step out of bounds),,92,119
4,0:35.0,,K. O'Quinn misses 2-pt layup from 5 ft (block by E. Udoh),92,119
4,0:34.0,Defensive rebound by D. Exum,,92,119
4,0:34.0,Personal foul by K. O'Quinn (drawn by D. Exum),,92,119
4,0:34.0,D. Exum makes free throw 1 of 2,,93,119
4,0:34.0,D. Exum makes free throw 2 of 2,,94,119
4,0:26.0,,D. McDermott makes 2-pt layup from 2 ft (assist by K. O'Quinn),94,121
4,0:13.0,D. Exum misses 2-pt layup from 2 ft,,94,121
4,0:10.0,,Defensive rebound by A. Holiday,94,121
