QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
4,1:31.0,Personal foul by E. Fournier (drawn by B. Simmons),,104,106
4,1:20.0,J. Embiid misses 3-pt jump shot from 25 ft,,104,106
4,1:18.0,,Defensive rebound by N. Vučević,104,106
4,1:02.0,,E. Fournier misses 3-pt jump shot from 30 ft,104,106
4,1:02.0,Defensive rebound by Team,,104,106
4,0:52.0,Personal foul by A. Gordon (drawn by B. Simmons),,104,106
4,0:52.0,B. Simmons makes free throw 1 of 2,,105,106
4,0:52.0,B. Simmons makes free throw 2 of 2,,106,106
4,0:37.0,,Turnover by E. Fournier (traveling),106,106
4,0:30.0,Offensive foul by J. Redick (drawn by D. Augustin),,106,106
4,0:30.0,Turnover by J. Redick (offensive foul),,106,106
4,0:08.0,,T. Ross makes 3-pt jump shot from 27 ft,106,109
4,0:08.0,Philadelphia full timeout,,106,109
4,0:08.0,,W. Iwundu enters the game for D. Augustin,106,109
4,0:08.0,,J. Simmons enters the game for T. Ross,106,109
4,0:06.0,Turnover by J. Redick (step out of bounds),,106,109
4,0:06.0,,Orlando full timeout,106,109
4,0:06.0,L. Shamet enters the game for M. Muscala,,106,109
4,0:06.0,,D. Augustin enters the game for W. Iwundu,106,109
4,0:06.0,,T. Ross enters the game for J. Simmons,106,109
4,0:05.0,,Personal foul by B. Simmons (drawn by N. Vučević),106,109
4,0:05.0,,N. Vučević makes free throw 1 of 2,106,110
4,0:05.0,,W. Iwundu enters the game for D. Augustin,106,110
4,0:05.0,,J. Simmons enters the game for T. Ross,106,110
4,0:05.0,,N. Vučević makes free throw 2 of 2,106,111
4,0:05.0,Philadelphia full timeout,,106,111
4,0:05.0,,M. Bamba enters the game for N. Vučević,106,111
4,0:03.0,J. Butler misses 2-pt jump shot from 20 ft,,106,111
4,0:03.0,,Defensive rebound by W. Iwundu,106,111
