QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
2,7:33.0,E. Okobo misses 2-pt jump shot from 13 ft,,35,44
2,7:30.0,,Defensive rebound by K. Williams,35,44
2,7:22.0,,Personal foul by M. Bridges (drawn by A. Davis),35,44
2,7:14.0,,T. Frazier misses 2-pt layup from 2 ft (block by E. Okobo),35,44
2,7:13.0,Defensive rebound by E. Okobo,,35,44
2,7:13.0,Personal foul by K. Williams (drawn by E. Okobo),,35,44
2,7:13.0,E. Okobo makes free throw 1 of 2,,36,44
2,7:13.0,E. Okobo makes free throw 2 of 2,,37,44
2,7:13.0,,E. Moore enters the game for K. Williams,37,44
2,6:58.0,,Turnover by I. Clark (bad pass; steal by M. Bridges),37,44
2,6:56.0,Turnover by M. Bridges (out of bounds lost ball),,37,44
2,6:56.0,,New Orleans full timeout,37,44
2,6:56.0,I. Canaan enters the game for E. Okobo,,37,44
2,6:39.0,,A. Davis makes 2-pt jump shot from 4 ft (assist by I. Clark),37,46
2,6:16.0,T. Warren misses 3-pt jump shot from 25 ft,,37,46
2,6:15.0,,Defensive rebound by Team,37,46
2,5:59.0,,A. Davis misses 2-pt jump shot from 16 ft,37,46
2,5:57.0,Defensive rebound by Team,,37,46
2,5:41.0,M. Bridges makes 2-pt jump shot from 10 ft,,39,46
2,5:27.0,,W. Johnson misses 2-pt jump shot from 19 ft,39,46
2,5:27.0,,Offensive rebound by A. Davis,39,46
2,5:23.0,Loose ball foul by R. Holmes (drawn by A. Davis),,39,46
2,5:23.0,D. Ayton enters the game for R. Holmes,,39,46
2,5:23.0,,J. Holiday enters the game for I. Clark,39,46
2,5:23.0,,J. Randle enters the game for T. Frazier,39,46
2,5:20.0,,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),39,48
2,5:03.0,,Violation by Team (kicked ball),39,48
2,4:53.0,D. Ayton misses 2-pt layup from 3 ft,,39,48
2,4:48.0,Offensive rebound by D. Ayton,,39,48
2,4:47.0,D. Ayton makes 2-pt layup from 3 ft,,41,48
2,4:43.0,,E. Moore misses 3-pt jump shot from 25 ft,41,48
2,4:43.0,,Offensive rebound by A. Davis,41,48
2,4:43.0,,Shooting foul by D. Ayton (drawn by A. Davis),41,48
2,4:43.0,,A. Davis makes free throw 1 of 2,41,49
2,4:43.0,D. Booker enters the game for M. Bridges,,41,49
2,4:43.0,,A. Davis makes free throw 2 of 2,41,50
2,4:21.0,J. Crawford misses 3-pt jump shot from 27 ft,,41,50
2,4:18.0,,Defensive rebound by Team,41,50
2,4:07.0,,E. Moore makes 2-pt layup from 2 ft,41,52
2,4:07.0,Phoenix full timeout,,41,52
2,4:07.0,T. Ariza enters the game for J. Crawford,,41,52
2,3:53.0,D. Booker misses 2-pt layup from 4 ft,,41,52
2,3:47.0,Offensive rebound by D. Ayton,,41,52
2,3:47.0,D. Ayton makes 2-pt layup at rim,,43,52
2,3:36.0,,W. Johnson makes 2-pt jump shot from 18 ft (assist by A. Davis),43,54
2,3:21.0,T. Warren makes 3-pt jump shot from 23 ft (assist by I. Canaan),,46,54
2,3:09.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Davis),46,57
2,2:58.0,D. Ayton makes 2-pt jump shot from 10 ft (assist by I. Canaan),,48,57
2,2:44.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by J. Holiday),48,59
2,2:21.0,D. Ayton misses 2-pt layup from 2 ft (block by A. Davis),,48,59
2,2:18.0,Offensive rebound by D. Ayton,,48,59
2,2:15.0,I. Canaan misses 2-pt layup from 2 ft (block by E. Moore),,48,59
2,2:15.0,Offensive rebound by I. Canaan,,48,59
2,2:15.0,Turnover by Team (shot clock),,48,59
2,1:55.0,,J. Holiday misses 3-pt jump shot from 26 ft,48,59
2,1:49.0,Defensive rebound by T. Ariza,,48,59
2,1:41.0,T. Ariza misses 3-pt jump shot from 26 ft,,48,59
2,1:38.0,,Defensive rebound by J. Randle,48,59
2,1:26.0,,J. Randle makes 2-pt layup from 3 ft,48,61
2,1:11.0,Shooting foul by W. Johnson (drawn by D. Ayton),,48,61
2,1:11.0,D. Ayton makes free throw 1 of 2,,49,61
2,1:11.0,M. Bridges enters the game for I. Canaan,,49,61
2,1:11.0,D. Ayton makes free throw 2 of 2,,50,61
2,1:00.0,,J. Holiday misses 3-pt jump shot from 26 ft,50,61
2,0:58.0,Defensive rebound by D. Ayton,,50,61
2,0:48.0,M. Bridges misses 3-pt jump shot from 24 ft,,50,61
2,0:45.0,Offensive rebound by D. Ayton,,50,61
2,0:42.0,T. Warren makes 3-pt jump shot from 25 ft (assist by D. Booker),,53,61
2,0:30.0,,A. Davis misses 2-pt jump shot from 12 ft,53,61
2,0:26.0,Defensive rebound by T. Ariza,,53,61
2,0:15.0,M. Bridges misses 3-pt jump shot from 24 ft (block by J. Holiday),,53,61
2,0:11.0,,Defensive rebound by A. Davis,53,61
2,0:00.0,,A. Davis misses 3-pt jump shot from 30 ft,53,61
2,0:00.0,,Offensive rebound by Team,53,61
3,11:45.0,T. Ariza misses 3-pt jump shot from 26 ft,,53,61
3,11:42.0,,Defensive rebound by J. Holiday,53,61
3,11:38.0,,J. Randle misses 2-pt layup from 3 ft,53,61
3,11:38.0,,Offensive rebound by J. Randle,53,61
3,11:38.0,,Shooting foul by T. Ariza (drawn by J. Randle),53,61
3,11:38.0,,J. Randle makes free throw 1 of 2,53,62
3,11:38.0,,J. Randle makes free throw 2 of 2,53,63
3,11:26.0,Shooting foul by W. Johnson (drawn by T. Ariza),,53,63
3,11:26.0,T. Ariza makes free throw 1 of 3,,54,63
3,11:26.0,T. Ariza makes free throw 2 of 3,,55,63
3,11:26.0,T. Ariza misses free throw 3 of 3,,55,63
3,11:23.0,,Defensive rebound by W. Johnson,55,63
3,11:15.0,,J. Holiday misses 2-pt jump shot from 8 ft (block by T. Warren),55,63
3,11:15.0,,Offensive rebound by Team,55,63
3,11:08.0,,Shooting foul by T. Warren (drawn by J. Holiday),55,63
3,11:08.0,,J. Holiday makes free throw 1 of 2,55,64
3,11:08.0,,J. Holiday misses free throw 2 of 2,55,64
3,11:05.0,Defensive rebound by D. Ayton,,55,64
3,10:50.0,I. Canaan misses 2-pt layup from 2 ft,,55,64
3,10:46.0,,Defensive rebound by A. Davis,55,64
3,10:38.0,,Shooting foul by D. Booker (drawn by W. Johnson),55,64
3,10:38.0,,W. Johnson makes free throw 1 of 2,55,65
3,10:38.0,,W. Johnson makes free throw 2 of 2,55,66
3,10:19.0,I. Canaan makes 3-pt jump shot from 26 ft (assist by D. Ayton),,58,66
3,9:55.0,,J. Randle misses 2-pt hook shot from 6 ft,58,66
3,9:53.0,,Offensive rebound by J. Holiday,58,66
3,9:46.0,,J. Holiday makes 2-pt jump shot from 13 ft,58,68
3,9:27.0,Turnover by D. Booker (lost ball; steal by J. Holiday),,58,68
3,9:16.0,,J. Randle makes 2-pt layup from 3 ft (assist by J. Holiday),58,70
3,8:59.0,D. Ayton misses 2-pt hook shot from 7 ft,,58,70
3,8:57.0,,Defensive rebound by A. Davis,58,70
3,8:48.0,,J. Randle misses 2-pt layup from 3 ft,58,70
3,8:46.0,Defensive rebound by D. Ayton,,58,70
3,8:42.0,D. Booker misses 2-pt jump shot from 17 ft,,58,70
3,8:37.0,,Defensive rebound by J. Holiday,58,70
3,8:35.0,,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),58,72
3,8:35.0,Phoenix full timeout,,58,72
3,8:17.0,D. Booker misses 2-pt jump shot from 13 ft,,58,72
3,8:11.0,Offensive rebound by D. Ayton,,58,72
3,8:11.0,D. Ayton makes 2-pt dunk from 1 ft,,60,72
3,7:59.0,,Offensive foul by A. Davis (drawn by T. Ariza),60,72
3,7:59.0,,Turnover by A. Davis (offensive foul),60,72
3,7:40.0,T. Warren misses 2-pt jump shot from 11 ft,,60,72
3,7:37.0,,Defensive rebound by A. Davis,60,72
3,7:36.0,,W. Johnson makes 2-pt dunk from 1 ft (assist by J. Holiday),60,74
3,7:34.0,,Violation by Team (delay of game),60,74
3,7:18.0,T. Ariza makes 2-pt layup from 2 ft,,62,74
3,7:02.0,,W. Johnson makes 3-pt jump shot from 24 ft (assist by J. Holiday),62,77
3,6:36.0,I. Canaan misses 2-pt jump shot from 11 ft (block by J. Randle),,62,77
3,6:35.0,Offensive rebound by Team,,62,77
3,6:35.0,Turnover by Team (shot clock),,62,77
3,6:28.0,,Personal foul by T. Ariza (drawn by A. Davis),62,77
3,6:22.0,,E. Moore makes 2-pt jump shot from 6 ft,62,79
3,6:11.0,D. Ayton makes 2-pt hook shot from 9 ft (assist by I. Canaan),,64,79
3,5:51.0,,J. Holiday makes 3-pt jump shot from 25 ft,64,82
3,5:39.0,Turnover by D. Booker (bad pass; steal by J. Holiday),,64,82
3,5:34.0,,A. Davis misses 2-pt layup from 2 ft,64,82
3,5:33.0,Defensive rebound by Team,,64,82
3,5:33.0,,C. Diallo enters the game for E. Moore,64,82
3,5:33.0,,D. Miller enters the game for J. Randle,64,82
3,5:23.0,T. Warren makes 3-pt jump shot from 26 ft,,67,82
3,5:07.0,,J. Holiday misses 2-pt layup from 2 ft,67,82
3,5:05.0,Defensive rebound by T. Warren,,67,82
3,4:59.0,I. Canaan misses 3-pt jump shot from 27 ft,,67,82
3,4:57.0,Offensive rebound by D. Ayton,,67,82
3,4:56.0,D. Ayton makes 2-pt jump shot from 1 ft,,69,82
3,4:47.0,,A. Davis misses 3-pt jump shot from 26 ft,69,82
3,4:47.0,Defensive rebound by I. Canaan,,69,82
3,4:25.0,T. Warren misses 3-pt jump shot from 28 ft,,69,82
3,4:25.0,,Defensive rebound by A. Davis,69,82
3,4:15.0,,Turnover by J. Holiday (bad pass; steal by D. Ayton),69,82
3,4:08.0,D. Booker misses 3-pt jump shot from 25 ft,,69,82
