QUARTER,TIME_REMAINING,NEW YORK_ACTION,MEMPHIS_ACTION,NEW YORK_SCORE,MEMPHIS_SCORE
4,5:01.0,T. Hardaway misses 2-pt layup from 1 ft (block by G. Temple),,89,87
4,4:58.0,,Defensive rebound by M. Gasol,89,87
4,4:39.0,,M. Conley makes 2-pt jump shot from 18 ft,89,89
4,4:14.0,Personal foul by J. Jackson (drawn by N. Vonleh),,89,89
4,4:07.0,T. Burke misses 2-pt jump shot from 20 ft,,89,89
4,4:03.0,,Defensive rebound by M. Conley,89,89
4,3:49.0,,M. Conley misses 3-pt jump shot from 25 ft,89,89
4,3:46.0,Defensive rebound by T. Hardaway,,89,89
4,3:32.0,N. Vonleh misses 2-pt hook shot from 5 ft,,89,89
4,3:30.0,,Defensive rebound by M. Gasol,89,89
4,3:30.0,,Personal foul by E. Mudiay (drawn by M. Conley),89,89
4,3:30.0,,M. Conley makes free throw 1 of 2,89,90
4,3:30.0,,M. Conley makes free throw 2 of 2,89,91
4,3:21.0,Personal foul by G. Temple (drawn by T. Hardaway),,89,91
4,3:11.0,Personal foul by M. Gasol (drawn by E. Freedom),,89,91
4,2:58.0,E. Mudiay misses 2-pt layup from 2 ft (block by J. Jackson),,89,91
4,2:57.0,Offensive rebound by Team,,89,91
4,2:57.0,Turnover by Team (shot clock),,89,91
4,2:57.0,,Memphis full timeout,89,91
4,2:37.0,,M. Conley misses 3-pt jump shot from 26 ft,89,91
4,2:34.0,Defensive rebound by E. Freedom,,89,91
4,2:20.0,T. Hardaway makes 3-pt jump shot from 24 ft,,92,91
4,1:56.0,,M. Conley makes 2-pt jump shot from 10 ft,92,93
4,1:49.0,Personal foul by M. Conley (drawn by T. Burke),,92,93
4,1:49.0,T. Burke makes free throw 1 of 2,,93,93
4,1:49.0,T. Burke makes free throw 2 of 2,,94,93
4,1:37.0,,Turnover by G. Temple (bad pass; steal by T. Burke),94,93
4,1:35.0,E. Mudiay makes 2-pt dunk at rim (assist by T. Burke),,96,93
4,1:35.0,Shooting foul by G. Temple (drawn by E. Mudiay),,96,93
4,1:35.0,,S. Mack enters the game for G. Temple,96,93
4,1:35.0,E. Mudiay makes free throw 1 of 1,,97,93
4,1:17.0,,M. Conley misses 2-pt layup from 4 ft (block by T. Burke),97,93
4,1:17.0,Defensive rebound by Team,,97,93
4,1:00.0,New York full timeout,,97,93
4,0:54.0,T. Burke misses 2-pt jump shot from 14 ft,,97,93
4,0:52.0,,Defensive rebound by J. Jackson,97,93
4,0:35.0,,S. Mack misses 3-pt jump shot from 25 ft (block by N. Vonleh),97,93
4,0:32.0,Defensive rebound by E. Freedom,,97,93
4,0:29.0,Personal take foul by S. Mack (drawn by E. Mudiay),,97,93
4,0:29.0,E. Mudiay makes free throw 1 of 2,,98,93
4,0:29.0,E. Mudiay makes free throw 2 of 2,,99,93
4,0:29.0,,Memphis full timeout,99,93
4,0:29.0,F. Ntilikina enters the game for E. Freedom,,99,93
4,0:27.0,,M. Conley misses 3-pt jump shot from 27 ft,99,93
4,0:24.0,,Offensive rebound by M. Gasol,99,93
4,0:23.0,,M. Gasol makes 2-pt layup at rim,99,95
4,0:23.0,Violation by Team (def goaltending),,99,95
4,0:20.0,New York full timeout,,99,95
4,0:19.0,Personal take foul by J. Jackson (drawn by T. Burke),,99,95
4,0:19.0,T. Burke makes free throw 1 of 2,,100,95
4,0:19.0,T. Burke makes free throw 2 of 2,,101,95
4,0:11.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by M. Gasol),101,98
4,0:10.0,Personal take foul by J. Jackson (drawn by F. Ntilikina),,101,98
4,0:10.0,F. Ntilikina makes free throw 1 of 2,,102,98
4,0:10.0,F. Ntilikina makes free throw 2 of 2,,103,98
4,0:02.0,,M. Gasol misses 3-pt jump shot from 27 ft,103,98
4,0:02.0,Defensive rebound by F. Ntilikina,,103,98
