QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
2,5:55.0,K. Walker makes 2-pt layup from 2 ft (assist by M. Williams),,33,29
2,5:55.0,,Violation by Team (def goaltending),33,29
2,5:35.0,,K. Olynyk misses 3-pt jump shot from 23 ft,33,29
2,5:33.0,Defensive rebound by N. Batum,,33,29
2,5:22.0,J. Lamb makes 2-pt jump shot from 18 ft,,35,29
2,5:07.0,,Turnover by B. Adebayo (lost ball; steal by J. Lamb),35,29
2,5:00.0,N. Batum misses 3-pt jump shot from 26 ft,,35,29
2,4:53.0,,Defensive rebound by D. Waiters,35,29
2,4:50.0,,Offensive foul by K. Olynyk (drawn by K. Walker),35,29
2,4:50.0,,Turnover by K. Olynyk (offensive foul),35,29
2,4:25.0,B. Biyombo misses 2-pt hook shot from 5 ft,,35,29
2,4:23.0,Offensive rebound by B. Biyombo,,35,29
2,4:21.0,B. Biyombo makes 2-pt hook shot from 6 ft,,37,29
2,4:21.0,,D. Jones enters the game for G. Dragić,37,29
2,4:21.0,,J. Richardson enters the game for R. McGruder,37,29
2,4:21.0,,Miami full timeout,37,29
2,4:02.0,,Personal foul by N. Batum (drawn by J. Richardson),37,29
2,4:02.0,,J. Richardson makes free throw 1 of 2,37,30
2,4:02.0,,J. Richardson makes free throw 2 of 2,37,31
2,3:45.0,M. Williams misses 2-pt jump shot from 13 ft,,37,31
2,3:42.0,,Defensive rebound by D. Jones,37,31
2,3:29.0,,D. Jones makes 2-pt jump shot from 2 ft,37,33
2,3:15.0,K. Walker misses 2-pt jump shot from 13 ft,,37,33
2,3:14.0,Offensive rebound by K. Walker,,37,33
2,3:13.0,,Violation by Team (kicked ball),37,33
2,3:04.0,M. Williams misses 2-pt layup from 2 ft (block by B. Adebayo),,37,33
2,3:01.0,,Defensive rebound by K. Olynyk,37,33
2,2:56.0,,J. Richardson misses 3-pt jump shot from 25 ft,37,33
2,2:54.0,Defensive rebound by K. Walker,,37,33
2,2:50.0,K. Walker misses 2-pt layup from 1 ft,,37,33
2,2:48.0,,Defensive rebound by D. Jones,37,33
2,2:38.0,,Shooting foul by M. Williams (drawn by D. Jones),37,33
2,2:38.0,,D. Jones misses free throw 1 of 2,37,33
2,2:38.0,,Offensive rebound by Team,37,33
2,2:38.0,F. Kaminsky enters the game for B. Biyombo,,37,33
2,2:38.0,,D. Jones misses free throw 2 of 2,37,33
2,2:35.0,Defensive rebound by M. Williams,,37,33
2,2:25.0,N. Batum misses 3-pt jump shot from 23 ft,,37,33
2,2:22.0,Offensive rebound by J. Lamb,,37,33
2,2:20.0,K. Walker misses 3-pt jump shot from 26 ft,,37,33
2,2:20.0,Offensive rebound by M. Williams,,37,33
2,2:16.0,Turnover by M. Williams (bad pass; steal by D. Jones),,37,33
2,2:14.0,,Turnover by D. Jones (lost ball; steal by J. Lamb),37,33
2,2:04.0,F. Kaminsky makes 2-pt jump shot from 10 ft (assist by K. Walker),,39,33
2,1:46.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by D. Waiters),39,35
2,1:46.0,,Violation by Team (delay of game),39,35
2,1:26.0,M. Williams misses 3-pt jump shot from 24 ft,,39,35
2,1:25.0,,Defensive rebound by Team,39,35
2,1:25.0,D. Bacon enters the game for M. Williams,,39,35
2,1:25.0,,D. Wade enters the game for D. Waiters,39,35
2,1:06.0,,J. Richardson misses 2-pt jump shot from 11 ft,39,35
2,1:03.0,Defensive rebound by J. Lamb,,39,35
2,0:52.0,Offensive foul by F. Kaminsky (drawn by K. Olynyk),,39,35
2,0:52.0,Turnover by F. Kaminsky (offensive foul),,39,35
2,0:33.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Olynyk),39,37
2,0:07.0,J. Lamb misses 3-pt jump shot from 25 ft,,39,37
2,0:05.0,,Defensive rebound by J. Richardson,39,37
2,0:00.0,,Shooting foul by D. Bacon (drawn by K. Olynyk),39,37
2,0:00.0,,K. Olynyk misses free throw 1 of 3,39,37
2,0:00.0,,Offensive rebound by Team,39,37
2,0:00.0,,K. Olynyk makes free throw 2 of 3,39,38
2,0:00.0,,K. Olynyk makes free throw 3 of 3,39,39
3,11:49.0,K. Walker misses 2-pt layup from 2 ft,,39,39
3,11:48.0,,Defensive rebound by B. Adebayo,39,39
3,11:40.0,,D. Jones misses 2-pt layup from 2 ft (block by B. Biyombo),39,39
3,11:40.0,,Offensive rebound by Team,39,39
3,11:23.0,,K. Olynyk misses 2-pt layup from 2 ft,39,39
3,11:22.0,,Offensive rebound by K. Olynyk,39,39
3,11:06.0,,J. Richardson makes 2-pt jump shot from 19 ft (assist by D. Waiters),39,41
3,10:53.0,M. Bridges misses 3-pt jump shot from 24 ft,,39,41
3,10:52.0,Offensive rebound by B. Biyombo,,39,41
3,10:52.0,Personal foul by D. Jones (drawn by B. Biyombo),,39,41
3,10:40.0,K. Walker misses 2-pt jump shot from 19 ft,,39,41
3,10:39.0,Offensive rebound by Team,,39,41
3,10:38.0,Turnover by Team (shot clock),,39,41
3,10:31.0,,Offensive foul by K. Olynyk (drawn by K. Walker),39,41
3,10:31.0,,Turnover by K. Olynyk (offensive foul),39,41
3,10:20.0,Offensive foul by B. Biyombo (drawn by B. Adebayo),,39,41
3,10:20.0,Turnover by B. Biyombo (offensive foul),,39,41
3,10:11.0,,J. Richardson misses 3-pt jump shot from 25 ft,39,41
3,10:10.0,Defensive rebound by Team,,39,41
3,9:53.0,Shooting foul by J. Richardson (drawn by N. Batum),,39,41
3,9:53.0,N. Batum makes free throw 1 of 3,,40,41
3,9:53.0,N. Batum makes free throw 2 of 3,,41,41
3,9:53.0,N. Batum makes free throw 3 of 3,,42,41
3,9:38.0,,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Richardson),42,44
3,9:25.0,N. Batum misses 3-pt jump shot from 25 ft,,42,44
3,9:23.0,,Defensive rebound by K. Olynyk,42,44
3,9:11.0,,Shooting foul by B. Biyombo (drawn by J. Richardson),42,44
3,9:11.0,,J. Richardson misses free throw 1 of 2,42,44
3,9:11.0,,Offensive rebound by Team,42,44
3,9:11.0,F. Kaminsky enters the game for B. Biyombo,,42,44
3,9:11.0,,J. Richardson makes free throw 2 of 2,42,45
3,9:01.0,N. Batum makes 2-pt layup from 2 ft,,44,45
3,9:01.0,,Violation by Team (def goaltending),44,45
3,8:47.0,,K. Olynyk misses 3-pt jump shot from 26 ft,44,45
3,8:46.0,Defensive rebound by N. Batum,,44,45
3,8:43.0,Turnover by N. Batum (bad pass),,44,45
3,8:28.0,,J. Richardson makes 2-pt jump shot from 10 ft (assist by D. Waiters),44,47
3,8:02.0,K. Walker makes 3-pt jump shot from 25 ft,,47,47
3,7:39.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by J. Richardson),47,50
