QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
4,5:17.0,,Defensive rebound by S. Mejri,98,95
4,5:05.0,,L. Dončić misses 2-pt jump shot from 18 ft,98,95
4,5:02.0,Defensive rebound by J. Okogie,,98,95
4,4:55.0,K. Towns misses 2-pt jump shot from 20 ft,,98,95
4,4:51.0,,Defensive rebound by D. Powell,98,95
4,4:41.0,,J. Brunson makes 2-pt layup from 2 ft,98,97
4,4:41.0,Minnesota full timeout,,98,97
4,4:23.0,Shooting foul by D. Powell (drawn by K. Towns),,98,97
4,4:23.0,K. Towns misses free throw 1 of 2,,98,97
4,4:23.0,Offensive rebound by Team,,98,97
4,4:23.0,K. Towns makes free throw 2 of 2,,99,97
4,4:03.0,,S. Mejri makes 2-pt dunk at rim (assist by D. Powell),99,99
4,3:46.0,K. Towns makes 2-pt jump shot from 17 ft (assist by A. Wiggins),,101,99
4,3:24.0,,J. Brunson misses 3-pt jump shot from 26 ft,101,99
4,3:19.0,,Offensive rebound by S. Mejri,101,99
4,3:19.0,,S. Mejri makes 2-pt dunk at rim,101,101
4,3:07.0,Offensive foul by K. Towns (drawn by D. Powell),,101,101
4,3:07.0,Turnover by K. Towns (offensive foul),,101,101
4,2:45.0,,L. Dončić makes 3-pt jump shot from 26 ft,101,104
4,2:24.0,A. Wiggins misses 3-pt jump shot from 27 ft,,101,104
4,2:23.0,,Defensive rebound by Team,101,104
4,2:09.0,,J. Brunson misses 2-pt jump shot from 18 ft,101,104
4,2:06.0,Defensive rebound by A. Wiggins,,101,104
4,2:01.0,A. Wiggins makes 2-pt jump shot from 13 ft,,103,104
4,2:01.0,Shooting foul by J. Brunson (drawn by A. Wiggins),,103,104
4,2:01.0,A. Wiggins makes free throw 1 of 1,,104,104
4,1:47.0,,S. Mejri misses 3-pt jump shot from 23 ft,104,104
4,1:43.0,,Offensive rebound by L. Dončić,104,104
4,1:41.0,,J. Jackson misses 3-pt jump shot from 23 ft,104,104
4,1:37.0,,Offensive rebound by L. Dončić,104,104
4,1:34.0,,L. Dončić makes 2-pt jump shot from 4 ft,104,106
4,1:18.0,K. Towns makes 2-pt jump shot from 19 ft (assist by T. Jones),,106,106
4,1:05.0,,L. Dončić misses 3-pt jump shot from 25 ft,106,106
4,1:01.0,Defensive rebound by A. Wiggins,,106,106
4,0:48.0,K. Towns makes 2-pt layup from 2 ft,,108,106
4,0:48.0,,Dallas full timeout,108,106
4,0:48.0,,M. Kleber enters the game for S. Mejri,108,106
4,0:40.0,,J. Brunson makes 2-pt layup from 1 ft (assist by J. Jackson),108,108
4,0:19.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Okogie),,110,108
4,0:19.0,,Dallas full timeout,110,108
4,0:19.0,G. Dieng enters the game for K. Towns,,110,108
4,0:10.0,,Personal foul by J. Okogie (drawn by L. Dončić),110,108
4,0:00.0,,J. Brunson misses 3-pt jump shot from 25 ft,110,108
4,0:00.0,,Offensive rebound by Team,110,108
