QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
4,4:53.0,,D. White makes 2-pt jump shot from 9 ft,102,103
4,4:37.0,K. Huerter misses 2-pt jump shot from 12 ft,,102,103
4,4:37.0,,Defensive rebound by L. Aldridge,102,103
4,4:23.0,,D. White makes 2-pt layup from 1 ft (assist by D. DeRozan),102,105
4,4:05.0,D. Davis makes 2-pt dunk from 1 ft (assist by T. Young),,104,105
4,3:39.0,,M. Belinelli makes 3-pt jump shot from 32 ft,104,108
4,3:37.0,Atlanta full timeout,,104,108
4,3:37.0,K. Bazemore enters the game for D. Bembry,,104,108
4,3:26.0,K. Bazemore misses 2-pt jump shot from 9 ft,,104,108
4,3:24.0,,Defensive rebound by M. Belinelli,104,108
4,3:04.0,,M. Belinelli misses 3-pt jump shot from 33 ft,104,108
4,3:00.0,Defensive rebound by D. Davis,,104,108
4,2:52.0,T. Young makes 2-pt jump shot from 12 ft,,106,108
4,2:36.0,,D. DeRozan makes 2-pt layup from 1 ft,106,110
4,2:26.0,T. Young misses 3-pt jump shot from 32 ft,,106,110
4,2:22.0,,Defensive rebound by D. White,106,110
4,2:11.0,,D. White makes 2-pt layup from 1 ft,106,112
4,1:53.0,K. Bazemore misses 2-pt layup from 1 ft,,106,112
4,1:53.0,Offensive rebound by D. Davis,,106,112
4,1:53.0,Shooting foul by D. DeRozan (drawn by D. Davis),,106,112
4,1:53.0,D. Davis makes free throw 1 of 2,,107,112
4,1:53.0,J. Adams enters the game for T. Young,,107,112
4,1:53.0,D. Davis misses free throw 2 of 2,,107,112
4,1:53.0,,Defensive rebound by D. DeRozan,107,112
4,1:35.0,,Turnover by D. White (bad pass),107,112
4,1:20.0,Personal foul by D. DeRozan (drawn by V. Carter),,107,112
4,1:20.0,V. Carter makes free throw 1 of 2,,108,112
4,1:20.0,J. Anderson enters the game for K. Huerter,,108,112
4,1:20.0,,P. Mills enters the game for D. DeRozan,108,112
4,1:20.0,V. Carter makes free throw 2 of 2,,109,112
4,1:07.0,,B. Forbes makes 3-pt jump shot from 28 ft (assist by M. Belinelli),109,115
4,0:56.0,D. Davis misses 2-pt jump shot from 3 ft,,109,115
4,0:56.0,,Defensive rebound by Team,109,115
4,0:56.0,D. Bembry enters the game for V. Carter,,109,115
4,0:37.0,,D. White makes 2-pt jump shot from 18 ft,109,117
4,0:36.0,Atlanta full timeout,,109,117
4,0:36.0,V. Carter enters the game for J. Adams,,109,117
4,0:36.0,K. Huerter enters the game for J. Anderson,,109,117
4,0:36.0,T. Young enters the game for D. Bembry,,109,117
4,0:26.0,K. Huerter makes 2-pt jump shot from 6 ft,,111,117
4,0:01.0,,Turnover by Team (shot clock),111,117
