QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
2,4:00.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,55,31
2,3:46.0,,K. Irving misses 3-pt jump shot from 23 ft,55,31
2,3:44.0,Defensive rebound by T. Burke,,55,31
2,3:34.0,E. Freedom makes 2-pt layup from 3 ft (assist by T. Burke),,57,31
2,3:24.0,,Personal foul by T. Hardaway (drawn by G. Hayward),57,31
2,3:24.0,,G. Hayward makes free throw 1 of 2,57,32
2,3:24.0,,G. Hayward makes free throw 2 of 2,57,33
2,3:13.0,T. Burke makes 2-pt jump shot from 15 ft,,59,33
2,2:55.0,,G. Hayward makes 2-pt jump shot from 9 ft,59,35
2,2:44.0,E. Freedom misses 2-pt hook shot from 8 ft,,59,35
2,2:42.0,,Defensive rebound by G. Hayward,59,35
2,2:35.0,,J. Tatum misses 2-pt layup from 5 ft,59,35
2,2:34.0,,Offensive rebound by J. Tatum,59,35
2,2:32.0,,Shooting foul by E. Freedom (drawn by J. Tatum),59,35
2,2:32.0,New York full timeout,,59,35
2,2:32.0,,J. Tatum makes free throw 1 of 2,59,36
2,2:32.0,,J. Tatum misses free throw 2 of 2,59,36
2,2:30.0,,Offensive rebound by M. Morris,59,36
2,2:18.0,,K. Irving makes 2-pt jump shot from 11 ft (assist by A. Horford),59,38
2,1:52.0,T. Burke misses 2-pt jump shot from 16 ft,,59,38
2,1:51.0,Offensive rebound by E. Freedom,,59,38
2,1:49.0,E. Freedom makes 2-pt layup from 2 ft,,61,38
2,1:35.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by G. Hayward),61,40
2,1:35.0,,Away from play foul by T. Hardaway (drawn by G. Hayward),61,40
2,1:35.0,,G. Hayward makes free throw 1 of 1,61,41
2,1:35.0,A. Trier enters the game for T. Burke,,61,41
2,1:25.0,T. Hardaway misses 2-pt jump shot from 12 ft,,61,41
2,1:24.0,Offensive rebound by E. Freedom,,61,41
2,1:24.0,Shooting foul by J. Tatum (drawn by E. Freedom),,61,41
2,1:24.0,E. Freedom makes free throw 1 of 2,,62,41
2,1:24.0,E. Freedom makes free throw 2 of 2,,63,41
2,1:13.0,,G. Hayward makes 2-pt jump shot from 7 ft (assist by K. Irving),63,43
2,1:02.0,Turnover by T. Hardaway (lost ball; steal by G. Hayward),,63,43
2,0:59.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by K. Irving),63,45
2,0:45.0,Turnover by E. Freedom (lost ball; steal by A. Horford),,63,45
2,0:45.0,,Personal foul by A. Trier (drawn by G. Hayward),63,45
2,0:45.0,,G. Hayward makes free throw 1 of 2,63,46
2,0:45.0,,G. Hayward makes free throw 2 of 2,63,47
2,0:28.0,T. Hardaway misses 2-pt layup from 6 ft,,63,47
2,0:27.0,Offensive rebound by E. Freedom,,63,47
2,0:27.0,E. Freedom makes 2-pt layup from 2 ft,,65,47
2,0:10.0,,A. Horford makes 2-pt dunk from 2 ft (assist by K. Irving),65,49
2,0:00.0,E. Mudiay misses 2-pt jump shot from 11 ft,,65,49
2,0:00.0,,Defensive rebound by J. Tatum,65,49
3,11:41.0,E. Mudiay misses 3-pt jump shot from 25 ft,,65,49
3,11:37.0,,Defensive rebound by J. Tatum,65,49
3,11:31.0,,K. Irving misses 2-pt jump shot from 12 ft,65,49
3,11:29.0,Defensive rebound by N. Vonleh,,65,49
3,11:16.0,Turnover by T. Hardaway (bad pass; steal by M. Morris),,65,49
3,11:07.0,,J. Tatum misses 2-pt jump shot from 14 ft,65,49
3,11:06.0,Defensive rebound by E. Mudiay,,65,49
3,10:57.0,T. Hardaway misses 3-pt jump shot from 25 ft,,65,49
