QUARTER,TIME_REMAINING,MIAMI_ACTION,MEMPHIS_ACTION,MIAMI_SCORE,MEMPHIS_SCORE
4,0:55.0,,J. Green misses 2-pt dunk from 1 ft,94,89
4,0:55.0,Defensive rebound by D. Jones,,94,89
4,0:52.0,Turnover by J. Richardson (bad pass; steal by S. Mack),,94,89
4,0:48.0,,J. Green misses 2-pt layup from 2 ft,94,89
4,0:45.0,,Offensive rebound by S. Mack,94,89
4,0:45.0,,S. Mack misses 2-pt layup from 7 ft (block by B. Adebayo),94,89
4,0:45.0,Defensive rebound by B. Adebayo,,94,89
4,0:45.0,Miami full timeout,,94,89
4,0:41.0,D. Jones makes 2-pt layup from 1 ft (assist by J. Richardson),,96,89
4,0:34.0,,M. Conley makes 3-pt jump shot from 25 ft,96,92
4,0:24.0,Personal take foul by J. Green (drawn by D. Jones),,96,92
4,0:22.0,Turnover by B. Adebayo (step out of bounds),,96,92
4,0:22.0,,Memphis full timeout,96,92
4,0:17.0,,M. Conley misses 2-pt layup from 1 ft,96,92
4,0:15.0,Defensive rebound by T. Johnson,,96,92
4,0:14.0,Personal take foul by G. Temple (drawn by K. Olynyk),,96,92
4,0:14.0,K. Olynyk makes free throw 1 of 2,,97,92
4,0:14.0,K. Olynyk makes free throw 2 of 2,,98,92
4,0:07.0,,Shooting foul by T. Johnson (drawn by S. Mack),98,92
4,0:07.0,,S. Mack misses free throw 1 of 3,98,92
4,0:07.0,,Offensive rebound by Team,98,92
4,0:07.0,,S. Mack makes free throw 2 of 3,98,93
4,0:07.0,,S. Mack makes free throw 3 of 3,98,94
4,0:07.0,,Loose ball foul by J. Green (drawn by K. Olynyk),98,94
4,0:07.0,K. Olynyk makes free throw 1 of 2,,99,94
4,0:07.0,K. Olynyk makes free throw 2 of 2,,100,94
4,0:01.0,,M. Gasol makes 3-pt jump shot from 31 ft (assist by S. Mack),100,97
