QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
4,2:19.0,C. Reynolds makes 3-pt jump shot from 26 ft (assist by C. Williams),,102,123
4,2:06.0,,T. Craig misses 2-pt layup from 3 ft (block by G. Dieng),102,123
4,2:03.0,Defensive rebound by G. Dieng,,102,123
4,1:53.0,C. Reynolds makes 3-pt jump shot from 23 ft (assist by C. Williams),,105,123
4,1:38.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by T. Craig),105,126
4,1:24.0,J. Okogie misses 3-pt jump shot from 23 ft,,105,126
4,1:22.0,,Defensive rebound by J. Hernangómez,105,126
4,1:14.0,,T. Welsh makes 2-pt jump shot from 20 ft (assist by J. Vanderbilt),105,128
4,1:02.0,G. Dieng misses 2-pt jump shot from 22 ft,,105,128
4,0:54.0,K. Bates-Diop misses 2-pt layup at rim,,105,128
4,0:54.0,Offensive rebound by K. Bates-Diop,,105,128
4,0:53.0,,Defensive rebound by J. Vanderbilt,105,128
4,0:51.0,,Personal foul by K. Bates-Diop (drawn by J. Vanderbilt),105,128
4,0:51.0,,J. Vanderbilt makes free throw 1 of 2,105,129
4,0:51.0,Violation by J. Okogie (double lane),,105,129
4,0:51.0,,Violation by J. Hernangómez (double lane),105,129
4,0:42.0,,T. Welsh makes 2-pt jump shot from 11 ft (assist by T. Craig),105,131
4,0:30.0,Shooting foul by T. Welsh (drawn by G. Dieng),,105,131
4,0:30.0,G. Dieng makes free throw 1 of 2,,106,131
4,0:30.0,G. Dieng makes free throw 2 of 2,,107,131
4,0:21.0,,J. Vanderbilt makes 2-pt dunk from 1 ft (assist by T. Welsh),107,133
4,0:14.0,J. Okogie misses 2-pt layup from 4 ft,,107,133
4,0:14.0,Offensive rebound by Team,,107,133
4,0:14.0,,Denver full timeout,107,133
4,0:14.0,,M. Morris enters the game for T. Craig,107,133
4,0:12.0,C. Reynolds misses 3-pt jump shot from 23 ft,,107,133
4,0:09.0,Offensive rebound by K. Bates-Diop,,107,133
4,0:08.0,K. Bates-Diop misses 2-pt jump shot from 15 ft,,107,133
4,0:08.0,,Defensive rebound by M. Beasley,107,133
