QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
4,4:10.0,,Shooting foul by M. Bridges (drawn by J. Harden),96,97
4,4:10.0,,J. Harden misses free throw 1 of 2,96,97
4,4:10.0,,Offensive rebound by Team,96,97
4,4:10.0,D. Bender enters the game for D. Booker,,96,97
4,4:10.0,,J. Harden makes free throw 2 of 2,96,98
4,4:10.0,Phoenix full timeout,,96,98
4,4:10.0,D. Booker enters the game for D. Bender,,96,98
4,3:58.0,K. Oubre misses 2-pt jump shot from 9 ft,,96,98
4,3:57.0,Offensive rebound by D. Ayton,,96,98
4,3:53.0,Turnover by D. Ayton (bad pass; steal by P. Tucker),,96,98
4,3:43.0,,J. Harden misses 3-pt jump shot from 23 ft (block by K. Oubre),96,98
4,3:42.0,Defensive rebound by Team,,96,98
4,3:28.0,D. Booker misses 2-pt jump shot from 15 ft,,96,98
4,3:25.0,,Defensive rebound by E. Gordon,96,98
4,3:13.0,,D. House misses 3-pt jump shot from 23 ft,96,98
4,3:09.0,Defensive rebound by Team,,96,98
4,2:51.0,J. Jackson misses 2-pt jump shot from 12 ft,,96,98
4,2:50.0,,Defensive rebound by C. Capela,96,98
4,2:36.0,,Shooting foul by D. Ayton (drawn by J. Harden),96,98
4,2:36.0,,J. Harden makes free throw 1 of 2,96,99
4,2:36.0,,J. Harden makes free throw 2 of 2,96,100
4,2:21.0,M. Bridges misses 3-pt jump shot from 26 ft,,96,100
4,2:20.0,,Defensive rebound by J. Harden,96,100
4,2:11.0,,J. Harden makes 2-pt jump shot from 6 ft,96,102
4,2:11.0,Phoenix full timeout,,96,102
4,2:04.0,D. Booker makes 2-pt jump shot from 4 ft,,98,102
4,1:44.0,,P. Tucker misses 3-pt jump shot from 22 ft,98,102
4,1:43.0,Defensive rebound by M. Bridges,,98,102
4,1:32.0,Personal foul by P. Tucker (drawn by D. Booker),,98,102
4,1:25.0,Shooting foul by C. Capela (drawn by D. Booker),,98,102
4,1:25.0,D. Booker makes free throw 1 of 2,,99,102
4,1:25.0,D. Booker makes free throw 2 of 2,,100,102
4,1:07.0,,E. Gordon misses 2-pt layup from 1 ft,100,102
4,1:06.0,,Offensive rebound by Team,100,102
4,0:55.0,,D. House makes 3-pt jump shot from 27 ft (assist by J. Harden),100,105
4,0:46.0,D. Booker makes 2-pt layup at rim,,102,105
4,0:27.0,,Turnover by J. Harden (lost ball; steal by K. Oubre),102,105
4,0:24.0,Shooting foul by D. House (drawn by J. Jackson),,102,105
4,0:24.0,J. Jackson misses free throw 1 of 2,,102,105
4,0:24.0,Offensive rebound by Team,,102,105
4,0:24.0,J. Jackson misses free throw 2 of 2,,102,105
4,0:24.0,,Defensive rebound by J. Harden,102,105
4,0:11.0,,Personal take foul by M. Bridges (drawn by J. Harden),102,105
4,0:11.0,,J. Harden misses free throw 1 of 2,102,105
4,0:11.0,,Offensive rebound by Team,102,105
4,0:11.0,D. Bender enters the game for D. Booker,,102,105
4,0:11.0,,J. Harden makes free throw 2 of 2,102,106
4,0:11.0,Phoenix full timeout,,102,106
4,0:11.0,D. Booker enters the game for J. Jackson,,102,106
4,0:07.0,D. Booker misses 3-pt jump shot from 25 ft,,102,106
4,0:05.0,,Defensive rebound by J. Harden,102,106
4,0:04.0,,Personal take foul by M. Bridges (drawn by J. Harden),102,106
4,0:04.0,,J. Harden makes free throw 1 of 2,102,107
4,0:04.0,,J. Harden makes free throw 2 of 2,102,108
4,0:01.0,Turnover by K. Oubre (lost ball; steal by J. Harden),,102,108
