QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
2,2:40.0,,D. Wade enters the game for D. Waiters,44,52
2,2:22.0,R. Kurucs misses 2-pt layup from 1 ft,,44,52
2,2:19.0,,Defensive rebound by B. Adebayo,44,52
2,2:14.0,,J. Richardson misses 3-pt jump shot from 25 ft,44,52
2,2:10.0,Defensive rebound by A. Crabbe,,44,52
2,2:05.0,S. Dinwiddie misses 2-pt layup from 1 ft,,44,52
2,2:02.0,,Defensive rebound by J. Richardson,44,52
2,1:46.0,,B. Adebayo misses 2-pt jump shot from 14 ft,44,52
2,1:44.0,Defensive rebound by J. Harris,,44,52
2,1:38.0,A. Crabbe misses 3-pt jump shot from 26 ft,,44,52
2,1:34.0,,Defensive rebound by B. Adebayo,44,52
2,1:30.0,,Personal foul by S. Dinwiddie (drawn by B. Adebayo),44,52
2,1:16.0,,J. Winslow makes 2-pt jump shot from 2 ft (assist by D. Wade),44,54
2,0:56.0,S. Dinwiddie misses 2-pt jump shot from 13 ft,,44,54
2,0:54.0,,Defensive rebound by J. Richardson,44,54
2,0:45.0,,B. Adebayo misses 2-pt layup from 1 ft,44,54
2,0:43.0,Defensive rebound by R. Kurucs,,44,54
2,0:43.0,Personal take foul by K. Olynyk (drawn by R. Kurucs),,44,54
2,0:29.0,J. Harris misses 2-pt jump shot from 11 ft,,44,54
2,0:26.0,,Defensive rebound by B. Adebayo,44,54
2,0:04.0,,K. Olynyk misses 2-pt jump shot from 8 ft,44,54
2,0:03.0,Defensive rebound by J. Allen,,44,54
3,11:37.0,,J. Winslow misses 3-pt jump shot from 26 ft,44,54
3,11:34.0,,Offensive rebound by J. Winslow,44,54
3,11:30.0,,Shooting foul by J. Allen (drawn by J. Richardson),44,54
3,11:30.0,,J. Richardson misses free throw 1 of 2,44,54
3,11:30.0,,Offensive rebound by Team,44,54
3,11:30.0,,J. Richardson misses free throw 2 of 2,44,54
3,11:26.0,Defensive rebound by J. Harris,,44,54
3,11:14.0,C. LeVert misses 2-pt jump shot from 5 ft,,44,54
3,11:11.0,,Defensive rebound by J. Winslow,44,54
3,11:03.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Richardson),44,56
3,10:54.0,T. Graham misses 3-pt jump shot from 26 ft,,44,56
3,10:50.0,,Defensive rebound by D. Waiters,44,56
3,10:42.0,,D. Waiters makes 2-pt layup from 1 ft,44,58
3,10:26.0,J. Harris misses 2-pt layup from 1 ft,,44,58
3,10:25.0,Offensive rebound by J. Allen,,44,58
3,10:25.0,J. Allen misses 2-pt layup from 1 ft,,44,58
3,10:24.0,,Defensive rebound by K. Olynyk,44,58
3,10:21.0,,Shooting foul by C. LeVert (drawn by D. Waiters),44,58
3,10:21.0,,D. Waiters makes free throw 1 of 2,44,59
3,10:21.0,,D. Waiters makes free throw 2 of 2,44,60
3,10:04.0,C. LeVert misses 3-pt jump shot from 24 ft,,44,60
3,10:02.0,,Defensive rebound by D. Waiters,44,60
3,9:58.0,,D. Waiters misses 2-pt layup from 1 ft (block by J. Harris),44,60
3,9:56.0,Defensive rebound by Team,,44,60
3,9:47.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,46,60
3,9:30.0,,J. Richardson makes 2-pt jump shot from 13 ft (assist by B. Adebayo),46,62
3,9:19.0,J. Harris misses 3-pt jump shot from 23 ft,,46,62
3,9:17.0,,Defensive rebound by B. Adebayo,46,62
3,9:11.0,,B. Adebayo misses 2-pt jump shot from 4 ft,46,62
3,9:08.0,,Offensive rebound by B. Adebayo,46,62
3,9:02.0,,D. Waiters misses 2-pt layup from 2 ft,46,62
3,8:59.0,Defensive rebound by D. Russell,,46,62
3,8:55.0,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),,49,62
3,8:33.0,,K. Olynyk makes 2-pt jump shot from 8 ft (assist by B. Adebayo),49,64
3,8:26.0,Shooting foul by B. Adebayo (drawn by J. Allen),,49,64
3,8:26.0,J. Allen misses free throw 1 of 2,,49,64
3,8:26.0,Offensive rebound by Team,,49,64
3,8:26.0,J. Allen misses free throw 2 of 2,,49,64
3,8:22.0,,Defensive rebound by B. Adebayo,49,64
3,8:07.0,,J. Richardson misses 2-pt layup from 2 ft,49,64
3,8:05.0,Defensive rebound by T. Graham,,49,64
3,8:02.0,T. Graham misses 2-pt layup from 9 ft (block by B. Adebayo),,49,64
3,8:02.0,Offensive rebound by Team,,49,64
3,7:52.0,J. Harris makes 2-pt layup from 1 ft,,51,64
3,7:39.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),51,66
3,7:39.0,,Shooting foul by T. Graham (drawn by K. Olynyk),51,66
3,7:39.0,,K. Olynyk makes free throw 1 of 1,51,67
3,7:29.0,T. Graham makes 3-pt jump shot from 25 ft (assist by D. Russell),,54,67
3,7:12.0,,Turnover by J. Winslow (bad pass; steal by C. LeVert),54,67
3,7:05.0,T. Graham misses 3-pt jump shot from 23 ft,,54,67
3,7:04.0,Offensive rebound by Team,,54,67
3,7:04.0,D. Carroll enters the game for T. Graham,,54,67
