QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DETROIT_ACTION,GOLDEN STATE_SCORE,DETROIT_SCORE
4,4:36.0,Defensive rebound by K. Durant,,87,96
4,4:30.0,K. Durant misses 3-pt jump shot from 29 ft,,87,96
4,4:27.0,Offensive rebound by K. Looney,,87,96
4,4:24.0,K. Thompson misses 3-pt jump shot from 23 ft,,87,96
4,4:19.0,Offensive rebound by A. Iguodala,,87,96
4,4:19.0,Offensive foul by S. Curry (drawn by B. Griffin),,87,96
4,4:19.0,Turnover by S. Curry (offensive foul),,87,96
4,4:15.0,,Personal take foul by K. Durant (drawn by A. Drummond),87,96
4,4:14.0,,Personal take foul by A. Iguodala (drawn by B. Griffin),87,96
4,4:14.0,,Detroit full timeout,87,96
4,4:14.0,J. Jerebko enters the game for K. Looney,,87,96
4,4:14.0,,L. Galloway enters the game for A. Drummond,87,96
4,4:07.0,,Shooting foul by K. Durant (drawn by B. Griffin),87,96
4,4:07.0,,B. Griffin makes free throw 1 of 2,87,97
4,4:07.0,,B. Griffin makes free throw 2 of 2,87,98
4,3:57.0,S. Curry misses 2-pt layup from 5 ft,,87,98
4,3:55.0,,Defensive rebound by B. Griffin,87,98
4,3:46.0,,S. Johnson makes 3-pt jump shot from 25 ft (assist by R. Jackson),87,101
4,3:36.0,K. Durant misses 2-pt layup from 3 ft,,87,101
4,3:36.0,,Defensive rebound by Team,87,101
4,3:21.0,,R. Jackson misses 2-pt layup from 2 ft,87,101
4,3:19.0,Defensive rebound by K. Durant,,87,101
4,3:15.0,K. Durant makes 2-pt layup from 5 ft,,89,101
4,3:01.0,,Turnover by R. Jackson (bad pass; steal by A. Iguodala),89,101
4,2:54.0,S. Curry makes 2-pt jump shot from 22 ft (assist by A. Iguodala),,91,101
4,2:31.0,,B. Griffin makes 3-pt jump shot from 25 ft,91,104
4,2:17.0,J. Jerebko makes 2-pt layup from 1 ft (assist by K. Durant),,93,104
4,1:49.0,,B. Griffin misses 2-pt jump shot from 18 ft,93,104
4,1:47.0,,Offensive rebound by S. Johnson,93,104
4,1:47.0,,S. Johnson misses 2-pt layup from 2 ft,93,104
4,1:46.0,Defensive rebound by K. Durant,,93,104
4,1:44.0,K. Durant makes 2-pt layup from 2 ft,,95,104
4,1:44.0,Shooting foul by L. Galloway (drawn by K. Durant),,95,104
4,1:44.0,K. Looney enters the game for J. Jerebko,,95,104
4,1:44.0,,A. Drummond enters the game for L. Galloway,95,104
4,1:44.0,K. Durant makes free throw 1 of 1,,96,104
4,1:25.0,,Personal foul by K. Thompson (drawn by B. Griffin),96,104
4,1:25.0,,B. Griffin makes free throw 1 of 2,96,105
4,1:25.0,,B. Griffin makes free throw 2 of 2,96,106
4,1:25.0,Golden State full timeout,,96,106
4,1:20.0,K. Durant misses 3-pt jump shot from 27 ft,,96,106
4,1:17.0,,Defensive rebound by A. Drummond,96,106
4,1:17.0,,Personal take foul by S. Curry (drawn by A. Drummond),96,106
4,1:17.0,,A. Drummond misses free throw 1 of 2,96,106
4,1:17.0,,Offensive rebound by Team,96,106
4,1:17.0,,A. Drummond makes free throw 2 of 2,96,107
4,1:10.0,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),,98,107
4,0:45.0,,R. Jackson makes 2-pt jump shot from 16 ft,98,109
4,0:43.0,Personal foul by R. Bullock (drawn by K. Durant),,98,109
4,0:43.0,K. Durant makes free throw 1 of 2,,99,109
4,0:43.0,J. Bell enters the game for S. Curry,,99,109
4,0:43.0,Q. Cook enters the game for A. Iguodala,,99,109
4,0:43.0,J. Evans enters the game for K. Thompson,,99,109
4,0:43.0,K. Durant makes free throw 2 of 2,,100,109
4,0:39.0,,Personal take foul by Q. Cook (drawn by R. Jackson),100,109
4,0:39.0,,R. Jackson makes free throw 1 of 2,100,110
4,0:39.0,J. Jerebko enters the game for K. Durant,,100,110
4,0:39.0,D. Lee enters the game for K. Looney,,100,110
4,0:39.0,,J. Calderón enters the game for B. Griffin,100,110
4,0:39.0,,R. Jackson makes free throw 2 of 2,100,111
4,0:26.0,J. Bell makes 2-pt dunk from 4 ft (assist by J. Evans),,102,111
4,0:02.0,,Turnover by Team (shot clock),102,111
